en	hi
the sidewalk##person,person	फ़ुटपाथ
The driver's side door is open##car,car,clock	ड्राइवर के बगल का द्वार खुला है
A plate full of food##cup,dining table,bowl,person,cake,spoon,chair,fork,carrot,carrot	भोजन से भरी थाली
the building is white##person	इमारत सफेद है
small picture on wall##toilet,sink,bottle	दीवार पर छोटी सी तस्वीर
intersection of wooden logs##	लकड़ी के लॉग का चौराहे
light attached to building##bicycle,bicycle	इमारत से संबद्ध प्रकाश
Do Not Enter sign##person,car,car,car,car,car,handbag,person,bus,stop sign	साइन न करें
colorful pillow of blues and reds on a white striped couch##couch,chair,dining table,chair,chair,chair,dining table,dining table,chair,vase	सफेद धारीदार सोफे पर ब्लूज़ और रेड्स का रंगीन तकिया
dent is in the vehicle##car,car,car	डेंट वाहन में है
the roof is grey##	छत ग्रे है
brown frame on mirror##chair,potted plant,vase,vase,potted plant,potted plant	दर्पण पर भूरे रंग का फ्रेम
white flowers beneath tree##car	पेड़ के नीचे सफेद फूल
white ambulance on the street##car,car,person,person,car,truck,person,person,person,car	सड़क पर सफेद एम्बुलेंस
green trees in distance##bicycle,bicycle,bicycle,bicycle,bicycle,car,bicycle,bicycle,bicycle,bicycle	दूरी में हरे पेड़
The sign is blue##car,car,car,car,car,car,car,car,car,car	यह चिह्न नीला है
Man sitting off to side of road##person,person,person,person,person,car,person,car,person,car	सड़क के किनारे बैठा आदमी
a man crossing the street##person,person,person,person,person,bus,person,car,car,person	सड़क पार करने वाला एक आदमी
sign on the wall##	दीवार पर साइन इन करें
window in a brick house##car	एक ईंट के घर में खिड़की
The computer screen is blue##chair,laptop,tv,chair,keyboard,keyboard,person,tv,book,chair	कंप्यूटर की स्क्रीन नीली है
bike route sign##car,car,car	बाइक मार्ग का चिह्न
Grey Beard Hair on a man##person,tie	एक आदमी पर ग्रे दाढ़ी बाल
the rear view of a car##car,car,person,motorcycle,person	कार का पिछला दृश्य
Burger with cheese sauce##fork,dining table,bowl,wine glass,bowl,orange,cake,orange,sandwich	पनीर सॉस के साथ बर्गर
side of thee silver SUV##car,car,car,car,traffic light,car	रजत एसयूवी की ओर
Woman walking across street##person,car,car,car,car,car,car,potted plant,car,bicycle	सड़क पर घूमती हुई महिला
woman wearing pink jacket##person,clock,person,car,bicycle,stop sign,handbag,person,bicycle,clock	गुलाबी जैकेट पहने महिला
red car parked by street light##car,car,car,car,car,bus,car,car,car,car	गली की बत्ती से के पास खड़ी लाल कार
the traffic lights are yellow##person,person,person,person,car,traffic light,car,person,car,person	ट्रैफिक लाइट पीले हैं
White painted line on pavement##bicycle,person,person,bicycle,person,person,traffic light,person,backpack,suitcase	फुटपाथ पर सफेद रंग की लाइन
The black tipped pen on the desk##chair,tv,tv,keyboard,chair,refrigerator,cup,chair,chair,book	मेज पर काले रंग की कलम
Man in white shirt walking down the sidewalk##person,car,potted plant,person,person,car,person,car,car,umbrella	सफेद शर्ट में आदमी फुटपाथ के नीचे चल रहा है
large light fixture in ceiling##chair,chair,chair,chair,chair,bottle,chair,chair,bottle,bottle	छत में बड़ा प्रकाश आकार
white monitor on desk##keyboard,keyboard,tv,tv,mouse,mouse,person,book,chair,backpack	सफेद मॉनिटर डेस्क पर
black computer monitor on desk##keyboard,tv,mouse,keyboard,cup,mouse,couch,bottle,bowl,cell phone	डेस्क पर ब्लैक कंप्यूटर मॉनिटर
handle on the mug##cup,book,cup,laptop,dining table,chair,chair	मग पर संभाल
a man sitting in front of a computer monitor##person,tv,chair,cup,keyboard,cup,chair,cup,book,book	कंप्यूटर मॉनिटर के सामने बैठा आदमी
Turned on black monitor##person,tv,keyboard,laptop,cup,book,book,dining table,cell phone,book	ब्लैक मॉनीटर पर दिया
Man wearing brown sunglasses.##person,person,person,person,person,person,person,person,person,bowl	आदमी भूरा धूप का चश्मा पहने हुए।
brick on the building##bicycle,bicycle,person,car,bicycle,car,person,person,car,car	इमारत पर ईंट
silver metal table on ground##person,person,chair,person,chair,chair,person,person,chair,handbag	जमीन पर धातु तालिका
A grey trash bin.##tv,refrigerator,refrigerator,mouse,chair	एक ग्रे कचरा बिन।
boy holding ball##person,donut,teddy bear,cup	बॉल पकड़े हुए लड़का
projection screen is white##person,person,person,person,person,person,person,cup,person,handbag	प्रोजेक्शन स्क्रीन सफेद है
yellow traffic signal attached to a gray pole##motorcycle,motorcycle,person,bicycle,person,traffic light,car,traffic light,person,person	पीले ट्रैफिक सिग्नल एक ग्रे पोल से जुड़ा हुआ है
red truck behind silver car##bus,car,car,truck,car,car,car,car	चांदी की कार के पीछे लाल ट्रक
two mopeds are parked##motorcycle,car,person,bicycle,car,car,person,motorcycle,car,car	दो मोपेड खड़ी हैं
A blue car on the street.##person,car,person,person,truck,bench,stop sign,traffic light	सड़क पर एक नीली कार।
black car with yellow doors##car,car,car,car,car,car,traffic light,person,car,person	पीली डोर वाली काली कार
a car with four doors##car,car,car,car,traffic light,person,traffic light,person,traffic light,car	चार दरवाजों वाली एक कार
bike parked on the sidewalk##person,person,person,bicycle,person,fire hydrant,person,motorcycle,person,car	फुटपाथ पर खड़ी बाइक
Red motorcycle on sidewalk##car,person,motorcycle,car,car,motorcycle,person,potted plant,car,potted plant	फुटपाथ पर लाल मोटरसाइकिल
man wearing blue shirt##person,person,person,person,person,chair,person,person,person,chair	नीली कमीज पहने आदमी
Group of scooters parked next to each other##motorcycle,motorcycle,motorcycle,bicycle,parking meter,bird	स्कूटरों का समूह एक दूसरे के बगल में खड़ा था
yellow VW leaving parking lot##car,person,car,stop sign,car,car,person,person,car,car	पीले वीडब्ल्यू पार्किंग को छोड़कर
bag of oranges##person,person,person,person,car,car,suitcase,orange,orange,car	संतरे का बैग
there is a band on stage##person,person,person,person,person,person,person,suitcase,bicycle,person	मंच पर एक बैंड है
window on white house##car,car,car,car,car,car,person,car,car,car	सफेद घर पर खिड़की
these are tall buildings##person,car,person,car,car,truck,car,car,car	ये ऊंची इमारतें हैं
small car beside curb##car,car,car,car,car,car,car,car,car,car	कर्ब के पास छोटी कार
this is a person##person	यह एक व्यक्ति है
bull on the sand##cow,backpack,banana,backpack	रेत पर बैल
the building with a yellow roof##car,car,car,umbrella,car	एक पीले रंग की छत के साथ इमारत
the cup is upside down##person,person,cup,cup,person,cup,cup,bowl,person,bowl	कप उल्टा है
Light in the ceiling.##refrigerator	छत में प्रकाश।
Black truck is parked##car,fire hydrant,truck,car,car,truck,car,truck,car	काला ट्रक पार्क किया गया है
the man in the light blue coat##person,person,bicycle,chair,person,person,person,person,person,person	हल्के नीले कोट में आदमी
Bike leaning against black gate##bicycle,bicycle,motorcycle,bicycle,bicycle,bicycle,bicycle,motorcycle,clock,motorcycle	काले फाटक के खिलाफ बाइक झुकाव
white curtain on window##chair,dining table,chair,chair,book,vase,bottle,chair	विंडो पर श्वेत पर्दा
the alarm clock is off##remote,dining table,bed,cell phone	अलार्म घड़ी बंद है
A medium sized picture on the wall.##couch	दीवार पर एक मध्यम आकार का चित्र।
A bottle of water on the table.##bottle,bottle,bottle,dining table,fork,cup,bowl,fork	टेबल पर पानी की एक बोतल।
Wired telephone connected to the wall##sink,sink,toilet,microwave,microwave,sink	तार से जुड़ा तार
Chair next to wood desk.##chair,bed,laptop,couch	लकड़ी के मेज़ के बगल में कुर्सी।
Lamppost next to television##tv,chair,toilet,potted plant,sink	टेलीविजन के बगल में लैम्पपोस्ट
Black backpack beside a bed##bed,backpack,chair,cup,chair,remote	एक बिस्तर के बगल में काला बैग
A silver faucet in a bathroom##person,person,sink,sink,sink	एक बाथरूम में एक चांदी का नल
small plant on porch##chair,chair,potted plant,vase,chair,chair	पोर्च पर छोटा पौधा
cedar shingles on the house##person,tv,handbag	देवदार घर पर दाद
a white and tan hotel room##bed,bottle,bed,book,cell phone,backpack,dining table,book,cat	एक सफेद और टैन होटल का कमरा
Five knobs on a stove##oven,microwave,oven	एक डंडे पर पाँच गाँठ
the sink is stainless steel##oven,microwave,sink,clock,oven	सिंक स्टेनलेस स्टील है
a wooden floor##potted plant,person,tv,chair,dining table,potted plant,refrigerator,couch,sink,bottle	एक लकड़ी के फर्श
the window is shut##chair,book,book	खिड़की बंद है
black car tire with silver rim##car,car,potted plant	चांदी रिम के साथ काली कार टायर
a four legged steel chair##chair,potted plant,chair,chair,chair,chair,chair,chair	एक चार पैर वाली स्टील कुर्सी
Red desk lamp sitting on desk##potted plant,potted plant,chair,bowl,book,book,book,keyboard,book,laptop	लाल डेस्क लैंप डेस्क पर बैठे
the wooden night stand##bed,potted plant,book,book,person,book,book	लकड़ी की रात स्टैंड
tall grassy plants##chair,car,potted plant,bottle,potted plant,cup,refrigerator,dining table,car,dining table	लंबे घास के पौधे
part of a house plant##chair,couch,vase,book,bowl,dining table,vase,potted plant,book,potted plant	मकान पौधे का भाग
red and green plaid sofa##couch,potted plant,teddy bear,bowl,handbag,person,clock,book,cell phone	लाल और हरे रंग का प्लेड सोफा
Large kitchen area##chair,chair,wine glass,dining table,chair,bottle,chair,bottle,chair,chair	बड़ा रसोई क्षेत्र
boat on the water##person,boat,person,person,person,person,boat,person,person,person	पानी पर नाव
vehicles parked on the side of the road##car,car,car,car,car,truck,potted plant	सड़क के किनारे वाहन खड़े कर दिए
A woman standing on the sidewalk.##person,bus,person,person,person,car,person,person,person,person	फुटपाथ पर खड़ी एक महिला।
man standing on the phone##person,person,person,fire hydrant,bird,person,truck,person,chair,bird	फोन पर खड़ा आदमी
a woman wearing a rain jacket##person,person,car,car,bus,car,clock,car,traffic light	रेन जैकेट पहने एक महिला
taxi cab driving on street##car,car,person,car,person,car,traffic light,person,person,traffic light	सड़क पर टैक्सी टैक्सी चला रहे हैं
yellow taxi driving on a street##car,car,truck,car,person,traffic light,truck,person,potted plant,truck	एक सड़क पर पीली टैक्सी चलती है
person walking down the sidewalk in a busy city##car,person,person,person,person,traffic light,person,person,person,person	एक व्यस्त शहर में फुटपाथ के नीचे चलने वाला व्यक्ति
person walks on sidewalk##truck,person,potted plant,potted plant,car,person,car,person,car,person	व्यक्ति फुटपाथ पर चलता है
Group of people is standing##person,person,person,person,person,car,person,car,traffic light,backpack	लोगों का समूह खड़ा है
black car on the street##person,car,person,person,car,car,person,car,car,person	सड़क पर काली कार
window of a car##person,bus,car,car,handbag,car,traffic light,car,bicycle,car	कार की खिड़की
flowers next to water##	पानी के बगल में फूल
A food stand on a sidewalk##person,person,umbrella,umbrella,handbag,person,handbag	एक खाना फुटपाथ पर खड़ा है
person crossing on crosswalk##person,dog,person,person,car,clock,car,car,traffic light,person	क्रॉसवॉक पर पार करने वाला व्यक्ति
van driving under light##car,car,car,car,car,person,person,traffic light,person,car	प्रकाश के तहत वैन ड्राइविंग
Yellow taxi on the road##car,car,car,car,person,car,car,potted plant,truck,potted plant	सड़क पर पीली टैक्सी
window on the building##person,person,person,person,traffic light,car,person,person,person,backpack	भवन पर खिड़की
women is wearing a pink shirt##person,person,car,car,person,car,person,person,truck,traffic light	एक ऑरत ने गुलाबी कुर्ता पहना हुआ हैं
Tan hat hanging on a post##keyboard,tv,tv,mouse,chair,bottle,bottle,spoon,bottle,book	एक पोस्ट पर लटका तन टोपी
A white plane on a tarmac##airplane,airplane,airplane,airplane,airplane	एक टरमैक पर एक सफेद विमान
planes parked on the tarmac##airplane,airplane,truck,airplane,airplane,airplane,car,truck,airplane,car	टरमैक पर पार्क किए गए विमान
small window on airplane##airplane,person,person,car,car,car,person	हवाई जहाज पर छोटी खिड़की
car on the road##car,car,car,car,car,car,car,car,car,car	सड़क पर कार
small rocks##person,person	छोटी चट्टानें
tree trunk is broken##	पेड़ का तना टूट गया है
person in red shorts##person,person,backpack,person,person,horse,person,person	लाल शॉर्ट्स में व्यक्ति
the shrub is very short##	झाड़ी बहुत कम है
clouds in the sky##car	आकाश में बादल
A buffalo near a road##cow,elephant,cow,horse	एक सड़क के पास एक भैंस
cloud in the sky##person	आकाश में बादल
White moving through the water##boat,boat,boat,boat,boat,boat,boat,boat	सफेद पानी के माध्यम से चलती है
parrot is on top of cage##chair,chair,tennis racket,chair,bird,chair,book,dining table,chair,chair	तोता पिंजरे के ऊपर है
A bird standing in water##bird,frisbee	पानी में खड़ा एक पक्षी
right eye##cat,giraffe	दाहिना आँख
light on the pole##umbrella,truck	पोल पर प्रकाश
highway in a quiet area##	एक शांत क्षेत्र में राजमार्ग
white cloud in sky##car,car	आकाश में सफेद बादल
White boat next to the dock.##boat,boat,boat,boat,boat,boat,boat,boat,boat,boat	गोदी के आगे सफेद नाव।
boat in the water##boat,boat,boat,boat,boat,boat,boat,boat,boat,boat	पानी में नाव
boat is orange##boat,boat,boat,boat,boat,boat,boat,boat,person,boat	नाव नारंगी है
bikes in line by sidewalk##motorcycle,motorcycle,motorcycle,motorcycle,motorcycle,motorcycle,motorcycle,motorcycle,motorcycle,motorcycle	फुटपाथ से लाइन में बाइक
small green minivan##person,person,car,car,car,car,traffic light,car,person,car	छोटे हरे मिनीवान
american flag hanging on side of building##person,dog,car,dog,person,car,person,person,car,potted plant	इमारत के किनारे लटकता हुआ अमेरिकी झंडा
tree behind building##bench	निर्माण के पीछे पेड़
window on the building##person,boat,potted plant,potted plant,potted plant,person,potted plant,person,person,person	भवन पर खिड़की
orange beak on white duck##bird,car,car,bird,car,car,car,car,car	सफेद बतख पर नारंगी चोंच
grey and white sky##person,person,person,person,person,person,person,person,truck,person	ग्रे और सफेद आकाश
man holding long yellow skis##person,person,person,person,person,person,skis,motorcycle,bird,skis	आदमी लंबी पीली स्की पकड़े हुए
the red flag in the snow##kite	बर्फ में लाल झंडा
Black scooter on the road##motorcycle,motorcycle,motorcycle,potted plant,potted plant,potted plant	सड़क पर काला स्कूटर
black metal lock box##motorcycle,car,potted plant,potted plant,potted plant,potted plant,potted plant,potted plant,parking meter,potted plant	काला धातु लॉक बक्सा
glass window on building##car,car,car,truck,car	इमारत पर कांच विंडो
sidewalk is light grey##person,car,person,car,person,person,person,person,person,car	फुटपाथ हल्का भूरा है
window on the building##person,person,car,car,person,backpack,car,handbag,car,car	भवन पर खिड़की
paved road with parked cars##car,car,car,car,car,car,car,car,car,car	पार्क किए गए कारों सहित सड़क
window on a building##car,fire hydrant,person,car,person,car,person,car,car,car	एक इमारत पर खिड़की
window on a building##car,car,car,car,car,car,car,car,person,car	इमारत पर खिडकि
white lines in the middle of the road##person,person,person,person,person,traffic light,person,person,person,person	सड़क के बीच में सफेद लाइनें
car parked on a narrow road##car,car,car,car,person,car,potted plant	एक संकरी सड़क पर खड़ी कार
red helmet on his head##car,motorcycle,person,car,car,truck,car,car	उसके सिर पर लाल हेलमेट
boat on the water##boat,boat,boat,boat,boat,boat,boat,boat,boat,boat	पानी पर नाव
the boat is at a dock##boat,boat,boat,boat,boat,boat,boat,boat,boat,boat	नाव एक गोदी में है
pink pants##person,person,person,person,person,person,person,person,person,person	गुलाबी पैंट
Blue parking lines on the pavement##car,car,car,car,car,car,car,car,car,car	फुटपाथ पर नीली पार्किंग लाइनें
the man is walking##car,car,person,car,car	आदमी चल रहा है
the sidewalk##car,car,car,car,car,car,car,car,car,car	फ़ुटपाथ
green palm on radio##car,person,person,person,person,car,person,person,person	रेडियो पर हरी हथेली
hole in silver hubcap##car,car	सिल्वर हबकैप में छेद
Girl in blue jean skirt##car,person,person,person,person,bus,person,person,person,person	नीली जीन स्कर्ट में लड़की
the electrical box on the post##	पोस्ट पर विद्युत बॉक्स
sign on side of road##car,car,car,car,car	सड़क के किनारे साइन इन करें
green grass in a field##person,bench,sports ball,person,person,sports ball,person	क्षेत्र में हरी घास
blue sign with large black base##person,person,person,person,person,handbag,person,person,person,person	बड़े काले आधार के साथ नीला चिन्ह
green palm on tree##car,car,car,car,car,truck	पेड़ पर हरा हथेली
picture in a frame##chair	एक फ्रेम में तस्वीर
the car is black##person,person,traffic light,car,traffic light,person,traffic light,car,motorcycle,person	कार काला है
red car near plant##car,car,car,car,car,car,potted plant,car,car,car	संयंत्र के पास लाल कार
car on the road##car,car,car,car,car,car,car,car,person,parking meter	सड़क पर कार
white bus on the street##bus,traffic light,person,person,person,traffic light,traffic light,traffic light,person,traffic light	सड़क पर सफेद बस
window on a building##car,car,car,person,person,parking meter,car,car,car,car	एक इमारत पर खिड़की
A decorated Christmas tree.##traffic light,person,car,person,person,traffic light,person,truck,truck,person	एक सजाया हुआ क्रिसमस ट्री।
yellow dump truck by the mountain##truck,clock	पहाड़ द्वारा पीला डंप ट्रक
green palm on tree##person,bird,person	पेड़ पर हरा हथेली
sun in the sky##	आकाश में सूर्य
white print style letter##airplane,person,car,car,car,person,car,car,car,person	सफेद प्रिंट शैली
the light is on the ceiling##person,person,person,person,tv,person,person,person,chair,person	छत पर प्रकाश है
light brown wooden step##	हल्के भूरे रंग का लकड़ी का कदम
womens lips##person,person,chair,bus,car	महिला के होंठ
brick with grass around it##person,person,person,person,bicycle,bicycle,bench,bench,bench,person	इसके चारों ओर घास के साथ ईंट
a seagull is standing##bird	एक सीगल खड़ा है
the building is large##potted plant,potted plant,person,potted plant,potted plant,potted plant,potted plant,potted plant	इमारत बड़ी है
A dark colored van.##car,car,bicycle,bicycle,bicycle,bicycle,bicycle,bus,bicycle,bicycle	गहरे रंग की एक वैन।
A dark haired woman in a colorful top##person,person,person,person,person,person	एक रंगीन शीर्ष में एक काले बालों वाली महिला
ear of the cat##cat,chair	बिल्ली का कान
the woman is next to the man##person,person,person,traffic light,person,car,car,person,handbag,traffic light	महिला पुरुष के बगल में है
window on a building##bicycle,potted plant,bicycle,bicycle,bicycle,bicycle,bicycle,bicycle,bicycle,bicycle	एक इमारत पर खिड़की
grey colored sidewalk brick##person,person,car,car,car,bicycle,car,car,handbag,bicycle	धूसर रंग के ईंट फ़ुटपाथ
the man is standing##person,airplane,person,person,person,person,person,person,person,person	आदमी खड़ा है
Three men standing in a group.##person,person,person,person,train,truck,clock	एक समूह में तीन आदमी खड़े थे।
A luggage cart on a tarmac##airplane,airplane,truck,truck,airplane,person,car,truck,truck,truck	एक टार्मेक पर एक सामान गाड़ी
The tail of an airplane##airplane,car,truck,truck,car,truck,truck	एक हवाई जहाज की पूंछ
black restroom sign attached to the wall##person,person,sports ball,sports ball,sports ball	ब्लैक टॉयलेट साइन दीवार से जुड़ा हुआ
a long metal rack##potted plant	एक लंबा धातु रैक
light on a machine##person,tv,chair,tv,cell phone,chair,surfboard,tv,chair	एक मशीन पर प्रकाश
child wearing striped shirt##person,person,person,person,chair,person,person,tv,person,person	धारीदार शर्ट पहने बच्चा
Cameras on the ceiling of the room##refrigerator,book,book,refrigerator,book	कमरे की छत पर लगे कैमरे
Vase on the mantel##horse,bench,horse,cup,dining table,vase,vase,person,bench,bench	अग्निस्थान के उप्पर ग़ुलदान
the man has a goatee##person	आदमी के पास एक बकरी है
man painting on canvas##person,scissors,potted plant,potted plant,book,remote	कैनवास पर आदमी पेंटिंग
a row of red chairs##potted plant,chair,chair,chair,potted plant,chair,chair,chair,suitcase,chair	लाल कुर्सियों की एक पंक्ति
two police officers##person,person,boat,person	दो पुलिस अधिकारी
houseboat in the water##bird,bird,bird,bird,person,person,train,sheep,boat	पानी में हाउसबोट
bread in a basket##person,person,person,person,tie,bowl,bowl,donut,bowl,sandwich	एक टोकरी में रोटी
man with short black hair##person,chair,donut,donut,donut,donut,donut,donut,donut,donut	छोटे काले बालों वाला आदमी
a big grey ball##sports ball,sports ball,sink,orange,sports ball,orange,orange,mouse	एक बड़ी ग्रे बॉल
White table cloth on the table##person,person,person,person,person,chair,person,person,dining table,person	मेज पर सफेद कपड़ा तालिका
A person sitting in the baptism tub.##person,person,bench	एक व्यक्ति दीक्षा-स्नान टब में बैठे व्यक्ति |
Horizontal Venetian blinds on the window##bed,dog,potted plant,vase,bench	क्षैतिज विनीशियन खिड़की पर अंधा कर रही है
Flat-screen television on the dresser##tv,bed,bottle,bottle	ड्रेसर पर फ्लैट स्क्रीन टेलीविजन
lights suspended from ceiling##person,person,chair,bench,train,book	छत से निलंबित प्रकाश
The man has gray hair.##person,person,person,person,person,person,person,person,person,person	आदमी के भूरे बाल हैं।
man wearing white shirt##person,person,person,person,person,person,person,person,person,person	आदमी सफेद शर्ट पहने हुए
People sitting in a bus.##person,person,person,person,person,person,person,oven,person,person	एक बस में बैठे लोग।
Man and woman in a candy store##person,person,book,bottle,bottle,book,book,bottle,refrigerator,bottle	एक कैंडी की दुकान में आदमी और औरत
chair desk combo in the room##chair,chair,chair,chair,chair,chair,chair,chair,chair,chair	कमरे में कुर्सी डेस्क कॉम्बो
The man is wearing glasses.##person,laptop,backpack	आदमी चश्मा पहन रहा है |
A man with no shirt in the snow##person,person,person	बर्फ में कुर्ता के साथ एक व्यक्ति
grey dividers for cubicles##chair,tv,chair,refrigerator,refrigerator,toaster,keyboard,sink,chair,dining table	क्यूबिकल्स के लिए ग्रे डिवाइडर
windown pane on door##chair,chair,chair,chair,chair,potted plant,dining table,potted plant,chair,potted plant	द्वार पर विन्ड फलक
Truck has white cargo holder##car,truck,car,car,person,car,stop sign,car,stop sign	ट्रक में सफेद कार्गो धारक है
the chair has no arms##couch,chair,potted plant,dining table,potted plant,chair,chair,person,dining table,person	कुर्सी के पास कोई हथियार नहीं है
man has head turned##person,person,person,apple,apple,dining table,apple,bottle,bottle,apple	आदमी का सिर मुड़ गया है
child walking into plane##person,person,person,person,handbag	बच्चा विमान में घूम रहा है
purple tissue paper around bouquet##person,vase,potted plant,potted plant,person,potted plant,dining table,potted plant,knife,potted plant	गुलदस्ता के चारों ओर बैंगनी टिशू पेपर
pool table in a large room##wine glass,vase,potted plant,chair,chair,cup,bench,book,dining table,wine glass	एक बड़े कमरे में पूल टेबल
paddle on a table##vase,potted plant,chair	एक तालिका पर पैडल
