en	hi
date when taken in yellow##cow,umbrella,umbrella,person,umbrella,person,person,umbrella,bench,umbrella	पीले रंग में लिया गया
tail of cat forms a C##cat,toilet,bottle,toilet,bottle,bottle	बिल्ली की पूंछ एक सी बनाती हुई
Wooden railing on second level##clock,couch,person,person,chair,dining table,person,chair,oven,couch	दूसरे स्तर पर लकड़ी की रेलिंग
white springs boxes and gears below train engine##train,person,person	सफेद स्प्रिंग्स बक्से और ट्रेन इंजन के नीचे गियर
time and date stamp on the photograph##carrot,carrot,carrot,carrot,carrot,carrot,carrot,carrot,carrot,carrot	तस्वीर पर समय और तारीख की मुहर
yellow fair pole on fence##person,person,baseball glove,tennis racket,car,bench	बाड़ पर पीला निष्पक्ष पोल
baseball players dressed in gray and orange##person,person,person,baseball glove,person,person,person,person,person,baseball glove	ग्रे और नारंगी रंग के कपड़े पहने हुए बेसबॉल खिलाड़ी
teal sign with white asian characters##tv,person,person,person,traffic light,person,person,person,person,person	सफेद एशियाई पात्रों के साथ चैती साइन
Chain-link enclosure for tennis court##person,sports ball,sports ball,sports ball,sports ball,sports ball,sports ball,sports ball,tennis racket	टेनिस कोर्ट के लिए चेन-लिंक संलग्नक
stand in the room##book,clock,book,book,book,book,book,book,book,book	कमरे में खड़े हो जाओ
The window on the right on the second floor.##person,person,person,car,bench,bench,bench,handbag,handbag,bench	दूसरी मंजिल पर दाईं ओर की खिड़की।
Date stamp of photograph##person,person	फोटोग्राफ की तारीख का मोहर
large silver juice press##person,person,cup,apple,apple,apple,apple,bottle,cup,cup	बड़े चांदी का रस प्रेस
the players in the dugout##person,person,person,person,baseball glove,person,person,person,car,person	डगआउट में खिलाड़ी
A white pot on the stand##person,person,chair,person,potted plant,person,person,person,person,chair	स्टैंड पर एक सफेद मटका
Photo's date stamp.##person,snowboard,person	फोटो की तारीख मोहर
hind leg forms one quadrant##cat	पिछ्ला पैर एक चतुर्थांश बनाता है
Light green tennis court##person,sports ball,tennis racket	हल्का हरा टेनिस कोर्ट
soccer players red shirt##person,person,sports ball,car,person	फुटबॉल खिलाड़ी की लाल शर्ट
Gray television on stand##potted plant,vase,book,book,laptop,vase,tv,book,book,book	स्टैंड पर ग्रे टेलीविजन
a second meal plate.##sandwich,sandwich,bowl,bottle,dining table,carrot	भोजन की एक दूसरी थाली।
dark wooden wash stand##bed,vase,chair,person	ग़ाढे रंग की लकड़ी का वाश स्टैंड
Cube-like cement block out-building with large square door##person,skateboard,bench,bench,person,person,person,bench,person,person	बड़े वर्ग द्वार के साथ घन-जैसा सीमेंट ब्लॉक ईमारत के बाहर
chinese characters on a red vehicle##person,cow,motorcycle,truck	एक लाल वाहन पर चीनी पात्र
blue tennis court area##person,tennis racket,tennis racket	नीला टेनिस कोर्ट क्षेत्र
Cement block outdoor flooring.##person,chair,person,person,chair,person,suitcase,person,person,bench	आउटडोर सीमेंट ब्लॉक फर्श।
the sign has asian characters##person,person,person,person,umbrella,person,umbrella,person,person,person	साइन में एशियाई वर्ण हैं
a cross sign on top of the tower##clock,clock	टॉवर के शीर्ष पर एक क्रॉस साइन
man is waiting to cross##car,car,traffic light,car,car,car,person,car,person,car	आदमी पार होने की प्रतीक्षा कर रहा है
spikes on a players shoe##person,person,person,person,baseball glove,sports ball,baseball glove	एक खिलाड़ी के जूते पर क़ीलें
a museum containing models of airplanes##airplane,airplane,person,airplane,person,airplane,person,airplane,airplane,person	एक संग्रहालय जिसमें हवाई जहाज़ों के मॉडलें हैं
date and time stamp on a picture##truck,car,truck,oven	एक तस्वीर पर तारीख और समय की मुहर
Chinese characters on sign##traffic light	चिन्ह पर चीनी अक्षर
an orange sign with written characters##car,person,person,person,person,car,car,person,person,person	लिखित अक्षरों के साथ एक नारंगी चिन्ह
Baseball players are in the background##person,person,baseball glove,person,person,baseball bat,person,person,person,person	बेसबॉल खिलाड़ी पृष्ठभूमि में हैं
Newspaper stand on the grass##car,car,truck,car,car,car,car,car,car,car	अखबार स्टैंड घास पर हैं
young female date wearing a purple rhinestone sleeveless gown##person,person,person,tie,potted plant,tie	एक बैंगनी स्फटिक स्लीवलेस गाउन पहनी हुई युवती
two people waiting to cross##person,person,traffic light,umbrella,car,person,car,fire hydrant,umbrella,handbag	पार करने हेतु इंतजार कर रहे दो लोग
the side of the second train##train	दूसरी ट्रेन का किनारा
the bird is stand on a tree branch##bird,bear	पक्षी एक पेड़ की शाखा पर खड़ा है
a black cross on a vertical stabilizer##person,airplane,person,tennis racket,backpack,cup,stop sign,person,potted plant	एक ऊर्ध्वाधर स्टेबलाइजर पर एक काला क्रॉस
a green tennis court##person,tennis racket,sports ball	एक हरी टेनिस कोर्ट
neutral makeup on both rain models##umbrella,person,person,umbrella,car,person,person,book,toothbrush,truck	दोनों वर्षा मॉडलों पर तटस्थ मेकअप
the second bus has a blue sign##bus,bus,person,person,person,car,car,person,bus,person	दूसरी बस में एक नीला चिन्ह है
This is some type of a fair.##person,person,person,dog,motorcycle,dog,person,person,person,person	यह किसी प्रकार का मेला है।
A display of different phone models##cell phone,cell phone,cell phone,cell phone,cell phone,cell phone,cell phone,cell phone,cell phone,cell phone	विभिन्न फोन मॉडलों का प्रदर्शन
microphone on the court##person,person	कोर्ट पर माइक्रोफोन
person doing a hand stand##laptop,laptop,laptop,person,book,book,person,person,keyboard,keyboard	व्यक्ति हाथों के बल खड़ा हुआ
springs of the seat##motorcycle,person,person,person,handbag,person,knife,motorcycle,clock	आसन की स्प्रिंग्स
A large pipe extending from the wall of the court.##person,tennis racket,potted plant,vase	कोर्ट की दीवार से निक्ली हुई एक बड़ी पाइप
rapid in fast water##person,surfboard	तेजी से पानी में
a stone block train platform##train,suitcase,person,person,person,person,person,person,train,train	एक पत्थर ब्लॉक का ट्रेन प्लेटफार्म
a book is on the night stand##bed	नाइट स्टैंड पर एक किताब है
orange springs on the bottom of train##train,person,person,traffic light,person,chair,chair,person	ट्रेन के तल पर नारंगी स्प्रिंग्स
a fast flowing river##bird	एक तेज बहने वाली नदी
lighted signs for different forms of public transportation##clock,clock	सार्वजनिक परिवहन के विभिन्न रूपों के लिए रोशन संकेत
three windows on the second floor##clock,potted plant	दूसरी मंजिल पर तीन खिड़कियां
a dark blue sedan moving fast##car,traffic light,traffic light,traffic light,traffic light,stop sign,tv,traffic light	एक गहरा नीला सेडान तेजी से बढ़ रहा है
zebras stand close together to watch for predators##zebra,zebra,zebra	ज़ेबरा शिकारियों को देखने के लिए एक साथ खड़े होते हैं
Gated street fair##car,person,person,person,person,person,person,person,traffic light,person	गेटेड स्ट्रीट फेयर
surfboard forms a splash of water##person,surfboard,person,surfboard	सर्फ़बोर्ड पानी के छींटे बनाता है
paper triangle stand##toilet,sink,toilet,cup,sink	कागज़ी त्रिकोण स्टैंड
a time and date stamp##traffic light,traffic light,traffic light,car,traffic light,car,traffic light	एक समय और तारीख क़ी मोहर
english letter is white##person,person,car,fire hydrant,handbag,person,handbag,umbrella,fire hydrant,person	अंग्रेजी अक्षर सफेद है
Brown box is on the tennis court##person,tennis racket,sports ball,sports ball,sports ball,sports ball,sports ball,chair,bench,bench	भूरा बॉक्स टेनिस कोर्ट पर है
a cross is on the tower##person,cow,cow,cow,cow,cow,cow,dog	मीनार पर एक क्रॉस है
players in dirt circle##person,person,person,baseball glove,baseball glove	मिट्टी के वृत्त में खिलाड़ी
beige stair way going to second level##potted plant	बेज सीढ़ी दूसरे स्तर तक़ जा रही है
grey concrete cross by the building##clock,clock	इमारत के बगल में ग्रे कांक्रीट क्रॉस
block for bench feet##bench,potted plant,potted plant,potted plant	बेंच के पैरों के लिए ब्लॉक
location characters are white##train	स्थान वर्ण सफेद हैं
Brown plastic fast food table##donut,bottle,dining table,remote,chair,car,chair,sandwich	ब्राउन प्लास्टिक फास्ट फूड टेबल
The TV and stand in the living room##couch,couch,chair,chair,chair,chair,chair,tv,chair,couch	लिविंग रूम में टीवी और स्टैड
brown wooden stairs leading to second floor##person,backpack,book,book,book,book,book,book,book,couch	दूसरी मंजिल तक जाने वाली भूरे रंग की लकड़ी की सीढ़ियाँ
very fine fabric and material##scissors	बहु उत्तम कपड़े और सामग्री
do not block intersection sign is above the right lane must turn right sign##bus,person,person,person,car,car,person,person,traffic light,person	चौराहे को ब्लॉक न करें सन्केत के ऊपर दाईं लेन को दाहिनी ओर मुड़ना चाहिए सन्केत है
The motorcycles are going fast##motorcycle,motorcycle,person,person,person,motorcycle	मोटरसाइकिलें तेजी से जा रही हैं
a fence behind the players##person,person,person,baseball bat,baseball bat	खिलाड़ियों के पीछे एक बाड़
the date on the photo##bear	तस्वीर पर तारीख
the penalty box is white lined##sports ball,person,person,person,person,person,person,person,person,person	सफेद लाइन से सीमांकित जुर्माना बॉक्स
the green sign with red and yellow characters##person,umbrella,person,umbrella,person,umbrella,person,umbrella,person,person	लाल और पीले वर्णों के साथ हरे रंग का चिह्न
A red metal frame forms the half pipe##person,skateboard	आधा पाइप बनाता हुआ एक लाल धातु का फ्रेम
shadows of players on court##person,person,tennis racket,car,person,person	कोर्ट पर खिलाड़ियों की छाया
a red tennis shoe on players foot##person,tennis racket,skateboard,person,person,person,skateboard	खिलाड़ी के पैर में लाल टेनिस का जूता
clock face on wall date##clock,clock,clock	तारीखी दीवार पर घड़ी का चेहरा
a group of people watching the baseball players##person,person,person,person,baseball bat,baseball glove,person,person,backpack,person	बेसबॉल खिलाड़ियों को देखने वाले लोगों का एक समूह
a woman on the opposite team trying to block the frisbee##person,person,person,frisbee	विपक्षी टीम की एक महिला फ्रिसबी को रोकने की कोशिश कर रही है
a white stand on road##car,car,car,car	सड़क पर एक सफेद स्टैंड
Concrete forms in pavement##person,person,bench,motorcycle,bench,potted plant,book,person,bench,book	फुटपाथ में काकंरीट की संरचनाएं
man standing next to fruit stand##person,person,person,person,clock,person,person,banana,banana,banana	फल स्टैंड के बगल में खड़ा आदमी
A bed plastic stamp##suitcase,bed	एक बिस्तर प्लास्टिक की मोहर
girl showing cow at fair##cow,person,person,bench,person,person,person,person,person,person	मेले में गाय दिखाती लड़की
judge on side of court on blue platform##person,person,person,person,person,person,tennis racket,person,person,clock	नीले मंच पर अदालत के पक्ष में न्यायाधीश
The top white cross.##cow,motorcycle,person,person,person,motorcycle,person,bicycle,person,cow	शीर्ष पर सफेद क्रॉस।
Dirt on the players pants.##person,person,baseball bat,person,person,baseball glove,person,person,person,person	खिलाड़ियों की पैंट पर मिट्टी।
chain-linked fence behind players##person,frisbee,person,person,person,person,person,person,person,person	खिलाड़ियों के पीछे चेन-लिंक बाड़
White paper on a black stand##couch,potted plant,vase,book,vase,chair	काले स्टैंड पर श्वेत पत्र
March 7th is the date on the calendar##book,sink,book,book,book,vase,cup,book,book	कैलेंडर पर 7 मार्च की तारीख है
Tray of white rice and english muffins##person,bowl,dining table,bowl,banana,spoon,spoon,dining table,spoon,bowl	सफेद चावल और अंग्रेजी मफिन की ट्रे
a iron stand on back##teddy bear,dog,bed	एक लोहे का स्टैडं पृष्ठ्भुमि पर
red hat on baseball players head##person,person,person,baseball glove,baseball bat,baseball glove,cup,cup,sports ball,baseball bat	बेसबॉल खिलाड़ी के सिर पर लाल टोपी
black and white tennis court netting##person,person,tennis racket,person,person,sports ball,person,chair,person,person	काले और सफेद टेनिस कोर्ट नेटिंग
second set of closed umbrellas##chair,chair,chair,chair,chair,person,person,chair,person,chair	बंद छतरियों का दूसरा सेट
Bright red semi-gloss block wall##toilet,toilet	चमकदार लाल अर्ध-ग्लोस ब्लॉक दीवार
Three baseball players are in the field.##person,person,person,baseball glove,baseball glove	तीन बेसबॉल खिलाड़ी मैदान में हैं।
A block wall is behind the skate park##person,skateboard,person	स्केट पार्क के पीछे एक ब्लॉक दीवार है
tail fine view of a red plane##airplane,airplane,person	एक लाल विमान की पूंछ का दृश्य
a group of ball players practicing##person,person,person,person,person,person,person,person,person,baseball bat	अभ्यास करने वाले गेंद खिलाड़ियों का एक समूह
a fine silver pocket watch##clock	चांदी की उत्तम जेब घड़ी
the date stamp in the corner of the pic##zebra,zebra,zebra,zebra,zebra,zebra,zebra,zebra,car,zebra	तस्वीर के कोने में तारीख की मोहर
Red circle with white cross under right wing##airplane	दक्षिणपंथी के तहत सफेद क्रॉस के साथ लाल सर्कल
a metal stand for the flowers##bowl,book,sink,potted plant,sink	फूलों के लिए एक धातु स्टैंड
A light reflecting on a tie press.##vase,suitcase,suitcase,refrigerator,bowl,oven,donut,cell phone,cell phone,suitcase	टाई प्रेस पर से प्रतिबिंबित होने वाला प्रकाश।
loose sediment forms on the rocks##bird,bird,bird,bird,bird,bird,bird,bird,bird,bird	चट्टानों पर ढीला तलछट बना हुआ
the hand is going to press a button##cell phone,person,person,dining table	यह हाथ एक बटन दबाने जा रहा है
sign written in english and foreign language##traffic light,potted plant	अंग्रेजी और विदेशी भाषा में लिखे गये सन्केत
yellow stamp date near bottom##person,person,person,remote,cup,donut,couch,donut,donut,donut	पीले रंग की तारीख की मोहर तल के पास
Street sign on a pole in english and chinese##stop sign	अंग्रेजी और चीनी में एक पोल पर मार्ग़ संकेत
an english muffin sandwich##cup,potted plant,sandwich,dining table,cup,bottle,vase,bottle,cat,chair	एक अंग्रेजी मफिन सैंडविच
many utility cables cross over the street##car,car,car,car,car,car,car	कई उपयोगिता केबल सड़क पर से जाते हुए
block sneakers with green laces##skateboard,bicycle,person,bicycle,bicycle,bicycle,bicycle,bicycle,bicycle,bicycle	ग्रीन लेस के साथ ब्लॉक स्नीकर्स
Brown painted signature and date.##person,horse,person	भूरे रन्ग में चित्रित हस्ताक्षर और तारीख
woman is behind the white line of a tennis court##person,person,person,person,person,person,person,sports ball,person,person	महिला टेनिस कोर्ट की सफेद लाइन के पीछे है
a sign showing cross streets##suitcase	एक संकेत चौराहा दिखा रहा है
farmer's market stand##broccoli,broccoli,broccoli,broccoli,carrot,broccoli,broccoli,broccoli,broccoli,broccoli	किसान के बाज़ार का स्टैडं
banana on the stand##bird,banana,banana,bird,bird,banana,banana,banana,banana,banana	स्टैंड पर केला
logo stamp on the door##refrigerator,suitcase,cup	दरवाजे पर लोगो की मुहर
english breakfast tea text##cup,book,book,book,person,clock,dining table,scissors	अंग्रेजी नाश्ता चाय पाठ
Black bike seat with silver springs.##banana,bicycle,banana,banana,person,banana,banana,banana,banana,banana	ब्लैक बाइक सीट सिल्वर स्प्रिंग्स के साथ।
white sign with blue asian characters on it##umbrella,person,car,stop sign,truck,car,car,car,traffic light	सफेद चिह्न नीले एशियाई वर्णों के साथ
Big springs on the bottom of train.##train	ट्रेन के निचले भाग पर बड़े स्प्रिंग्स
Small French coffee press.##person,wine glass,dining table,bowl,bowl,cup,cup,bowl,cup,cup	छोटा फ्रेंच कॉफी प्रेस।
Landline phone on the night stand##bed,clock,bed,remote,vase,remote,remote,remote	नाइट स्टैंड पर लैंडलाइन फोन
A tin container decorated with Star Wars characters and themes##vase,potted plant,apple,person	एक टिन का डब्बा स्टार वार्स पात्रों और विषयों के साथ सजाया हुआ
The players shoes are black.##person,baseball glove,sports ball,sports ball	खिलाड़ियों के जूते काले हैं।
Sis car models on top of each other##person,person,person,person,car,car,bench,handbag,airplane,car	एक दूसरे के ऊपर सिस कार की मॉडलें
date of the recording##motorcycle,person	रिकॉर्डिंग की तारीख
a second pizza in a pan##cup,pizza,pizza,pizza,cup,dining table,knife,bottle,bottle,fork	एक पैन में दूसरा पिज्जा
cross walk lines on street##person,car,traffic light,car,traffic light,traffic light	सड़क पर चलने के रेखाकिंत चिन्ह
two man standing on a tennis court##person,person,tennis racket,tennis racket	टेनिस कोर्ट पर खड़े दो शख्स
Cell phone is in stand.##mouse,laptop,tv,keyboard,book,book,cup,keyboard,keyboard	सेल फोन स्टैंड में है।
Blue section of tennis court##person,tennis racket,sports ball	टेनिस कोर्ट का नीला अन्श
A white plate with english muffins##sandwich,sandwich,dining table,bowl	अंग्रेजी मफिन के साथ एक सफेद प्लेट
A block in the wall.##motorcycle	दीवार में एक ब्लॉक।
a red sign advertising a fun fair##person,car,car,person,person,person,person,car,car,person	एक लाल सन्केत एक मजेदार मेले को विज्ञापित करते हुए
a cross on the front of a church##bus,person,bicycle,car,person,car,traffic light,car,truck,car	एक चर्च के सामने एक क्रॉस
the fence covered in netting at the end of the court##person,person,person,person,sports ball,sports ball,tennis racket,tennis racket,tennis racket,tennis racket	कोर्ट के अंत में जाल से ढ्का बाड़
Small section of baseline on a tennis court##person,person,sports ball,sports ball,tennis racket,tennis racket	एक टेनिस कोर्ट पर बेसलाइन का छोटा सा खंड
a platter of fine china##refrigerator,hot dog,bowl,cup,spoon,cup,spoon,cup,bottle,bottle	एक बढिया चीनी मिट्टी की थाली
Grey cross on a green dome top.##traffic light,car,car,car,car,car,car,car,car,car	एक हरे गुंबद के शीर्ष पर ग्रे क्रॉस।
fading on the court##person,person,person,person,person,person,person,person,person,person	कोर्ट पर मुरझाह्ट
The date 01/03/2008 in yellow.##person,handbag,person	दिनांक 01/03/2008 पीले रंग में।
information stamp on image##person,horse,person,person,person,person,person,horse,horse,person	छवि पर जानकारी की मुहर
yellow safety tape at a tennis court##person,person,person,person,sports ball,tennis racket,sports ball,sports ball,tennis racket,sports ball	एक टेनिस कोर्ट में पीला सुरक्षा टेप
Balconies on the second story of the buildings##motorcycle,motorcycle,person,car,motorcycle,person,car,car,person,person	इमारतों के दूसरे स्तर पर बाल्कनियाँ
Shades of the second biker##motorcycle,person,motorcycle,person	दूसरे बाइकर का छाया
a small black entertainment stand##laptop,couch,couch,remote,tv,dining table,keyboard,book	एक छोटा काला मनोरंजन स्टैंड
thumb press into a doughnut##donut,person,person	डोनट पे दबाव डालते हुए एक अंगूठा
The line on the tennis court is white.##person,tennis racket	टेनिस कोर्ट पर लाइन सफेद है।
mini hi-fi on small stand##laptop,tv,couch,book,book,cup,book,bowl,cup,book	छोटे स्टैंड पर मिनी हाई-फाई
two people stand next to the boat##bird,person,person,boat,boat,person,person,person,person,person	नाव के पास दो लोग खड़े हैं
an english taxi cab is on the bridge##clock,person,person,person,clock,person,person,car,person,car	पुल पर एक अंग्रेजी टैक्सी कैब है
white TV stand on floor##person,person,tv,person,remote,remote,book,remote,person	फर्श पर सफेद टीवी स्टैंड
cross that sits atop the column on the left side##clock	क्रॉस जो बाईं ओर के कॉलम के ऊपर है
Two baseball players at the plate##person,person,sports ball,baseball glove,baseball glove	प्लेट में दो बेसबॉल खिलाड़ी
photo date on right##motorcycle,car,car,car,car,car,car,person,person,car	फोटो की तारीख दाहिने ओर
a fine meal on a plate##broccoli,person,spoon,knife,spoon,dining table,sandwich,broccoli,fork	एक थाली में बढ़िया भोजन
a glass block window##person,book,book,tie,book,book,suitcase	एक ग्लास ब्लॉक की खिड़्की
time and date stamp on the picture##person,person,bed,person,dog	तस्वीर पर समय और तारीख की मुहर
sing is written in chinese and latin characters##person,car,potted plant	गाना चीनी और लैटिन अक्षरों में लिखा गया है
fine, pale sand##person,sports ball,person,person,kite	महीन, फीका रेत
cone of plane appears dark, shiny and fast##airplane,person,person	विमान का शंकु गहरे चमकदार और तेज दिखाई देता है
round light gray large cement block##frisbee,person,person,person,person,person,person,person,person,person	गोल हल्के धूसर रंग का बड़ा सीमेंट ब्लॉक
Large tv on black stand.##tv,potted plant,dining table,couch,book,oven	काले स्टैंड पर बड़ी टी.वी.
soccer players connect chin and forehead##person,person,sports ball,person	फुटबॉल खिलाड़ी ठोड़ी और माथा जोड़ते हुए
a round wooden block##vase,couch,potted plant,cake	एक गोल लकड़ी का ब्लॉक
a juice press##person,knife,person,orange,cup,person,cup,chair,orange,orange	एक जूस प्रेस
Railing on second floor of building##person,person,person,person,person,person,person	भवन की दूसरी मंजिल पर रेलिंग
white paper with pictures on stand on the table##chair,chair,dining table,potted plant,bottle,oven,chair,bottle,potted plant,dining table	मेज पर स्टैंड में चित्रों के साथ सफेद कागज
items for sale in stand##person,umbrella,person,umbrella,umbrella,umbrella,person,book,umbrella,chair	स्टैंड में बिक्री के लिए वस्तु
ridged metal pole stand to a large clock##clock	एक बड़ी घड़ी के लिए धातु का बना रिज पोल स्टैडं
Silver metal monitor stand##person,person,person,chair,chair,person,tv,kite,person,dining table	सिल्वर मेटल मॉनिटर स्टैंड
Landscape shrub models on display##truck,truck	प्रदर्शन पर लैंडस्केप झाड़ी मॉडल
these are baseball players##person,person,baseball glove,tennis racket,kite	ये बेसबॉल खिलाड़ी हैं
Cinder block base for fence##giraffe,giraffe,giraffe,giraffe	बाड़ के लिए सिंडर ब्लॉक बेस
A net in between the players##person,person,person,person,person,person,person,person,person,person	खिलाड़ियों के बीच एक जाल
the blue 28 on the back of the players shirt##person,person,baseball glove	खिलाड़ियों की पीठ पर नीले रंग की 28
the second level of the bus##bus,person,person	बस का दूसरा स्तर
characters on the billboard##person,person,person,umbrella,person,person,umbrella,person,umbrella,person	बिलबोर्ड पर अक्षर
The bolt underneath the springs.##bicycle,bicycle,person,bottle	स्प्रिंग्स के नीचे बोल्ट।
The net on a tennis court##person,person,tennis racket,tennis racket,sports ball,person,person,sports ball	एक टेनिस कोर्ट पर नेट
older dude on bicycle in a country where spanish/english are the official languages##person,stop sign,bicycle,car,traffic light,car,car,car,person,car	वृध व्यक्ति साइकिल पर एक देश में जहां स्पेनिश / अंग्रेजी आधिकारिक भाषाएं हैं
Several models hanging in the air in the exhibit##kite,kite,kite,kite,kite,kite,kite,kite,kite,kite	प्रदर्शनी में हवा में लटके कई मॉडल
black utensils in a wooden block##person,oven,cup,microwave,spoon,knife,bowl,dining table,cup,cup	लकड़ी के ब्लॉक में काले बर्तन
bird second in line##book,bird,bird,bird,bird,book	पक्षी दूसरी स्थान में
english flag printed umbrella##person,person,umbrella,person,person,umbrella,umbrella,umbrella,umbrella,umbrella	अंग्रेजी ध्वज मुद्रित छत्र
stamp on boy's left hand##person,person,teddy bear,teddy bear,person,person,sports ball,teddy bear	लड़के के बाएं हाथ पर मोहर
person holding a block of ice##cow,person,person,person,person,person	बर्फ का एक खंड पकड़े हुए व्यक्ति
large green and purple tennis court##person,person,person,tennis racket,person,bottle,tennis racket,person,chair,chair	बड़े हरे और बैंगनी टेनिस कोर्ट
A man taking a picture of the players.##person,person,person,chair,chair,person,tennis racket,chair,chair,chair	खिलाड़ियों की तस्वीर ले रहा एक आदमी।
Yellow time and date stamp##person,person,person,person,clock,person,person,handbag,bicycle,bicycle	पिली समय और तारीख मोहर
a fair weather cloud##truck,bus	एक उचित मौसम बादल
orange date print##person,person,person,person,person,person,person,backpack,person,person	नारंगी दिनांक प्रिंट
tennis players shaking hands##person,tennis racket,cell phone,person,person,person,person,person,chair,person	टेनिस खिलाड़ी हाथ मिलाते हुए
the block of hay##zebra,zebra,zebra,zebra	घास का ब्लॉक
there is a building behind the court##person,person,tennis racket,bench,bench,tennis racket,bench,bench,bench	कोर्ट अदालत के पीछे एक इमारत है
proprietor of the mobile lemonade stand##person,skateboard,person,person,person,car,car,umbrella,cell phone,cell phone	मोबाइल नींबू पानी स्टैंड के मालिक
pole behind second baseman##person,person,person,person,person,person,person,person,baseball bat,stop sign	दूसरे बेसमैन के पीछे पोल
Net separating a tennis##person,tennis racket,person,sports ball,person	एक टेनिस कोर्ट को अलग करते हुए नेट
A table full of fine china.##cake,vase,vase,vase,vase,vase,vase,vase,vase,cake	बढिया चीनी बर्तन से भरी एक मेज।
The items on the top shelf have painted characters on them##person,vase,vase,vase,vase,vase,donut,truck	शीर्ष शेल्फ पर वस्तुओं पे वर्ण चित्रित हैं
date palms on the grassy field##car	घास के मैदान में खजूर के पेड़
ground where bike stand##motorcycle,motorcycle,motorcycle,motorcycle,motorcycle,motorcycle,motorcycle,car,motorcycle,bicycle	जमीन जहां बाइक खड़े होते हैं
the players are wearing cleats on their shoes##person,person,person,person,person,baseball glove,baseball glove,person,chair,person	खिलाड़ी अपने जूतों में क्लीट्स पहने हुए हैं
green shrubbery that forms a circle around the pedestal##clock,clock,car,car,car,car	हरी झाड़ जो पेडस्टल के चारों ओर एक चक्र बनाती है
crosswalk for pedestrians to cross##person,person,person,person,umbrella,umbrella,person,backpack,car,person	पदयात्रियों के लिए क्रॉसवॉक
one side is in english##stop sign,traffic light	एक तरफ अंग्रेजी में है
The water bottle on the stand##bottle,person,suitcase,suitcase,oven,person,chair	स्टैंड पर पानी की बोतल
pair of hands typing fast on keyboard##tv,keyboard,person,book,chair	कीबोर्ड पर तेजी से टाइप करते हुए हाथों की जोड़ी
second level of building##clock,chair,chair,chair,chair,tv,chair,chair,bench	भवन का दूसरा स्तर
second man looking over first's shoulder##person,tie,person	दूसरा आदमी पहले आद्मी के कंधे पर से देख रहा है
The birds are flying fast##bird,bird,bird,bird,bird	पक्षी तेजी से उड़ रहे हैं
time stamp in corner of image##person,person,skis,snowboard,backpack,skis	छवि के कोने में समय की मोहर
