en	bn
a book is on the night stand	একটি বই নাইট স্ট্যান্ডে আছে
orange springs on the bottom of train	ট্রেনের নীচে কমলা ফোয়ারা
a fast flowing river	একটি দ্রুত প্রবাহিত নদী
lighted signs for different forms of public transportation	জনসাধারণের যাতায়াত বিভিন্ন ধরণের জন্য আলোকিত লক্ষণ
three windows on the second floor	দ্বিতীয় তলায় তিনটি জানালা
a dark blue sedan moving fast	গাঢ় নীল রঙের সেডান দ্রুত গতিতে চলছে
zebras stand close together to watch for predators	শিকারীরা দেখার জন্য জেব্রা একসাথে দাঁড়িয়ে আছে
Gated street fair	গেটেড স্ট্রিট মেলা
surfboard forms a splash of water	সার্ফবোর্ড জল স্প্ল্যাশ গঠন
paper triangle stand	কাগজের ত্রিভুজ স্ট্যান্ড
a time and date stamp	একটি সময় এবং তারিখ স্ট্যাম্প
english letter is white	ইংরেজি বর্ণ সাদা
Brown box is on the tennis court	ব্রাউন বক্স টেনিস কোর্টে রয়েছে
a cross is on the tower	একটি ক্রুশ টাওয়ারের উপরে রয়েছে
players in dirt circle	ময়লা বৃত্তের খেলোয়াড়
beige stair way going to second level	বেইজ সিঁড়ি উপায় দ্বিতীয় স্তরে যাচ্ছে
grey concrete cross by the building	বিল্ডিং দ্বারা ধূসর কংক্রিট ক্রস
block for bench feet	বেঞ্চ ফুট জন্য ব্লক
location characters are white	অবস্থানের অক্ষরগুলি সাদা
Brown plastic fast food table	ব্রাউন প্লাস্টিকের ফাস্ট ফুড টেবিল
The TV and stand in the living room	বসার ঘরে টিভি এবং স্ট্যান্ড
brown wooden stairs leading to second floor	বাদামি কাঠের সিঁড়ি দিয়ে দোতলা যাওয়া যায়
very fine fabric and material	খুব সূক্ষ্ম বুনন এবং কাপড়
do not block intersection sign is above the right lane must turn right sign	ছেদটি অবরোধ করবেন না সাইনটি ডান দিকেই যান সাইন এর উপরে আছে
The motorcycles are going fast	মোটর সাইকেলগুলো দ্রুত চলছে
a fence behind the players	খেলোয়াড়দের পিছনে একটি বেড়া
the date on the photo	ফটোর উপরে তারিখ
the penalty box is white lined	পেনাল্টি বক্সটি সাদা রেখা দ্বারা চিহ্নিত
the green sign with red and yellow characters	সবুজ সাইন এর মধ্যে লাল এবং হলুদ হরফ
A red metal frame forms the half pipe	একটি লাল ধাতব ফ্রেম দিয়ে অর্ধেক পাইপ টি তৈরী 
shadows of players on court	কোর্টে খেলোয়াড়দের ছায়া
a red tennis shoe on players foot	খেলোয়াড় এর পায়ে একটি লাল টেনিস জুতো
clock face on wall date	দেয়াল এর ঘড়িতে তারিখ 
a group of people watching the baseball players	বেসবল খেলোয়াড়দের দেখছেন একদল লোক
a woman on the opposite team trying to block the frisbee	বিপক্ষ দলের এক মহিলা ফ্রিসবি আটকানোর চেষ্টা করছেন 
a white stand on road	রাস্তায় একটি সাদা স্ট্যান্ড
Concrete forms in pavement	ফুটপাতে কংক্রিট ফর্ম
man standing next to fruit stand	মানুষটি ফল স্ট্যান্ড এর পাশে দাঁড়িয়ে 
A bed plastic stamp	বিছানাতে প্লাস্টিকের স্ট্যাম্প
girl showing cow at fair	মেলায় গরু দেখাচ্ছে মেয়ে
judge on side of court on blue platform	কোর্ট এর এক পাশে নীল প্লাটফর্ম এ বিচারক 
The top white cross.	শীর্ষ সাদা ক্রস।
Dirt on the players pants.	খেলোয়াড়দের প্যান্টের উপর ময়লা।
chain-linked fence behind players	খেলোয়াড়দের পেছনে চেইন-লিঙ্কযুক্ত বেড়া
White paper on a black stand	একটি কালো স্ট্যান্ড উপর সাদা কাগজ
March 7th is the date on the calendar	৭ই মার্চ ক্যালেন্ডারে তারিখ
Tray of white rice and english muffins	সাদা ভাত এবং ইংলিশ মাফিনের ট্রে
a iron stand on back	পিছনে একটি লোহার স্ট্যান্ড
red hat on baseball players head	বেসবল খেলোয়াড় এর মাথায় লাল টুপি 
black and white tennis court netting	টেনিস কোর্ট এর সাদা এবং কালো জালের বুনানি
second set of closed umbrellas	বন্ধ ছাতার দ্বিতীয় সেট 
Bright red semi-gloss block wall	উজ্জ্বল আধা মসৃন লাল দেয়াল ব্লক 
Three baseball players are in the field.	তিনজন বেসবল খেলোয়াড় মাঠে আছেন 
A block wall is behind the skate park	স্কেট পার্কের পিছনে একটি ব্লক প্রাচীর রয়েছে
tail fine view of a red plane	একটি লাল বিমানের লেজ সূক্ষ্ম দর্শন
a group of ball players practicing	একটি বল খেলোয়াড়দের দল অনুশীলন করছে 
a fine silver pocket watch	একটি সূক্ষ্ম রুপার পকেট ঘড়ি
the date stamp in the corner of the pic	ছবিটির কোণায় তারিখ স্ট্যাম্প
Red circle with white cross under right wing	ডান ডানা নীচে সাদা ক্রস সঙ্গে লাল বৃত্ত
a metal stand for the flowers	ফুলের জন্য একটি ধাতব স্ট্যান্ড
A light reflecting on a tie press.	একটি টাই প্রেসে আলো প্রতিফলিত হচ্ছে 
loose sediment forms on the rocks	পাথরের উপর আলগা পলি ফর্ম
the hand is going to press a button	হাত একটি বোতাম টিপতে যাচ্ছে
sign written in english and foreign language	ইংরেজি এবং বিদেশী ভাষায় লিখিত সাইন
yellow stamp date near bottom	নীচে কাছাকাছি হলুদ স্ট্যাম্প তারিখ
Street sign on a pole in english and chinese	একটি স্ট্যান্ডের উপরে ইংলিশ এবং চীনা ভাষায় একটি রাস্তার সাইন
an english muffin sandwich	একটি ইংরেজি মাফিন স্যান্ডউইচ
many utility cables cross over the street	অনেক ইউটিলিটি তারগুলি রাস্তায় অতিক্রম করে
block sneakers with green laces	সবুজ লেইস সঙ্গে স্নিকার ব্লক
Brown painted signature and date.	বাদামি স্বাক্ষর এবং তারিখ আঁকা।
woman is behind the white line of a tennis court	টেনিস কোর্টের সাদা লাইনের পিছনে মহিলা রয়েছেন
a sign showing cross streets	ক্রস রাস্তা দেখানো একটি চিহ্ন
farmer's market stand	কৃষকের বাজার স্ট্যান্ড
banana on the stand	স্ট্যান্ডে কলা
logo stamp on the door	লোগো স্ট্যাম্প দরজা
english breakfast tea text	ইংরেজী প্রাতঃরাশের চা পাঠ্য
Black bike seat with silver springs.	সিলভার স্প্রিংস সহ কালো সাইকেলের সিট।
white sign with blue asian characters on it	এটিতে নীল এশিয়ান অক্ষরগুলির সাথে সাদা চিহ্ন
Big springs on the bottom of train.	ট্রেনের নীচে বড় স্প্রিংস।
Small French coffee press.	ছোট ফরাসি কফি প্রেস।
Landline phone on the night stand	নাইট স্ট্যান্ডে ল্যান্ডলাইন ফোন
A tin container decorated with Star Wars characters and themes	স্টার ওয়ার্সের অক্ষর এবং থিম দিয়ে সজ্জিত একটি টিনের পাত্রে
The players shoes are black.	খেলোয়াড়দের জুতো কালো।
Sis car models on top of each other	একে অপরের শীর্ষে সিস কার মডেল
date of the recording	রেকর্ডিংয়ের তারিখ
a second pizza in a pan	একটি প্যানে দ্বিতীয় পিজ্জা
cross walk lines on street	রাস্তায় ক্রস ওয়াক লাইন
two man standing on a tennis court	টেনিস কোর্টে দাঁড়িয়ে দুই ব্যক্তি
Cell phone is in stand.	সেল ফোন দাঁড়িয়ে আছে।
Blue section of tennis court	টেনিস কোর্টের ব্লু বিভাগ
A white plate with english muffins	ইংলিশ মাফিনস সহ একটি সাদা প্লেট
A block in the wall.	দেয়ালে একটি ব্লক।
a red sign advertising a fun fair	একটি লাল চিহ্ন একটি মজার মেলার বিজ্ঞাপন
a cross on the front of a church	একটি গির্জার সামনে ক্রস
the fence covered in netting at the end of the court	কোর্টের শেষে জাল দিয়ে বেড়ানো ঢাকা বেড়া
Small section of baseline on a tennis court	টেনিস কোর্টে বেসলাইনের ছোট্ট বিভাগ
a platter of fine china	সূক্ষ্ম চীন একটি থালা
Grey cross on a green dome top.	সবুজ গম্বুজ শীর্ষে ধূসর ক্রস।
fading on the court	কোর্টে বিবর্ণ
The date 01/03/2008 in yellow.	হলুদে ০১/০৩/২০০৮ তারিখ।
information stamp on image	ছবিতে তথ্য স্ট্যাম্প
yellow safety tape at a tennis court	টেনিস কোর্টে হলুদ সুরক্ষা টেপ
Balconies on the second story of the buildings	বিল্ডিংগুলির দ্বিতীয় গল্পের উপর বালকনিগুলি
Shades of the second biker	দ্বিতীয় বাইকারের ছায়া
a small black entertainment stand	একটি ছোট কালো বিনোদন স্ট্যান্ড
thumb press into a doughnut	একটি ডোনাট মধ্যে থাম্ব প্রেস
The line on the tennis court is white.	টেনিস কোর্টের লাইনটি সাদা।
mini hi-fi on small stand	ছোট স্ট্যান্ডে মিনি হাই ফাই
two people stand next to the boat	দু'জন লোক নৌকার পাশে দাঁড়িয়ে
an english taxi cab is on the bridge	একটি ইংরেজী ট্যাক্সি ক্যাব ব্রিজের উপরে রয়েছে
white TV stand on floor	ফ্লোরে সাদা টিভি স্ট্যান্ড
cross that sits atop the column on the left side	বাম দিকে কলামের উপরে বসে যে ক্রস
Two baseball players at the plate	প্লেটে দুটি বেসবল খেলোয়াড়
photo date on right	ডানদিকে ছবির তারিখ
a fine meal on a plate	একটি প্লেটে একটি চমৎকার খাবার
a glass block window	একটি গ্লাস ব্লক উইন্ডো
time and date stamp on the picture	ছবিতে সময় এবং তারিখের স্ট্যাম্প
sing is written in chinese and latin characters	গান চীনা এবং লাতিন অক্ষরে লেখা হয়
fine, pale sand	ঠিক আছে, ফ্যাকাশে বালু
cone of plane appears dark, shiny and fast	সমতল শঙ্কু অন্ধকার, চকচকে এবং দ্রুত প্রদর্শিত হবে
round light gray large cement block	গোলাকার হালকা ধূসর বড় সিমেন্ট ব্লক
Large tv on black stand.	কালো স্ট্যান্ডে বড় টিভি।
soccer players connect chin and forehead	ফুটবল খেলোয়াড়রা চিবুক এবং কপাল সংযোগ করে
a round wooden block	একটি বৃত্তাকার কাঠের ব্লক
a juice press	একটি রস প্রেস
Railing on second floor of building	বিল্ডিংয়ের দ্বিতীয় তলায় রেলিং
white paper with pictures on stand on the table	টেবিলের উপর স্ট্যান্ডে ছবি সহ সাদা কাগজ
items for sale in stand	স্ট্যান্ড বিক্রয়ের জন্য আইটেম
ridged metal pole stand to a large clock	উত্তেজিত ধাতব মেরু একটি বড় ঘড়ির জন্য দাঁড়িয়ে
Silver metal monitor stand	সিলভার মেটাল মনিটর স্ট্যান্ড
Landscape shrub models on display	ডিসপ্লেতে ল্যান্ডস্কেপ গুল্ম মডেল
these are baseball players	এই বেসবল খেলোয়াড়
Cinder block base for fence	বেড়া জন্য সিন্ডার ব্লক বেস
A net in between the players	খেলোয়াড়দের মধ্যে একটি নেট
the blue 28 on the back of the players shirt	প্লেয়ারদের শার্টের পিছনে নীল 28
the second level of the bus	বাসের দ্বিতীয় স্তর
characters on the billboard	বিলবোর্ডে অক্ষর
The bolt underneath the springs.	ঝর্ণার নীচে বল্টু।
The net on a tennis court	টেনিস কোর্টে নেট
older dude on bicycle in a country where spanish/english are the official languages	এমন দেশে সাইকেলের উপর বয়স্ক ছেলেমেয়েরা স্প্যানিশ / ইংরেজি সরকারী ভাষা
Several models hanging in the air in the exhibit	প্রদর্শনীতে বাতাসে ঝুলন্ত বেশ কয়েকটি মডেল
black utensils in a wooden block	একটি কাঠের ব্লক কালো পাত্রে
bird second in line	লাইনে পাখি দ্বিতীয়
english flag printed umbrella	ইংরেজি পতাকা ছাতা ছাতা
stamp on boy's left hand	ছেলের বাম হাতে স্ট্যাম্প
person holding a block of ice	বরফের ব্লক ধরে থাকা ব্যক্তি
large green and purple tennis court	বড় সবুজ এবং বেগুনি টেনিস কোর্ট
A man taking a picture of the players.	খেলোয়াড়দের ছবি তুলছেন এক ব্যক্তি।
Yellow time and date stamp	হলুদ সময় এবং তারিখ স্ট্যাম্প
a fair weather cloud	একটি আবহাওয়া মেঘ
orange date print	কমলা তারিখ মুদ্রণ
tennis players shaking hands	টেনিস খেলোয়াড়রা হাত কাঁপছেন
the block of hay	খড়ের ব্লক
there is a building behind the court	কোর্টের পিছনে একটি বিল্ডিং রয়েছে
proprietor of the mobile lemonade stand	মোবাইল লেবুনেড স্ট্যান্ডের স্বত্বাধিকারী
pole behind second baseman	দ্বিতীয় বেসম্যান পিছনে মেরু
Net separating a tennis	নেট একটি টেনিস পৃথক
A table full of fine china.	একটি সূক্ষ্ম চীন পূর্ণ টেবিল।
The items on the top shelf have painted characters on them	উপরের শেল্ফের আইটেমগুলিতে অক্ষরগুলি আঁকিয়েছে
date palms on the grassy field	ঘাসের মাঠে খেজুর
ground where bike stand	সাইকেল যেখানে দাঁড়িয়ে আছে
the players are wearing cleats on their shoes	প্লেয়াররা তাদের জুতোতে ক্লিট পরে আছে
green shrubbery that forms a circle around the pedestal	পাদদেশের চারপাশে একটি বৃত্ত তৈরি করে এমন সবুজ ঝোপঝাড়
crosswalk for pedestrians to cross	পথচারীদের পারাপারের জন্য ক্রসওয়াক
one side is in english	এক দিক ইংরেজিতে
The water bottle on the stand	স্ট্যান্ডে জলের বোতল
pair of hands typing fast on keyboard	হাত জোড় কীবোর্ডে টাইপ করা
second level of building	বিল্ডিং দ্বিতীয় স্তর
second man looking over first's shoulder	দ্বিতীয় ব্যক্তি প্রথম কাঁধের উপর তাকিয়ে
The birds are flying fast	পাখিরা দ্রুত উড়ছে
time stamp in corner of image	চিত্র কোণে সময় স্ট্যাম্প
light stand beside bed	বিছানার পাশে হালকা স্ট্যান্ড
date 01/05/2011	তারিখ ০১/০৫/২০১১
this court is green	এই কোর্ট সবুজ
a table filled with assorted models and tools	বিভিন্ন মডেল এবং সরঞ্জাম দিয়ে ভরা একটি টেবিল
The cave the wave forms.	গুহাটি তরঙ্গ গঠন করে।
baseball players helmet	বেসবল খেলোয়াড় হেলমেট
Large cross outside of a church.	একটি গির্জার বাইরে বড় ক্রস।
fence on a baseball court	বেসবল কোর্টে বেড়া
large green bench press on the table	টেবিলের উপর বড় সবুজ বেঞ্চ প্রেস
second car attached to train engine	ট্রেন ইঞ্জিনের সাথে সংযুক্ত দ্বিতীয় গাড়ি
a white line cross walk.	একটি সাদা লাইন ক্রস ওয়াক।
expiration date in black ink	কালো কালি শেষ হওয়ার তারিখ
box springs under a bed	একটি বিছানার নীচে বক্স স্প্রিংস
white graffiti on a stand	স্ট্যান্ডে সাদা গ্রাফিটি
block behind the woman	মহিলার পিছনে ব্লক
Glass safety rail on second floor.	দ্বিতীয় তলায় গ্লাস সুরক্ষা রেল।
White marking on the court	কোর্টে সাদা চিহ্ন
bolt on cross walk sign	ক্রস ওয়াক সাইন উপর বল্টু
a white line a cross the field	একটি সাদা লাইন একটি ক্ষেত্র পেরিয়ে
players wearing knee-high socks	খেলোয়াড়রা হাঁটু-উচ্চ মোজা পরা
second man skiing in snow	তুষার দ্বিতীয় স্কিইং
a few people about to cross the road	কিছু লোক রাস্তা পার হতে চলেছে
stop sign in english and farsi	ইংরেজি এবং ফারসি সাইন ইন করুন
a rounded edged wood block	একটি বৃত্তাকার ধারযুক্ত কাঠের ব্লক
Television set on wooden stand	কাঠের স্ট্যান্ডে টেলিভিশন সেট
Four players standing on a tennis court	টেনিস কোর্টে দাঁড়িয়ে চারজন খেলোয়াড়
the tv stand is blacjk incolor	টিভি স্ট্যান্ডটি ব্ল্যাকজক ইনক্লোর
a team of good soccor players.	ভাল সকার খেলোয়াড়দের একটি দল।
the angel is holding a cross shield	দেবদূত একটি ক্রস ঢাল ধরে আছে
a cross on the top of the building	বিল্ডিংয়ের উপরে একটি ক্রস
players watch from the dugout	খেলোয়াড়রা ডাগআউট থেকে দেখুন
stand full of baseball fans	বেসবল ভক্তদের পূর্ণ দাঁড়িয়ে
The cat is looking at the second cat.	বিড়াল দ্বিতীয় বিড়ালের দিকে তাকাচ্ছে।
People with umbrellas waiting to cross the street.	রাস্তা পার হওয়ার অপেক্ষায় ছাতাওয়ালা লোকেরা।
red ground of a tennis court	টেনিস কোর্টের লাল গ্রাউন্ড
the second hand on the clock	ঘড়ির উপর দ্বিতীয় হাত
the small cross on top of the headstone	হেডস্টোন উপরে ছোট ক্রস
White cross walk in road	রাস্তায় সাদা ক্রস ওয়াক
rusty springs beneath 'schwinn'	'স্কুইন' এর নীচে মরিচা ঝর্ণা
truck has two white Chinese characters	ট্রাক দুটি সাদা চীনা অক্ষর আছে
a bunch of baseball players waiting for their turn	বেসবল খেলোয়াড়দের একগুচ্ছ তাদের পালনের জন্য অপেক্ষা করছে
The sign is in arabic and english	সাইন আরবী এবং ইংরেজী ভাষায়
a copy of vanity fair is displayed	ভ্যানিটি মেলার একটি অনুলিপি প্রদর্শিত হয়
the fine is 350 usd	জরিমানা 350 ইউএসডি হয়
a black second hand	একটি কালো দ্বিতীয় হাত
A postage stamp.	একটি ডাকটিকিট
advertisement on tennis court	টেনিস কোর্টে বিজ্ঞাপন
A fruit stand on the sidewalk	ফুটপাতে একটি ফল স্ট্যান্ড
fair large legion of anti-climate change, 350.org, kites with tails in the overcast sky	জলবায়ু পরিবর্তন বিরোধী ন্যায্য বৃহত্তর সৈন্যদল, 350.org, মেঘলা আকাশে লেজযুক্ত ঘুড়ি
the banana hanging from the stand	স্ট্যান্ড থেকে কলা ঝুলছে
a church tower with a cross on the roof	ছাদে ক্রস সহ একটি গির্জার টাওয়ার
Lid of glass cake stand	কাচের কেক স্ট্যান্ডের ঢাকনা 
member of opposing team trying to block the shooter's shot	বিরোধী দলের সদস্য শ্যুটারের শটটি ব্লক করার চেষ্টা করছেন
the stand is stable	স্ট্যান্ড স্থিতিশীল
batter being poured into a waffle press	তরল কাই ওয়াফল প্রেস এ ঢালা হচ্ছে
black metal fence behind a tennis court	টেনিস কোর্টের পিছনে কালো ধাতব বেড়া
cross on the church roof	গির্জার ছাদ উপর ক্রস
clock on the pole	মেরু উপর ঘড়ি
the second young lady is wearing capri-style jeans	দ্বিতীয় যুবতী ক্যাপরি স্টাইলের জিন্স পরেছেন
The blue tennis court	নীল টেনিস কোর্ট
Angels overlooking the cross	দেবদূতরা ক্রসকে অগ্রাহ্য করে
black Samsung tv on the tv stand	কালো স্ট্যান্ড স্যামসং টিভি
Neon green time and date stamp	নিয়ন সবুজ সময় এবং তারিখ স্ট্যাম্প
the blue handle of a french press	একটি ফরাসি প্রেসের নীল হাতল
an alarm clock on the night stand	নাইট স্ট্যান্ডে একটি অ্যালার্ম ঘড়ি
Dark colored stand a tv is on.	গাঢ় রঙিন স্ট্যান্ড একটি টিভি চালু আছে।
second traffic light on pole	স্ট্যান্ডে দ্বিতীয় ট্র্যাফিক আলো 
Old english writing on board	বোর্ডে পুরানো ইংরেজি লেখা
this is a coffee press	এটি একটি কফি প্রেস
Green grass forms the ground.	সবুজ ঘাস মাটি গঠন করে।
sign laying on the second set of red apples	লাল আপেল এর দ্বিতীয় সেট এর উপর সাইন পড়ে আছে 
A sign in not english	ইংরাজিতে নয় এমন একটি সাইন
black remote on the tv stand	টিভি স্ট্যান্ড কালো রিমোট
Windows logo stamp on laptop.	ল্যাপটপে উইন্ডোজ লোগো স্ট্যাম্প।
french press coffee maker on the table	টেবিলে ফ্রেঞ্চ প্রেস কফি প্রস্তুতকারক 
Black stand with microphone	মাইক্রোফোন দিয়ে কালো স্ট্যান্ড
little white english car with vertical oblong taillights	উল্লম্ব বিভাজন টেইলাইট সহ ছোট সাদা ইংলিশ গাড়ি
aqua press wall with white advertising signs	সাদা বিজ্ঞাপনের লক্ষণ সহ একোয়া প্রেস ওয়াল
Soccer players on field.	মাঠে সকার খেলোয়াড়রা।
Top of net on tennis court	টেনিস কোর্টে নেট শীর্ষ
Coming fast around the bend	বাঁক এর পাশে দ্রুতগতিতে আসছে 
Blue border around tennis court	টেনিস কোর্টের চারপাশে নীল সীমানা
ink stamp print	কালি স্ট্যাম্প প্রিন্ট
yellow sticker with asian characters	এশিয়ান অক্ষরের সাথে হলুদ স্টিকার
second seat on motorcycle	মোটরসাইকেলের দ্বিতীয় আসন
four female soccer players on a grassy field	ঘাসের মাঠে চারজন মহিলা ফুটবল খেলোয়াড়
date 2008 printed on the label	তারিখ 2008 লেবেলে মুদ্রিত
grass tennis court	গ্রাস টেনিস কোর্ট
colored springs on truck	ট্রাকে রঙিন স্প্রিং
white cement block wall	সাদা সিমেন্ট ব্লক প্রাচীর
a cats closed eye forms a slit	একটি বিড়াল বদ্ধ চোখ একটি চেরা গঠন
the judge's chair by the court	কোর্ট এর পাশে বিচারক এর চেয়ার
a white surfboard stand next to yellow one	হলুদ রঙের পাশে একটি সাদা সার্ফবোর্ড
a layer of fine sweet chocolate	সূক্ষ্ম মিষ্টি চকোলেট একটি স্তর
the watermark is a block font	ওয়াটারমার্ক একটি ব্লক ফন্ট
red second hand on top of other hands	অন্য কাঁটার উপর লাল সেকেন্ডের কাঁটা
long fine hairs on chin	চিবুকের উপর দীর্ঘ সূক্ষ্ম চুল
Single white line drawn on tennis court	টেনিস কোর্টে টানা একক সাদা লাইন
a red cross decal	একটি রেড ক্রস ডেসাল
Blue garbage can on second floor.	নীল আবর্জনা দ্বিতীয় তলায় করতে পারেন।
front of military plane is pointed and fast	সামরিক বিমানের সামনে পয়েন্ট এবং দ্রুত হয়
signature of artist and date	শিল্পীর স্বাক্ষর এবং তারিখ
book of forms on desk	ডেস্কে ফর্ম বই
Silver french press coffee maker	সিলভার ফরাসি প্রেস কফি প্রস্তুতকারক
orange date stamp on photo	ছবির উপর কমলা তারিখ স্ট্যাম্প
woman in back of a court	কোর্টের পিছনে মহিলা
the date of the picture	ছবির তারিখ
gray color on court	কোর্টে ধূসর রঙ
small models boats on TV	ছোট মডেল টিভিতে নৌকা
glass block privacy wall	কাচ ব্লক গোপনীয়তা প্রাচীর
red painted lines on wooden court floor	কাঠের কোর্ট ফ্লোরে লাল আঁকা লাইন
red cross with a white background	একটি সাদা পটভূমি সঙ্গে রেড ক্রস
soccer players in a light blue uniforms	হালকা নীল রঙের ইউনিফর্মে ফুটবল খেলোয়াড়
