en	bn
Black scooter on the road	রাস্তায় ব্ল্যাক স্কুটার
black metal lock box	কালো ধাতব লক বাক্স
glass window on building	বিল্ডিং কাঁচ উইন্ডো
sidewalk is light grey	ফুটপাত হালকা ধূসর
window on the building	বিল্ডিং উইন্ডো
paved road with parked cars	পার্কযুক্ত গাড়ি সহ পাকা রাস্তা
window on a building	একটি বিল্ডিং উইন্ডো
window on a building	একটি বিল্ডিং উইন্ডো
white lines in the middle of the road	রাস্তার মাঝখানে সাদা লাইন
car parked on a narrow road	একটি সরু রাস্তায় গাড়ি পার্ক
red helmet on his head	তার মাথায় লাল হেলমেট
boat on the water	জলের উপর নৌকা
the boat is at a dock	নৌকা একটি ডক এ
pink pants	গোলাপী প্যান্ট
Blue parking lines on the pavement	ফুটপাতে নীল পার্কিংয়ের লাইন
the man is walking	লোকটি হাঁটছে
the sidewalk	ফুটপাথ
green palm on radio	রেডিওতে সবুজ পাম
hole in silver hubcap	সিলভার হাবক্যাপে গর্ত
Girl in blue jean skirt	নীল জিন স্কার্টের মেয়ে
the electrical box on the post	পোস্টে বৈদ্যুতিক বাক্স
sign on side of road	রাস্তার পাশে সাইন ইন করুন
green grass in a field	একটি জমিতে সবুজ ঘাস
blue sign with large black base	বড় কালো বেস সঙ্গে নীল চিহ্ন
green palm on tree	গাছে সবুজ খেজুর
picture in a frame	একটি ফ্রেমে ছবি
the car is black	গাড়ী কালো
red car near plant	গাছের কাছে লাল গাড়ি
car on the road	রাস্তায় গাড়ি
white bus on the street	রাস্তায় সাদা বাস
window on a building	একটি বিল্ডিং উইন্ডো
A decorated Christmas tree.	একটি সজ্জিত ক্রিসমাস ট্রি।
yellow dump truck by the mountain	পর্বত দ্বারা হলুদ ডাম্প ট্রাক
green palm on tree	গাছে সবুজ খেজুর
sun in the sky	আকাশে সূর্য
white print style letter	সাদা প্রিন্ট শৈলী চিঠি
the light is on the ceiling	আলো সিলিংয়ে রয়েছে
light brown wooden step	হালকা বাদামী কাঠের পদক্ষেপ
womens lips	মহিলাদের ঠোঁট
brick with grass around it	চারপাশে ঘাসের সাথে ইট
a seagull is standing	একটি সিগল দাঁড়িয়ে আছে
the building is large	ভবনটি বড় 
A dark colored van.	গাঢ় রঙের একটি ভ্যান।
A dark haired woman in a colorful top	রঙিন শীর্ষে একটি অন্ধকার কেশিক মহিলা
ear of the cat	বিড়ালের কান
the woman is next to the man	মহিলাটি পুরুষের পাশে রয়েছে
window on a building	একটি বিল্ডিং উইন্ডো
grey colored sidewalk brick	ধূসর রঙের ফুটপাতের ইট
the man is standing	লোকটি দাঁড়িয়ে আছে
Three men standing in a group.	একটি দলে দাঁড়িয়ে তিন জন পুরুষ।
A luggage cart on a tarmac	একটি টারম্যাকের একটি লাগেজ কার্ট
The tail of an airplane	একটি বিমানের লেজ
black restroom sign attached to the wall	দেয়ালের সাথে সংযুক্ত কালো রেস্টরুম সাইন
a long metal rack	একটি দীর্ঘ ধাতু আলনা
light on a machine	একটি মেশিনে আলো
child wearing striped shirt	স্ট্রিপ শার্ট পরা শিশু
Cameras on the ceiling of the room	ঘরের সিলিংয়ে ক্যামেরা
Vase on the mantel	ম্যানটেলে ফুলদানি
the man has a goatee	লোকটির একটা ছাগল আছে
man painting on canvas	মানুষ ক্যানভাসে পেইন্টিং
a row of red chairs	লাল চেয়ারগুলির এক সারি
two police officers	দুই পুলিশ অফিসার
houseboat in the water	জলে হাউস বোট
bread in a basket	একটি ঝুড়িতে রুটি
man with short black hair	সংক্ষিপ্ত কালো চুলের মানুষ
a big grey ball	একটি বড় ধূসর বল
White table cloth on the table	টেবিলের উপরে সাদা টেবিলের কাপড়
A person sitting in the baptism tub.	বাপ্তিস্মের টবে বসে থাকা একজন ব্যক্তি।
Horizontal Venetian blinds on the window	উইন্ডোতে অনুভূমিক ভিনিশিয়ান ব্লাইন্ডস
Flat-screen television on the dresser	ড্রেসারে ফ্ল্যাট স্ক্রিন টেলিভিশন
lights suspended from ceiling	সিলিং থেকে বাতি স্থগিত
The man has gray hair.	লোকটির ধূসর চুল আছে।
man wearing white shirt	সাদা শার্ট পরা মানুষ
People sitting in a bus.	লোকজন বাসে বসে।
Man and woman in a candy store	একটি ক্যান্ডির দোকানে পুরুষ এবং মহিলা
chair desk combo in the room	ঘরে চেয়ার ডেস্ক কম্বো
The man is wearing glasses.	লোকটি চশমা পরেছে।
A man with no shirt in the snow	বরফের শার্ট নেই এমন লোক
grey dividers for cubicles	ঘনক্ষেত্রের জন্য ধূসর বিভাজক
windown pane on door	দরজা বায়ু সমতল
Truck has white cargo holder	ট্রাকে সাদা কার্গো ধারক রয়েছে
the chair has no arms	চেয়ারের কোন বাহু নেই
man has head turned	মানুষ মাথা ঘুরে গেছে
child walking into plane	শিশু প্লেনে চলা
purple tissue paper around bouquet	তোড়া প্রায় রক্তবর্ণ টিস্যু পেপার
pool table in a large room	একটি বড় ঘরে পুল টেবিল
paddle on a table	একটি টেবিল উপর প্যাডেল
Man standing in a room.	একটা ঘরে দাঁড়িয়ে মানুষ।
Man relaxing in the water.	মানুষ পানিতে ঝিমঝিম করছে।
man is in a pool	মানুষ একটি পুল হয়
boy has brown hair	ছেলেটির চুল বাদামি
A brown and white staircase	একটি বাদামী এবং সাদা সিঁড়ি
Building is painted green.	বিল্ডিং সবুজ রঙ করা হয়।
many people in snow	তুষার অনেক মানুষ
The silver toilet	রৌপ্য টয়লেট
Yellow slide in the room	ঘরে হলুদ স্লাইড
child shopping cart filled with fake food	শিশু শপিং কার্ট জাল খাবার দিয়ে ভরা
this is a kitchen	এটি একটি রান্নাঘর
a faucet on the sink	ডুবে একটি কল
Assorted cereals on a kitchen shelf	রান্নাঘরের শেল্ফে বিভিন্ন ধরণের সিরিয়াল
white microwave oven in corner	কোণে সাদা মাইক্রোওয়েভ ওভেন
wall papered wall in a kitchen	একটি রান্নাঘর মধ্যে ওয়াল পেপার লাগানো প্রাচীর 
A wall of orange dryers.	কমলা ড্রায়ারের একটি প্রাচীর
White pipe on the wall	দেয়ালে সাদা পাইপ
dolphin statue near the pool	পুলের কাছে ডলফিন স্ট্যাচু
microwave on top of counter	কাউন্টার উপরে মাইক্রোওয়েভ
logo on the hat	টুপি লোগো
a person kneeling down	একজন ব্যক্তি হাঁটু গেড়ে বসে
Person wearing black pants	কালো প্যান্ট পরা ব্যক্তি
people sitting on a couch	একটি পালঙ্ক উপর বসে মানুষ
light hanging from the ceiling	সিলিং থেকে হালকা ঝুলন্ত
square hole in chair	চেয়ারে বর্গাকার গর্ত
arms up in the air	বাতাসে অস্ত্র আপ
orange pail hanging from wall	দেয়াল থেকে কমলা কমলা ঝুলছে
white washer situated under a counter	সাদা ধোয়া একটি কাউন্টার অধীনে অবস্থিত
person sitting in front of window	উইন্ডো সামনে বসে ব্যক্তি
light of daytime sky	দিনের আকাশের আলো
Brown lounge chair next to the pool	পুলের পাশে ব্রাউন লাউঞ্জ চেয়ার
A group of umbrellas at a pool	একটি পুলে একদল ছাতা
Red bench near elegant chair	মার্জিত চেয়ারের কাছে রেড বেঞ্চ
green turtle pool in stack	স্ট্যাকের মধ্যে সবুজ কচ্ছপ পুল
many people in a room	এক ঘরে অনেক লোক
man with a blue and black plaid shirt	নীল এবং কালো প্লেড শার্টযুক্ত লোক
the word polar on the truck	ট্রাকে পোলার শব্দটি
A black and brown area rug	একটি কালো এবং বাদামী অঞ্চল গালিচা
black chair to the left of brown table	বাদামী টেবিলের বাম দিকে কালো চেয়ার
brown colored wooden stair	বাদামী রঙের কাঠের সিঁড়ি
A yellow and black tie on a man	একজন মানুষের গায়ে হলুদ ও কালো রঙের টাই
person walking on trail	ব্যক্তি পথচলার উপর হাঁটা
woman wearing red scarf	লাল স্কার্ফ পরা মহিলা
pigeon on ground	মাটিতে কবুতর
back of docked houseboat	ডকড হাউসবোটের পিছনে
a yellow skirt	একটি হলুদ স্কার্ট
black tv in room	ঘরে কালো টিভি
Television remote sitting on a red tablecloth	টেলিভিশন রিমোট একটি লাল টেবিল ক্লথের উপর বসে
mirror on the wall	দেয়ালে আয়না
Picture hanging on the wall	দেওয়ালে ঝুলন্ত ছবি
A large painting on a wall	একটি প্রাচীর উপর একটি বড় পেইন্টিং
Photo taken during the day	দিনের বেলা তোলা ছবি
People walking on the bridge	মানুষ সেতুর উপর দিয়ে হাঁটছে
tower with pointed top	পয়েন্ট শীর্ষে টাওয়ার
these are old structures	এগুলি পুরানো কাঠামো
grey steps on stairs	সিঁড়ি ধূসর পদক্ষেপ
person walking on spiral stairs	ব্যক্তি সর্পিল সিঁড়ি উপর হাঁটা
window on a residential building	একটি আবাসিক বিল্ডিং উইন্ডো
the silver butter knives	সিলভার মাখন ছুরি
utensil to the left of plate	প্লেটের বাম দিকে পাত্রে
black letters on paper	কাগজে কালো অক্ষর
Coffee cup full of frothy coffee	কফির কাপটি ফ্রন্টি কফিতে পূর্ণ
cut banana in bowl	পাত্রে কলা কেটে নিন
Juice in glass bottle	গ্লাস বোতল রস
A vase full of red flowers	লাল ফুল দিয়ে পূর্ণ একটি দানি
the rainbow looks like a half moon	রামধনু দেখতে অর্ধচন্দ্রের মতো
wooden slat on chair	চেয়ারে কাঠের স্লট
a brown wooden cabinet door	একটি বাদামী কাঠের মন্ত্রিসভা দরজা
the gun is shiny	বন্দুক চকচকে
clear blue sky above a mountaintop.	একটি পাহাড়ের চূড়া উপরে নীল আকাশ পরিষ্কার।
a window in an apartment building	একটি অ্যাপার্টমেন্ট বিল্ডিং একটি উইন্ডো
a black street light	একটি কালো স্ট্রিট লাইট
a black chair	একটি কালো চেয়ার
Two men sitting at a desk	একটি ডেস্কে দু'জন লোক বসে আছে
phone with twisted cord	পাকানো কর্ড সহ ফোন
a white car parked on the street	রাস্তায় পার্ক করা একটি সাদা গাড়ি
white car parked near the fence	সাদা গাড়ী বেড়া কাছাকাছি পার্ক
window side of building	বিল্ডিং এর উইন্ডো পাশ
this is a woman	এই মহিলা
the field is green	ক্ষেত্র সবুজ
yellow lines on the street	রাস্তায় হলুদ লাইন
black car parked on the street	কালো গাড়ি রাস্তায় পার্ক করা
the street	রাস্তা
this is a car	এই একটি গাড়ী
The water is green in color.	জল সবুজ বর্ণের।
License plate on the car	গাড়িতে লাইসেন্স প্লেট
Black car on a road.	একটি রাস্তায় কালো গাড়ি।
window on the building	বিল্ডিং উইন্ডো
pane on the window	উইন্ডোতে ফলক
tall outdoor lamp post	লম্বা আউটডোর ল্যাম্প পোস্ট
tire of the car	গাড়ির টায়ার
The brown delivery truck	ব্রাউন ডেলিভারি ট্রাক
car tire made of black rubber and silver metal	কালো রাবার এবং সিলভার ধাতু দিয়ে তৈরি গাড়ির টায়ার
The parked white car.	পার্ক করা সাদা গাড়ি।
a brightly lit rear brake light	একটি উজ্জ্বল আলোকিত রিয়ার ব্রেক আলো
window in a large office building	একটি বড় অফিস বিল্ডিং মধ্যে উইন্ডো
window in front of building	বিল্ডিংয়ের সামনে জানালা
blue house with light brown roof	হালকা বাদামী ছাদ সহ নীল বাড়ি
the older woman walking on the sidewalk	প্রবীণ মহিলা ফুটপাথে হাঁটা
a large black trashcan	একটি বড় কালো ট্র্যাশকেন
Street signs says Ames	রাস্তার লক্ষণগুলি আমেস বলেছে
woman standing on sidewalk	ফুটপাতে দাঁড়িয়ে মহিলা
square window on building	স্কয়ার উইন্ডো বিল্ডিং
book on brown wooden bookshelf	ব্রাউন কাঠের বইয়ের তাকের উপর বই
Paper cup on top of desk.	ডেস্কের উপরে পেপার কাপ।
clock on the wall	দেয়ালে ঘড়ি
Vase on the table	টেবিলের উপর দানি
a glossy blue coffee mug	একটি চকচকে নীল কফি মগ
Silver faucet on kitchen sink	রান্নাঘর সিঙ্কে সিলভার কল
window on the building	বিল্ডিং উইন্ডো
The woman in jeans and a black shirt.	জিন্স এবং একটি কালো শার্টে মহিলা।
A blue and white parking sign.	একটি নীল এবং সাদা পার্কিং সাইন।
the plant on the toilet	টয়লেট উপর উদ্ভিদ
white book with black writing	কালো লেখা সহ সাদা বই
a tan car parked	একটি ট্যান গাড়ী পার্ক করা
window on the building	বিল্ডিং উইন্ডো
woman has black hair	মহিলার কালো চুল আছে
man walking on sidewalk	মানুষ ফুটপাথে হাঁটছে
Banners on the post	পোস্টে ব্যানার
reflection on store window	স্টোর উইন্ডোতে প্রতিবিম্ব
the bench is long	বেঞ্চ দীর্ঘ
wood plank on porch	বারান্দায় কাঠের তক্তা
crisp brown leaf fallen off of a tree	খাস্তা বাদামি পাতা গাছ থেকে পড়ে গেছে
a stone in a leaf filled field	পাতায় ভরা মাঠে পাথর
silver SUV parked on road	সিলভার এসইউভি রাস্তায় পার্ক করা
paint on a mailbox	একটি মেলবক্সে আঁকা
window in front of white building	সাদা ভবনের সামনে জানালা
clock on the wall	দেয়ালে ঘড়ি
The silver car	রূপা গাড়ি
a women standing	একটি মহিলা দাঁড়িয়ে
window in front of brick building	ইট বিল্ডিংয়ের সামনে জানালা
Do Not Enter street sign	রাস্তার সাইন প্রবেশ করবেন না
the red headed woman wlaking on the sidewalk	লাল মাথাওয়ালা মহিলা ফুটপাতে দুলছে
window in front of building	বিল্ডিংয়ের সামনে জানালা
maroon car parked at the curb	মেরুন গাড়ি কার্কে দাঁড়িয়ে
blue vehicle parked on the street	রাস্তায় পার্কিং নীল যান
jeep suv parked on curb	জিপ সুভ কার্বনে পার্ক করা
a street light on a metal pole	একটি ধাতব মেরু উপর একটি স্ট্রিট লাইট
the shelf is color brown	বালুচর রঙ বাদামী
a computer is on front a keyboard	একটি কম্পিউটার সামনে একটি কীবোর্ড রয়েছে
blue and white coffee mug	নীল এবং সাদা কফি মগ
an empty poster board on the wall	দেওয়ালে একটি খালি পোস্টার বোর্ড
yellow box of snack crackers	স্ন্যাক ক্র্যাকারের হলুদ বাক্স
Black monitor on desk	ডেস্কে কালো মনিটর
Black and white desk lamp	কালো এবং সাদা ডেস্ক বাতি
gray plastic trash can under desk	ধূসর প্লাস্টিকের ট্র্যাশ ডেস্কের নীচে থাকতে পারে
whtie microwave oven	সাদা মাইক্রোওয়েভ ওভেন
Office chair in front of computer monitor	কম্পিউটার মনিটরের সামনে অফিস চেয়ার
Blue cardigan draped over blue chair	নীল চেয়ারের উপরে নীল কার্ডিগান an
a row of binders on a shelf	একটি বালুচর উপর একটি সারি বাঁধাই করা
a white piece of paper	কাগজের একটি সাদা টুকরা
White keyboard on top of desk.	ডেস্কের উপরে সাদা কীবোর্ড।
an old black tire	একটি পুরানো কালো টায়ার
Maroon SUV driving down the road	রাস্তায় গাড়ি চালাচ্ছে মারুন এসইউভি
a map hanging on the wall	দেয়ালে ঝুলন্ত একটি মানচিত্র
fluorescent ceiling lights	ফ্লুরোসেন্ট সিলিং লাইট
a tan wooden desk	একটি ট্যান কাঠের ডেস্ক
the blue walls	নীল দেয়াল
large window with white sill	সাদা সিল সঙ্গে বড় উইন্ডো
red street sign with white lettering	সাদা বর্ণের সাথে লাল রাস্তার চিহ্ন sign
a red sign with a white stripe	একটি সাদা ফিতে সঙ্গে একটি লাল চিহ্ন
car driving on road	রাস্তায় গাড়ি চালানো
blue banner with white decorations	সাদা সজ্জা সঙ্গে নীল ব্যানার
black railingon the sidewalk	ব্ল্যাক রেলিংগন ফুটপাত
Person on the surfboard	সার্ফবোর্ডে থাকা ব্যক্তি
Boat in the water	জলে নৌকা
a row of parked cars	পার্ক করা গাড়িগুলির একটি সারি
a black computer monitor	একটি কালো কম্পিউটার মনিটর
multicolored rainbow over water	জলের উপরে বহু রঙের রংধনু
