en	hi
the sidewalk	फ़ुटपाथ
The driver's side door is open	ड्राइवर के बगल का द्वार खुला है
A plate full of food	भोजन से भरी थाली
the building is white	इमारत सफेद है
small picture on wall	दीवार पर छोटी सी तस्वीर
intersection of wooden logs	लकड़ी के लॉग का चौराहे
light attached to building	इमारत से संबद्ध प्रकाश
Do Not Enter sign	साइन न करें
colorful pillow of blues and reds on a white striped couch	सफेद धारीदार सोफे पर ब्लूज़ और रेड्स का रंगीन तकिया
dent is in the vehicle	डेंट वाहन में है
the roof is grey	छत ग्रे है
brown frame on mirror	दर्पण पर भूरे रंग का फ्रेम
white flowers beneath tree	पेड़ के नीचे सफेद फूल
white ambulance on the street	सड़क पर सफेद एम्बुलेंस
green trees in distance	दूरी में हरे पेड़
The sign is blue	यह चिह्न नीला है
Man sitting off to side of road	सड़क के किनारे बैठा आदमी
a man crossing the street	सड़क पार करने वाला एक आदमी
sign on the wall	दीवार पर साइन इन करें
window in a brick house	एक ईंट के घर में खिड़की
The computer screen is blue	कंप्यूटर की स्क्रीन नीली है
bike route sign	बाइक मार्ग का चिह्न
Grey Beard Hair on a man	एक आदमी पर ग्रे दाढ़ी बाल
the rear view of a car	कार का पिछला दृश्य
Burger with cheese sauce	पनीर सॉस के साथ बर्गर
side of thee silver SUV	रजत एसयूवी की ओर
Woman walking across street	सड़क पर घूमती हुई महिला
woman wearing pink jacket	गुलाबी जैकेट पहने महिला
red car parked by street light	गली की बत्ती से के पास खड़ी लाल कार
the traffic lights are yellow	ट्रैफिक लाइट पीले हैं
White painted line on pavement	फुटपाथ पर सफेद रंग की लाइन
The black tipped pen on the desk	मेज पर काले रंग की कलम
Man in white shirt walking down the sidewalk	सफेद शर्ट में आदमी फुटपाथ के नीचे चल रहा है
large light fixture in ceiling	छत में बड़ा प्रकाश आकार
white monitor on desk	सफेद मॉनिटर डेस्क पर
black computer monitor on desk	डेस्क पर ब्लैक कंप्यूटर मॉनिटर
handle on the mug	मग पर संभाल
a man sitting in front of a computer monitor	कंप्यूटर मॉनिटर के सामने बैठा आदमी
Turned on black monitor	ब्लैक मॉनीटर पर दिया
Man wearing brown sunglasses.	आदमी भूरा धूप का चश्मा पहने हुए।
brick on the building	इमारत पर ईंट
silver metal table on ground	जमीन पर धातु तालिका
A grey trash bin.	एक ग्रे कचरा बिन।
boy holding ball	बॉल पकड़े हुए लड़का
projection screen is white	प्रोजेक्शन स्क्रीन सफेद है
yellow traffic signal attached to a gray pole	पीले ट्रैफिक सिग्नल एक ग्रे पोल से जुड़ा हुआ है
red truck behind silver car	चांदी की कार के पीछे लाल ट्रक
two mopeds are parked	दो मोपेड खड़ी हैं
A blue car on the street.	सड़क पर एक नीली कार।
black car with yellow doors	पीली डोर वाली काली कार
a car with four doors	चार दरवाजों वाली एक कार
bike parked on the sidewalk	फुटपाथ पर खड़ी बाइक
Red motorcycle on sidewalk	फुटपाथ पर लाल मोटरसाइकिल
man wearing blue shirt	नीली कमीज पहने आदमी
Group of scooters parked next to each other	स्कूटरों का समूह एक दूसरे के बगल में खड़ा था
yellow VW leaving parking lot	पीले वीडब्ल्यू पार्किंग को छोड़कर
bag of oranges	संतरे का बैग
there is a band on stage	मंच पर एक बैंड है
window on white house	सफेद घर पर खिड़की
these are tall buildings	ये ऊंची इमारतें हैं
small car beside curb	कर्ब के पास छोटी कार
this is a person	यह एक व्यक्ति है
bull on the sand	रेत पर बैल
the building with a yellow roof	एक पीले रंग की छत के साथ इमारत
the cup is upside down	कप उल्टा है
Light in the ceiling.	छत में प्रकाश।
Black truck is parked	काला ट्रक पार्क किया गया है
the man in the light blue coat	हल्के नीले कोट में आदमी
Bike leaning against black gate	काले फाटक के खिलाफ बाइक झुकाव
white curtain on window	विंडो पर श्वेत पर्दा
the alarm clock is off	अलार्म घड़ी बंद है
A medium sized picture on the wall.	दीवार पर एक मध्यम आकार का चित्र।
A bottle of water on the table.	टेबल पर पानी की एक बोतल।
Wired telephone connected to the wall	तार से जुड़ा तार
Chair next to wood desk.	लकड़ी के मेज़ के बगल में कुर्सी।
Lamppost next to television	टेलीविजन के बगल में लैम्पपोस्ट
Black backpack beside a bed	एक बिस्तर के बगल में काला बैग
A silver faucet in a bathroom	एक बाथरूम में एक चांदी का नल
small plant on porch	पोर्च पर छोटा पौधा
cedar shingles on the house	देवदार घर पर दाद
a white and tan hotel room	एक सफेद और टैन होटल का कमरा
Five knobs on a stove	एक डंडे पर पाँच गाँठ
the sink is stainless steel	सिंक स्टेनलेस स्टील है
a wooden floor	एक लकड़ी के फर्श
the window is shut	खिड़की बंद है
black car tire with silver rim	चांदी रिम के साथ काली कार टायर
a four legged steel chair	एक चार पैर वाली स्टील कुर्सी
Red desk lamp sitting on desk	लाल डेस्क लैंप डेस्क पर बैठे
the wooden night stand	लकड़ी की रात स्टैंड
tall grassy plants	लंबे घास के पौधे
part of a house plant	मकान पौधे का भाग
red and green plaid sofa	लाल और हरे रंग का प्लेड सोफा
Large kitchen area	बड़ा रसोई क्षेत्र
boat on the water	पानी पर नाव
vehicles parked on the side of the road	सड़क के किनारे वाहन खड़े कर दिए
A woman standing on the sidewalk.	फुटपाथ पर खड़ी एक महिला।
man standing on the phone	फोन पर खड़ा आदमी
a woman wearing a rain jacket	रेन जैकेट पहने एक महिला
taxi cab driving on street	सड़क पर टैक्सी टैक्सी चला रहे हैं
yellow taxi driving on a street	एक सड़क पर पीली टैक्सी चलती है
person walking down the sidewalk in a busy city	एक व्यस्त शहर में फुटपाथ के नीचे चलने वाला व्यक्ति
person walks on sidewalk	व्यक्ति फुटपाथ पर चलता है
Group of people is standing	लोगों का समूह खड़ा है
black car on the street	सड़क पर काली कार
window of a car	कार की खिड़की
flowers next to water	पानी के बगल में फूल
A food stand on a sidewalk	एक खाना फुटपाथ पर खड़ा है
person crossing on crosswalk	क्रॉसवॉक पर पार करने वाला व्यक्ति
van driving under light	प्रकाश के तहत वैन ड्राइविंग
Yellow taxi on the road	सड़क पर पीली टैक्सी
window on the building	भवन पर खिड़की
women is wearing a pink shirt	एक ऑरत ने गुलाबी कुर्ता पहना हुआ हैं
Tan hat hanging on a post	एक पोस्ट पर लटका तन टोपी
A white plane on a tarmac	एक टरमैक पर एक सफेद विमान
planes parked on the tarmac	टरमैक पर पार्क किए गए विमान
small window on airplane	हवाई जहाज पर छोटी खिड़की
car on the road	सड़क पर कार
small rocks	छोटी चट्टानें
tree trunk is broken	पेड़ का तना टूट गया है
person in red shorts	लाल शॉर्ट्स में व्यक्ति
the shrub is very short	झाड़ी बहुत कम है
clouds in the sky	आकाश में बादल
A buffalo near a road	एक सड़क के पास एक भैंस
cloud in the sky	आकाश में बादल
White moving through the water	सफेद पानी के माध्यम से चलती है
parrot is on top of cage	तोता पिंजरे के ऊपर है
A bird standing in water	पानी में खड़ा एक पक्षी
right eye	दाहिना आँख
light on the pole	पोल पर प्रकाश
highway in a quiet area	एक शांत क्षेत्र में राजमार्ग
white cloud in sky	आकाश में सफेद बादल
White boat next to the dock.	गोदी के आगे सफेद नाव।
boat in the water	पानी में नाव
boat is orange	नाव नारंगी है
bikes in line by sidewalk	फुटपाथ से लाइन में बाइक
small green minivan	छोटे हरे मिनीवान
american flag hanging on side of building	इमारत के किनारे लटकता हुआ अमेरिकी झंडा
tree behind building	निर्माण के पीछे पेड़
window on the building	भवन पर खिड़की
orange beak on white duck	सफेद बतख पर नारंगी चोंच
grey and white sky	ग्रे और सफेद आकाश
man holding long yellow skis	आदमी लंबी पीली स्की पकड़े हुए
the red flag in the snow	बर्फ में लाल झंडा
Black scooter on the road	सड़क पर काला स्कूटर
black metal lock box	काला धातु लॉक बक्सा
glass window on building	इमारत पर कांच विंडो
sidewalk is light grey	फुटपाथ हल्का भूरा है
window on the building	भवन पर खिड़की
paved road with parked cars	पार्क किए गए कारों सहित सड़क
window on a building	एक इमारत पर खिड़की
window on a building	इमारत पर खिडकि
white lines in the middle of the road	सड़क के बीच में सफेद लाइनें
car parked on a narrow road	एक संकरी सड़क पर खड़ी कार
red helmet on his head	उसके सिर पर लाल हेलमेट
boat on the water	पानी पर नाव
the boat is at a dock	नाव एक गोदी में है
pink pants	गुलाबी पैंट
Blue parking lines on the pavement	फुटपाथ पर नीली पार्किंग लाइनें
the man is walking	आदमी चल रहा है
the sidewalk	फ़ुटपाथ
green palm on radio	रेडियो पर हरी हथेली
hole in silver hubcap	सिल्वर हबकैप में छेद
Girl in blue jean skirt	नीली जीन स्कर्ट में लड़की
the electrical box on the post	पोस्ट पर विद्युत बॉक्स
sign on side of road	सड़क के किनारे साइन इन करें
green grass in a field	क्षेत्र में हरी घास
blue sign with large black base	बड़े काले आधार के साथ नीला चिन्ह
green palm on tree	पेड़ पर हरा हथेली
picture in a frame	एक फ्रेम में तस्वीर
the car is black	कार काला है
red car near plant	संयंत्र के पास लाल कार
car on the road	सड़क पर कार
white bus on the street	सड़क पर सफेद बस
window on a building	एक इमारत पर खिड़की
A decorated Christmas tree.	एक सजाया हुआ क्रिसमस ट्री।
yellow dump truck by the mountain	पहाड़ द्वारा पीला डंप ट्रक
green palm on tree	पेड़ पर हरा हथेली
sun in the sky	आकाश में सूर्य
white print style letter	सफेद प्रिंट शैली
the light is on the ceiling	छत पर प्रकाश है
light brown wooden step	हल्के भूरे रंग का लकड़ी का कदम
womens lips	महिला के होंठ
brick with grass around it	इसके चारों ओर घास के साथ ईंट
a seagull is standing	एक सीगल खड़ा है
the building is large	इमारत बड़ी है
A dark colored van.	गहरे रंग की एक वैन।
A dark haired woman in a colorful top	एक रंगीन शीर्ष में एक काले बालों वाली महिला
ear of the cat	बिल्ली का कान
the woman is next to the man	महिला पुरुष के बगल में है
window on a building	एक इमारत पर खिड़की
grey colored sidewalk brick	धूसर रंग के ईंट फ़ुटपाथ
the man is standing	आदमी खड़ा है
Three men standing in a group.	एक समूह में तीन आदमी खड़े थे।
A luggage cart on a tarmac	एक टार्मेक पर एक सामान गाड़ी
The tail of an airplane	एक हवाई जहाज की पूंछ
black restroom sign attached to the wall	ब्लैक टॉयलेट साइन दीवार से जुड़ा हुआ
a long metal rack	एक लंबा धातु रैक
light on a machine	एक मशीन पर प्रकाश
child wearing striped shirt	धारीदार शर्ट पहने बच्चा
Cameras on the ceiling of the room	कमरे की छत पर लगे कैमरे
Vase on the mantel	अग्निस्थान के उप्पर ग़ुलदान
the man has a goatee	आदमी के पास एक बकरी है
man painting on canvas	कैनवास पर आदमी पेंटिंग
a row of red chairs	लाल कुर्सियों की एक पंक्ति
two police officers	दो पुलिस अधिकारी
houseboat in the water	पानी में हाउसबोट
bread in a basket	एक टोकरी में रोटी
man with short black hair	छोटे काले बालों वाला आदमी
a big grey ball	एक बड़ी ग्रे बॉल
White table cloth on the table	मेज पर सफेद कपड़ा तालिका
A person sitting in the baptism tub.	एक व्यक्ति दीक्षा-स्नान टब में बैठे व्यक्ति |
Horizontal Venetian blinds on the window	क्षैतिज विनीशियन खिड़की पर अंधा कर रही है
Flat-screen television on the dresser	ड्रेसर पर फ्लैट स्क्रीन टेलीविजन
lights suspended from ceiling	छत से निलंबित प्रकाश
The man has gray hair.	आदमी के भूरे बाल हैं।
man wearing white shirt	आदमी सफेद शर्ट पहने हुए
People sitting in a bus.	एक बस में बैठे लोग।
Man and woman in a candy store	एक कैंडी की दुकान में आदमी और औरत
chair desk combo in the room	कमरे में कुर्सी डेस्क कॉम्बो
The man is wearing glasses.	आदमी चश्मा पहन रहा है |
A man with no shirt in the snow	बर्फ में कुर्ता के साथ एक व्यक्ति
grey dividers for cubicles	क्यूबिकल्स के लिए ग्रे डिवाइडर
windown pane on door	द्वार पर विन्ड फलक
Truck has white cargo holder	ट्रक में सफेद कार्गो धारक है
the chair has no arms	कुर्सी के पास कोई हथियार नहीं है
man has head turned	आदमी का सिर मुड़ गया है
child walking into plane	बच्चा विमान में घूम रहा है
purple tissue paper around bouquet	गुलदस्ता के चारों ओर बैंगनी टिशू पेपर
pool table in a large room	एक बड़े कमरे में पूल टेबल
paddle on a table	एक तालिका पर पैडल
Man standing in a room.	एक कमरे में खड़ा आदमी।
Man relaxing in the water.	आदमी पानी में आराम करता है।
man is in a pool	आदमी एक कुंड में है
boy has brown hair	लड़के के भूरे बाल हैं
A brown and white staircase	एक भूरे और सफेद सीढ़ी
Building is painted green.	भवन को हरे रंग से रंगा गया है।
many people in snow	बर्फ में कई लोग
The silver toilet	चाँदी का शौचालय
Yellow slide in the room	कमरे में पीली स्लाइड
child shopping cart filled with fake food	बाल शॉपिंग गाड़ी से भरा हुआ भोजन
this is a kitchen	यह एक रसोई है
a faucet on the sink	सिंक पर एक नल
Assorted cereals on a kitchen shelf	एक रसोई के शेल्फ पर अनाज रखा
white microwave oven in corner	कोने में सफेद माइक्रोवेव ओवन
wall papered wall in a kitchen	एक रसोई घर में दीवार papered दीवार
A wall of orange dryers.	नारंगी ड्रायर्स की एक दीवार
White pipe on the wall	दीवार पर सफेद पाइप
dolphin statue near the pool	पूल के निकट डॉल्फिन
microwave on top of counter	काउंटर के ऊपर माइक्रोवेव
logo on the hat	टोपी पर लोगो
a person kneeling down	एक व्यक्ति ने घुटने टेक दिए
Person wearing black pants	व्यक्ति ने काला पैंट पहना है
people sitting on a couch	एक सोफे पर बैठे लोग
light hanging from the ceiling	छत से लटके हुए प्रकाश
square hole in chair	कुर्सी में चौकोर छेद
arms up in the air	हवा में हथियार
orange pail hanging from wall	नारंगी की दीवार से लटकी हुई
white washer situated under a counter	एक काउंटर के नीचे स्थित सफेद वॉशर
person sitting in front of window	खिड़की के सामने बैठा व्यक्ति
light of daytime sky	दिन के आकाश का प्रकाश
Brown lounge chair next to the pool	पूल के बगल में ब्राउन लाउंज कुर्सी
A group of umbrellas at a pool	एक पूल में छतरियों का एक समूह
Red bench near elegant chair	सुरुचिपूर्ण कुर्सी के पास लाल बेंच
green turtle pool in stack	स्टैक में हरा कछुआ पूल
many people in a room	एक कमरे में कई लोग
man with a blue and black plaid shirt	एक नीले और काले प्लेड शर्ट के साथ आदमी
the word polar on the truck	ट्रक पर ध्रुवीय शब्द
A black and brown area rug	एक काला और भूरा क्षेत्र गलीचा
black chair to the left of brown table	भूरे रंग की मेज के बाईं ओर काली कुर्सी
brown colored wooden stair	भूरे रंग की लकड़ी की सीढ़ी
A yellow and black tie on a man	एक पीला और काला बांध आदमी पर
person walking on trail	राह पर चलते व्यक्ति
woman wearing red scarf	लाल स्कार्फ पहनने वाली महिला
pigeon on ground	जमीन पर कबूतर
back of docked houseboat	गोदी हाउसबोट की पीठ
a yellow skirt	एक पीला स्कर्ट
black tv in room	कक्ष में काला टीवी
Television remote sitting on a red tablecloth	टेलीविज़न रिमोट एक लाल मेज़पोश पर बैठा है
mirror on the wall	दीवार पर लगा दर्पण
Picture hanging on the wall	दीवार पर टंगी तस्वीर
A large painting on a wall	एक दीवार पर एक बड़ी पेंटिंग
Photo taken during the day	दिन के दौरान लिया गया फोटो
People walking on the bridge	पुल पर चलते लोग
tower with pointed top	नुकीले शीर्ष वाला टॉवर
these are old structures	ये पुराने ढाँचे हैं
grey steps on stairs	सीढ़ियों पर ग्रे कदम
person walking on spiral stairs	सर्पिल सीढ़ियों पर चलने वाला व्यक्ति
window on a residential building	एक आवासीय भवन पर खिड़की
the silver butter knives	चांदी मक्खन चाकू
utensil to the left of plate	थाली के बाईं ओर बर्तन
black letters on paper	कागज पर काले अक्षर
Coffee cup full of frothy coffee	फ्राई कॉफी से भरा कॉफी कप
cut banana in bowl	केले को कटोरे में काट लें
Juice in glass bottle	शीशे की बोतल में रस
A vase full of red flowers	लाल फूलों से भरा फूलदान
the rainbow looks like a half moon	इंद्रधनुष आधा चाँद की तरह दिखता है
wooden slat on chair	कुर्सी पर लकड़ी की बस्ती
a brown wooden cabinet door	एक भूरे रंग की लकड़ी की कैबिनेट दरवाजा
the gun is shiny	बंदूक चमकदार है
clear blue sky above a mountaintop.	एक पहाड़ के ऊपर स्पष्ट नीला आकाश।
a window in an apartment building	एक अपार्टमेंट इमारत में एक खिड़की
a black street light	एक काली स्ट्रीट लाइट
a black chair	एक काली कुर्सी
Two men sitting at a desk	एक डेस्क पर दो आदमी बैठे थे
phone with twisted cord	मुड़ कॉर्ड के साथ फोन
a white car parked on the street	एक सफेद कार सड़क पर खड़ी थी
white car parked near the fence	सफेद कार बाड़ के पास खड़ी है
window side of building	भवन की खिड़की का किनारा
this is a woman	यह एक महिला है
the field is green	क्षेत्र हरा है
yellow lines on the street	सड़क पर पीली लाइनें
black car parked on the street	सड़क पर काली कार पार्क
the street	सड़क
this is a car	यह एक कार है
The water is green in color.	पानी का रंग हरा है।
License plate on the car	कार पर लगी लाइसेंस प्लेट
Black car on a road.	एक सड़क पर काली कार।
window on the building	भवन पर खिड़की
pane on the window	खिड़की पर फलक
tall outdoor lamp post	लंबा आउटडोर लैंप पोस्ट
tire of the car	गाड़ी का टायर
The brown delivery truck	भूरे रंग का डिलीवरी ट्रक
car tire made of black rubber and silver metal	कार का टायर काला रबर और चांदी की धातु से बना है
The parked white car.	खड़ी सफेद कार।
a brightly lit rear brake light	एक उज्ज्वल जला हुआ रियर ब्रेक लाइट
window in a large office building	एक बड़े कार्यालय भवन में खिड़की
window in front of building	भवन के सामने की खिड़की
blue house with light brown roof	हल्के भूरे रंग की छत वाला नीला घर
the older woman walking on the sidewalk	फुटपाथ पर चलने वाली वृद्ध महिला
a large black trashcan	एक बड़े काले ट्रैशकैन
Street signs says Ames	स्ट्रीट संकेत कहते हैं एम्स
woman standing on sidewalk	फुटपाथ पर खड़ी महिला
square window on building	इमारत पर वर्ग खिड़की
book on brown wooden bookshelf	भूरी लकड़ी की बुकशेल्फ़ पर किताब
Paper cup on top of desk.	डेस्क के शीर्ष पर पेपर कप।
clock on the wall	दीवार पर घड़ी
Vase on the table	मेज पर फूलदान
a glossy blue coffee mug	एक चमकदार नीली कॉफी मग
Silver faucet on kitchen sink	रसोई के सिंक पर चांदी का नल
window on the building	भवन पर खिड़की
The woman in jeans and a black shirt.	जींस और काले रंग की शर्ट में महिला।
A blue and white parking sign.	एक नीले और सफेद पार्किंग साइन।
the plant on the toilet	शौचालय पर संयंत्र
white book with black writing	काले लेखन के साथ सफेद किताब
a tan car parked	एक टैन कार खड़ी थी
window on the building	भवन पर खिड़की
woman has black hair	स्त्री के काले बाल है
man walking on sidewalk	फुटपाथ पर चलने वाला आदमी
Banners on the post	पोस्ट पर बैनर
reflection on store window	दुकान की खिड़की पर प्रतिबिंब
the bench is long	बेंच लंबा है
wood plank on porch	पोर्च पर लकड़ी प्लांक
crisp brown leaf fallen off of a tree	एक पेड़ से गिरने वाला कुरकुरा भूरा पत्ता
a stone in a leaf filled field	पत्ती से भरे खेत में एक पत्थर
silver SUV parked on road	चांदी एसयूवी सड़क पर खड़ी है
paint on a mailbox	मेलबॉक्स पर पेंट
window in front of white building	सफेद इमारत के सामने की खिड़की
clock on the wall	दीवार पर घड़ी
The silver car	चाँदी की कार
a women standing	एक महिला खड़ी है
window in front of brick building	ईंट निर्माण के सामने की खिड़की
Do Not Enter street sign	सड़क चिह्न नहीं दाखिल करें
the red headed woman wlaking on the sidewalk	लाल बालों वाली औरत सड़्क पर चलते हुए
window in front of building	भवन के सामने की खिड़की
maroon car parked at the curb	मैरून कार कर्ब पर खड़ी
blue vehicle parked on the street	सड़क पर खड़ा नीला वाहन
jeep suv parked on curb	जीप एसयूवी पर अंकुश लगा दिया
a street light on a metal pole	एक धातु के खंभे पर एक स्ट्रीट लाइट
the shelf is color brown	शेल्फ का रंग भूरा है
a computer is on front a keyboard	एक कंप्यूटर एक कीबोर्ड पर होता है
blue and white coffee mug	नीला और सफेद कॉफी कि जग
an empty poster board on the wall	दीवार पर एक खाली पोस्टर बोर्ड
yellow box of snack crackers	स्नैक बिस्कुट का पीला बक्सा
Black monitor on desk	ब्लैक मॉनिटर ऑन डेस्क
Black and white desk lamp	ब्लैक एंड व्हाइट डेस्क लैंप
gray plastic trash can under desk	डेस्क के नीचे ग्रे प्लास्टिक कचरा हो सकता है
whtie microwave oven	whtie माइक्रोवेव ओवन
Office chair in front of computer monitor	कंप्यूटर मॉनिटर के सामने कार्यालय की कुर्सी
Blue cardigan draped over blue chair	नीली कुर्सी पर नीला कार्डिगन लिपटा हुआ
a row of binders on a shelf	एक शेल्फ पर बाँधने की एक पंक्ति
a white piece of paper	कागज का एक सफेद टुकड़ा
White keyboard on top of desk.	डेस्क के ऊपर सफेद कीबोर्ड।
an old black tire	एक पुरानी काली टायर
Maroon SUV driving down the road	सड़क के नीचे जाती लाल रंग की एसयूवी
a map hanging on the wall	दीवार पर लटका एक नक्शा
fluorescent ceiling lights	फ्लोरोसेंट छत रोशनी
a tan wooden desk	एक लकड़ी की मेज
the blue walls	नीली दीवारों
large window with white sill	सफेद खिड़की के साथ बड़ी खिड़की
red street sign with white lettering	लाल स्ट्रीट लाल चिह्न सफेद पट्टी के साथ
a red sign with a white stripe	एक सफेद पट्टी के साथ एक लाल संकेत
car driving on road	सड़क पर कार चलाना
blue banner with white decorations	सफेद सजावट के साथ नीला बैनर
black railingon the sidewalk	काला रेलिंगोन सिडीचलन
Person on the surfboard	सर्फ़बोर्ड पर व्यक्ति
Boat in the water	पानी में नाव
a row of parked cars	खड़ी कारों की एक पंक्ति
a black computer monitor	एक काला कंप्यूटर मॉनीटर
multicolored rainbow over water	पानी के ऊपर बहु रंगीन इंद्रधनुष
The hedges to the right	हेज करने के लिए सही है
a coffee cup on a table	एक मेज पर एक कॉफी कप
street light is off	स्ट्रीट लाइट बंद है
man standing in a black suit and blue shirt	एक काले सूट और नीली शर्ट में खड़ा आदमी
car on the road	सड़क पर कार
Yellow and black pedestrian crossing signal	पीले और काले पैदल यात्री क्रॉसिंग सिग्नल
a window on a building	एक इमारत पर एक खिड़की
person in black tank top	काला टैंक टॉप में व्यक्ति
boy wearing a black shirt	एक काला शर्ट पहनने हुए लड़का
a small gray motorcycle	एक छोटी ग्रे मोटरसाइकिल
window on large building	बड़ी इमारत पर खिड़की
this is a motor vehicle	यह एक मोटर वाहन है
Two people talking at the bottom of the stairs.	सीढ़ियों के नीचे बात कर रहे हैं दो लोग |
the van is blue white and green	वैन नीले सफेद और हरे रंग की है
a door way to a business	किसी व्यापार का दरवाज़ा
wheel of the vehicle	वाहन का पहिया
a car with four doors	चार द्वारों के साथ एक कार
man walking on the street	आदमी सड़क पर चल रहा है
the white car is parked	सफेद कार खड़ी है
the red tip of a pole	एक पोल की लाल टिप
a coca cola sign	कोका कोला चिह्न
a window on a building	इमारत पर खिड़्की
a red and white umbrella	एक लाल और सफेद छाता
the head of a man	एक आदमी का सिर
The picture frame is gold in color.	यह तस्वीर रंग में सोना है |
the stairs leading to entrance	प्रवेश द्वार की ओर जाने वाली सीढ़ियाँ
window on the building	इमारत पर विंडो
this is a taxi cab	यह एक टैक्सी कैब है
large tree with no leaves	बिना पत्तों वाला बड़ा पेड़
work truck is white	कार्य ट्रक सफेद है ।
car on the road	सड़क पर कार
a white car parked on the side of a street	एक सड़क के किनारे खड़ी एक सफेद कार
car on the road	सड़क पर कार
black car parked on the street	काली कार सड़क पर खड़ी
window on red brick window	लाल ईंट विंडो पर विंडो
the car is red and parked in the street	कार लाल है और गली में खड़ी है
windows on the building	इमारत पर खिड़कियाँ
window on side of building	भवन के किनारे की खिड़की
window on the building	भवन पर खिड़की
brown tree trunk	भूरे रंग का पेड़ का तना
townhouse is painted yellow	घर का रंग पीला होता है ।
a row of parked cars	खड़ी कारों की एक पंक्ति
window on side of a building	एक इमारत की तरफ खिड़की
man standing wearing orange lifesaving	नारंगी नारंगी जीवन धारण किए हुए आदमी खड़ा है
a pot on the stairs	सीढ़ियों पर एक घड़ा
tall green tree on grass	घास पर लंबा हरा पेड़
a vast space of water	पानी का एक विशाल स्थान
moss on the wall	दीवार पर काई
thick trees surrounding the town	शहर के चारों ओर घने पेड़
Mountains in the background	पृष्ठभूमि में पर्वत
big white boat traveling in water	पानी में बड़ी सफेद नाव यात्रा
a wheel	एक पहिया
a red fire hydrant is visible at a distance	की दूरी पर एक लाल अग्नि हाइड्रेंट दिखाई देता है
The girl's brown hair.	लड़की भूरे बाल |
window on front of brick building	ईंट इमारत के सामने खिड़की
window on the building	भवन पर खिड़की
brown tree trunk	भूरे रंग का पेड़ का तना
bird near a lake	झील के निकट पक्षी
old shed with a metal roof	एक धातु की छत के साथ पुराना शेड
