en	ml
A tall palm tree above the horizon	ചക്രവാളത്തിന് മുകളിലുള്ള ഉയരമുള്ള ഈന്തപ്പന
chair inside an auditorium	ഒരു സദസിനകത്തെ കസേര
a tall leafy tree	ഉയരമുള്ള ഇല വൃക്ഷം
mirror is on far wall	കണ്ണാടി വിദൂര മതിലിലാണ്
the sidewalk	നടപ്പാത
The driver's side door is open	ഡ്രൈവറുടെ വശത്തെ വാതിൽ തുറന്നു
A plate full of food	ഒരു കറുത്ത ട്രാഷ് ബാഗ്.
the building is white	ചുവപ്പ് വെള്ള, നീല തലം എഞ്ചിൻ
small picture on wall	ചുവരിൽ ചെറിയ ചിത്രം
intersection of wooden logs	തടി ലോഗുകളുടെ വിഭജനം
light attached to building	കെട്ടിടത്തിലേക്ക് ലൈറ്റ് ഘടിപ്പിച്ചിരിക്കുന്നു
Do Not Enter sign	ചിഹ്നം നൽകരുത്
colorful pillow of blues and reds on a white striped couch	വെളുത്ത വരയുള്ള കട്ടിലിൽ ബ്ലൂസിന്റെയും ചുവപ്പിന്റെയും വർണ്ണാഭമായ തലയിണ
dent is in the vehicle	ഡെന്റ് വാഹനത്തിലാണ്
the roof is grey	മേൽക്കൂര ചാരനിറമാണ്
brown frame on mirror	കണ്ണാടിയിൽ തവിട്ട് ഫ്രെയിം
white flowers beneath tree	മരത്തിന് താഴെ വെളുത്ത പൂക്കൾ
white ambulance on the street	തെരുവിൽ വെളുത്ത ആംബുലൻസ്
green trees in distance	അകലെ പച്ച മരങ്ങൾ
The sign is blue	അടയാളം നീലയാണ്
Man sitting off to side of road	മനുഷ്യൻ റോഡിന്റെ അരികിൽ ഇരിക്കുന്നു
a man crossing the street	തെരുവ് മുറിച്ചുകടക്കുന്ന ഒരാൾ
sign on the wall	ചുമരിൽ ഒപ്പിടുക
window in a brick house	ഒരു ഇഷ്ടിക വീട്ടിലെ ജാലകം
The computer screen is blue	കമ്പ്യൂട്ടർ സ്ക്രീൻ നീലയാണ്
bike route sign	ബൈക്ക് റൂട്ട് ചിഹ്നം
Grey Beard Hair on a man	നരച്ച താടി ഒരു മനുഷ്യനിൽ
the rear view of a car	ഒരു കാറിന്റെ പിൻ കാഴ്ച
Burger with cheese sauce	ചീസ് സോസ് ഉപയോഗിച്ച് ബർഗർ
side of thee silver SUV	സിൽവർ എസ്‌യുവിയുടെ വശം
Woman walking across street	സ്ത്രീ തെരുവിലൂടെ നടക്കുന്നു
woman wearing pink jacket	ഒരു കെട്ടിടത്തിലെ വലിയ വിൻഡോ
red car parked by street light	തെരുവ് ലൈറ്റിന്റെ അടുത്ത് പാർക്ക് ചെയ്ത ചുവന്ന കാർ
the traffic lights are yellow	ട്രാഫിക് ലൈറ്റുകൾ മഞ്ഞയാണ്
White painted line on pavement	നടപ്പാതയിൽ വെളുത്ത പെയിന്റ് ലൈൻ
The black tipped pen on the desk	കറുത്ത ടിപ്പ്ഡ് പേന മേശപ്പുറത്ത്
Man in white shirt walking down the sidewalk	വെളുത്ത കുപ്പായമുള്ള മനുഷ്യൻ നടപ്പാതയിലൂടെ നടക്കുന്നു
large light fixture in ceiling	സീലിംഗിൽ വലിയ ലൈറ്റ് ഫിക്ചർ
white monitor on desk	മേശപ്പുറത്ത് വൈറ്റ് മോണിറ്റർ
black computer monitor on desk	ഡെസ്‌കിൽ കറുത്ത കമ്പ്യൂട്ടർ മോണിറ്റർ
handle on the mug	മൊന്ത കൈകാര്യം ചെയ്യുക
a man sitting in front of a computer monitor	കമ്പ്യൂട്ടർ മോണിറ്ററിന് മുന്നിൽ ഇരിക്കുന്ന ഒരാൾ
Turned on black monitor	കറുത്ത മോണിറ്റർ ഓണാക്കി
Man wearing brown sunglasses.	തവിട്ട് സൺഗ്ലാസ് ധരിച്ച മനുഷ്യൻ.
brick on the building	കെട്ടിടത്തിൽ ഇഷ്ടിക
silver metal table on ground	നിലത്ത് വെള്ളി ലോഹത്തിന്റെ പട്ടിക
A grey trash bin.	ചാരനിറത്തിലുള്ള ചവറ്റുകുട്ട.
boy holding ball	പയ്യൻ പന്ത് പിടിക്കുന്നു
projection screen is white	പ്രൊജക്ഷൻ സ്ക്രീൻ വെളുത്തതാണ്
yellow traffic signal attached to a gray pole	ചാരനിറത്തിലുള്ള ധ്രുവത്തിൽ മഞ്ഞ ട്രാഫിക് സിഗ്നൽ ഘടിപ്പിച്ചിരിക്കുന്നു
red truck behind silver car	വെള്ളി കാറിന് പിന്നിൽ ചുവന്ന ട്രക്ക്
two mopeds are parked	രണ്ട് മോപ്പെഡുകൾ പാർക്ക് ചെയ്തിരിക്കുന്നു
A blue car on the street.	തെരുവിൽ ഒരു നീല കാർ.
black car with yellow doors	മഞ്ഞ വാതിലുകളുള്ള കറുത്ത കാർ
a car with four doors	നാല് വാതിലുകളുള്ള ഒരു കാർ
bike parked on the sidewalk	ബൈക്ക് നടപ്പാതയിൽ നിർത്തി ഇട്ടിരിക്കുന്നു
Red motorcycle on sidewalk	ഫുട്പാത്തിൽ ചുവന്ന മോട്ടോർസൈക്കിൾ
man wearing blue shirt	ദ്വീപ് ബീച്ച് രംഗം
Group of scooters parked next to each other	സ്കൂട്ടറുകളുടെ ഗ്രൂപ്പ് പരസ്പരം പാർക്ക് ചെയ്തിരിക്കുന്നു
yellow VW leaving parking lot	മഞ്ഞ VW പാർക്കിംഗ് സ്ഥലം ഉപേക്ഷിക്കുന്നു
bag of oranges	ഓറഞ്ച് ബാഗ്
there is a band on stage	സ്റ്റേജിൽ ഒരു ബാൻഡ് ഉണ്ട്
window on white house	വൈറ്റ് ഹൗസ് വിൻഡോ
these are tall buildings	ഇവ ഉയരമുള്ള കെട്ടിടങ്ങളാണ്
small car beside curb	കർബിന് പുറമെ ചെറിയ കാർ
this is a person	ഇത് ഒരു വ്യക്തിയാണ്
bull on the sand	മണലിൽ കാള
the building with a yellow roof	മഞ്ഞ മേൽക്കൂരയുള്ള കെട്ടിടം
the cup is upside down	കപ്പ് തലകീഴായി
Light in the ceiling.	ദ്വീപ് ബീച്ച് രംഗം
Black truck is parked	കറുത്ത ട്രക്ക് പാർക്ക് ചെയ്തിരിക്കുന്നു
the man in the light blue coat	ഇളം നീല അങ്കിയിലുള്ള മനുഷ്യൻ
Bike leaning against black gate	കറുത്ത ഗേറ്റിന് നേരെ ചാരിയേക്കുന്ന ബൈക്ക്
white curtain on window	വിൻഡോയിൽ വെളുത്ത തിരശ്ശീല
the alarm clock is off	അലാറത്തിന്റെ ഘടികാരം പ്രവർത്തനരഹിതമാണ്
A medium sized picture on the wall.	ചുമരിൽ ഇടത്തരം വലിപ്പമുള്ള ചിത്രം.
A bottle of water on the table.	മേശപ്പുറത്ത് ഒരു കുപ്പി വെള്ളം.
Wired telephone connected to the wall	മതിലുമായി ബന്ധിപ്പിച്ച വയർഡ് ടെലിഫോൺ
Chair next to wood desk.	മരം മേശയുടെ അടുത്തുള്ള കസേര
Lamppost next to television	ടെലിവിഷന് അടുത്തുള്ള ലാംപോസ്റ്റ്
Black backpack beside a bed	ഒരു കട്ടിലിന് സമീപം കറുത്ത ബാക്ക്പാക്ക്
A silver faucet in a bathroom	ഒരു കുളിമുറിയിൽ ഒരു വെള്ളി ഫോസെറ്റ്
small plant on porch	പൂമുഖത്ത് ചെറിയ ചെടി
cedar shingles on the house	ദേവദാരു വീടിന്മേൽ ഇളകുന്നു
a white and tan hotel room	വെളുത്തതും ടാൻ ആയതുമായ ഹോട്ടൽ മുറി
Five knobs on a stove	വർണ്ണാഭമായ സ്കാർഫ് ധരിച്ച ഒരു സ്ത്രീ
the sink is stainless steel	സിങ്ക് സ്റ്റെയിൻലെസ് സ്റ്റീൽ ആണ്
a wooden floor	ഒരു തടി തറ
the window is shut	ജനല അടച്ചു
black car tire with silver rim	സിൽവർ റിം ഉള്ള കറുത്ത കാർ ടയർ
a four legged steel chair	കെട്ടിടത്തിന് മുകളിൽ ഒരു ഫ്ലാഗ് പോൾ
Red desk lamp sitting on desk	ചുവന്ന മേശ വിളക്ക് മേശപ്പുറത്ത് ഇരിക്കുന്നു
the wooden night stand	തടി കൊണ്ടുള്ള രാത്രി സ്റ്റാൻഡ്
tall grassy plants	ഉയരമുള്ള പുല്ല് സസ്യങ്ങൾ
part of a house plant	ഒരു വീടിന്റെ ചെടിയുടെ ഭാഗം
red and green plaid sofa	ചുവപ്പും പച്ചയും പ്ലെയ്ഡ് സോഫ
Large kitchen area	വലിയ അടുക്കള പ്രദേശം
boat on the water	വർണ്ണാഭമായ സ്കാർഫ് ധരിച്ച ഒരു സ്ത്രീ
vehicles parked on the side of the road	റോഡിന്റെ വശത്ത് നിർത്തിയിട്ടിരിക്കുന്ന വാഹനങ്ങൾ
A woman standing on the sidewalk.	നടപ്പാതയിൽ നിൽക്കുന്ന ഒരു സ്ത്രീ.
man standing on the phone	ഫോണിൽ നിൽക്കുന്ന മനുഷ്യൻ
a woman wearing a rain jacket	മഴ ജാക്കറ്റ് ധരിച്ച ഒരു സ്ത്രീ
taxi cab driving on street	തെരുവിൽ ടാക്സി ക്യാബ് ഓടിക്കുന്നു
yellow taxi driving on a street	ഒരു തെരുവിൽ മഞ്ഞ ടാക്സി ഓടിക്കുന്നു
person walking down the sidewalk in a busy city	തിരക്കേറിയ നഗരത്തിലെ നടപ്പാതയിലൂടെ നടക്കുന്ന വ്യക്തി
person walks on sidewalk	വ്യക്തി നടപ്പാതയിലൂടെ നടക്കുന്നു
Group of people is standing	ഒരു കൂട്ടം ആളുകൾ നിൽക്കുന്നു
black car on the street	വർണ്ണാഭമായ സ്കാർഫ് ധരിച്ച ഒരു സ്ത്രീ
window of a car	ഒരു കെട്ടിടത്തിലെ വലിയ വിൻഡോ
flowers next to water	വെള്ളത്തിനടുത്തുള്ള പൂക്കൾ
A food stand on a sidewalk	ഒരു നടപ്പാതയിൽ ഒരു ഭക്ഷണ സ്റ്റാൻഡ്
person crossing on crosswalk	ക്രോസ് വാക്കിൽ കടക്കുന്ന വ്യക്തി
van driving under light	വെളിച്ചത്തിൽ വാൻ ഓടിക്കുന്നു
Yellow taxi on the road	റോഡിൽ മഞ്ഞ ടാക്സി
window on the building	ഒരു കെട്ടിടത്തിലെ വലിയ വിൻഡോ
women is wearing a pink shirt	സ്ത്രീകൾ പിങ്ക് ഷർട്ട് ധരിക്കുന്നു
Tan hat hanging on a post	ടാൻ തൊപ്പി ഒരു പോസ്റ്റിൽ തൂക്കിയിരിക്കുന്നു
A white plane on a tarmac	ടാർമാക്കിൽ ഒരു വെളുത്ത വിമാനം
planes parked on the tarmac	ടാർമാക്കിൽ നിർത്തിയിട്ടിരിക്കുന്ന വിമാനങ്ങൾ
small window on airplane	വിമാനത്തിലെ ചെറിയ വിൻഡോ
car on the road	റോഡിൽ കാർ
small rocks	ചെറിയ പാറകൾ
tree trunk is broken	മരത്തിന്റെ ട്ട്രങ്ക് തകർന്നു
person in red shorts	ചുവന്ന ഷോർട്ട്സിലുള്ള വ്യക്തി
the shrub is very short	കുറ്റിച്ചെടി വളരെ ചെറുതാണ്
clouds in the sky	വർണ്ണാഭമായ സ്കാർഫ് ധരിച്ച ഒരു സ്ത്രീ
A buffalo near a road	ഒരു റോഡിനടുത്തുള്ള ഒരു എരുമ
cloud in the sky	ആകാശത്ത് മേഘം
White moving through the water	വെള്ളത്തിലൂടെ വെളുത്ത ബോട്ട് നീങ്ങുന്നു
parrot is on top of cage	കിളി കൂട്ടിലുണ്ട്
A bird standing in water	വെള്ളത്തിൽ നിൽക്കുന്ന പക്ഷി
right eye	വലത് കണ്ണ്
light on the pole	ധ്രുവത്തിൽ വെളിച്ചം
highway in a quiet area	ശാന്തമായ പ്രദേശത്ത് ഹൈവേ
white cloud in sky	ഒരു കെട്ടിടത്തിലെ വലിയ വിൻഡോ
White boat next to the dock.	ഡോക്കിന് അടുത്തുള്ള വെളുത്ത ബോട്ട്.
boat in the water	വർണ്ണാഭമായ സ്കാർഫ് ധരിച്ച ഒരു സ്ത്രീ
boat is orange	ബോട്ട് ഓറഞ്ച് ആണ്
bikes in line by sidewalk	നടപ്പാതയിൽ നിരയായി ബൈക്കുകൾ
small green minivan	ചെറിയ പച്ച മിനിവാൻ
american flag hanging on side of building	അമേരിക്കൻ പതാക കെട്ടിടത്തിന്റെ വശത്ത് തൂക്കിയിരിക്കുന്നു
tree behind building	കെട്ടിടത്തിന് പിന്നിലെ മരം
window on the building	ഒരു കെട്ടിടത്തിലെ വലിയ വിൻഡോ
orange beak on white duck	വെളുത്ത താറാവിൽ ഓറഞ്ച് ബീക്ക്
grey and white sky	വർണ്ണാഭമായ സ്കാർഫ് ധരിച്ച ഒരു സ്ത്രീ
man holding long yellow skis	നീളമുള്ള മഞ്ഞ സ്കീസ് ​​പിടിച്ചിരിക്കുന്ന മനുഷ്യൻ
the red flag in the snow	മഞ്ഞുവീഴ്ചയിൽ ചുവന്ന പതാക
Black scooter on the road	റോഡിൽ കറുത്ത സ്കൂട്ടർ
black metal lock box	കറുത്ത മെറ്റൽ ലോക്ക് ബോക്സ്
glass window on building	കെട്ടിടത്തിലെ ഗ്ലാസ് വിൻഡോ
sidewalk is light grey	നടപ്പാത ഇളം ചാരനിറമാണ്
window on the building	ഒരു കെട്ടിടത്തിലെ വലിയ വിൻഡോ
paved road with parked cars	കാറുകളുള്ള റോഡിൽ പാർക്ക് ചെയ്തിരിക്കുന്ന
window on a building	ഒരു കെട്ടിടത്തിലെ വലിയ വിൻഡോ
window on a building	ഒരു കെട്ടിടത്തിലെ വലിയ വിൻഡോ
white lines in the middle of the road	വഴിക്ക് നടുവിലുള്ള വെളുത്ത വരകൾ
car parked on a narrow road	ഇടുങ്ങിയ റോഡിൽ കാർ പാർക്ക് ചെയ്തിരിക്കുന്നു
red helmet on his head	അവന്റെ തലയിൽ ചുവന്ന ഹെൽമെറ്റ്
boat on the water	വർണ്ണാഭമായ സ്കാർഫ് ധരിച്ച ഒരു സ്ത്രീ
the boat is at a dock	വള്ളം ഒരു കപ്പലിലാണ്
pink pants	പിങ്ക് പാന്റ്സ്
Blue parking lines on the pavement	നടപ്പാതയിൽ നീല പാർക്കിംഗ് ലൈനുകൾ
the man is walking	മനുഷ്യൻ നടക്കുന്നു
the sidewalk	നടപ്പാത
green palm on radio	റേഡിയോയിൽ പച്ച ഈന്തപ്പന
hole in silver hubcap	വെള്ളി ഹബ്‌കാപ്പിലെ ദ്വാരം
Girl in blue jean skirt	നീല ജീൻ പാവാടയിൽ പെൺകുട്ടി
the electrical box on the post	പോസ്റ്റിലെ ഇലക്ട്രിക്കൽ ബോക്സ്
sign on side of road	റോഡിന്റെ വശത്ത് ചിഹ്നം
green grass in a field	വർണ്ണാഭമായ സ്കാർഫ് ധരിച്ച ഒരു സ്ത്രീ
blue sign with large black base	വലിയ കറുത്ത അടിത്തറയുള്ള നീല ചിഹ്നം
green palm on tree	വർണ്ണാഭമായ സ്കാർഫ് ധരിച്ച ഒരു സ്ത്രീ
picture in a frame	ഒരു ഫ്രെയിമിലെ ചിത്രം
the car is black	ചുവപ്പ് വെള്ള, നീല തലം എഞ്ചിൻ
red car near plant	ചെടിക്കു സമീപം ചുവന്ന കാർ
car on the road	വർണ്ണാഭമായ സ്കാർഫ് ധരിച്ച ഒരു സ്ത്രീ
white bus on the street	തെരുവിൽ വെളുത്ത ബസ്
window on a building	ഒരു കെട്ടിടത്തിലെ വലിയ വിൻഡോ
A decorated Christmas tree.	അലങ്കരിച്ച ക്രിസ്മസ് ട്രീ.
yellow dump truck by the mountain	പർവതത്തിനടുത്തുള്ള മഞ്ഞ ഡംപ് ട്രക്ക്
green palm on tree	മരത്തിൽ പച്ച ഈന്തപ്പന
sun in the sky	ആകാശത്ത് സൂര്യൻ
white print style letter	വൈറ്റ് പ്രിന്റ് ശൈലിയിലുള്ള അക്ഷരം
the light is on the ceiling	വെളിച്ചം സിലിംഗിൽ ആണ്
light brown wooden step	ഇളം തവിട്ട് തടി
womens lips	സ്ത്രീയുടെ അധരങ്ങൾ
brick with grass around it	ചുറ്റും പുല്ലുള്ള ഇഷ്ടിക
a seagull is standing	ഒരു കടൽപക്ഷി നിൽക്കുന്നു
the building is large	കെട്ടിടം വലുതാണ്
A dark colored van.	ഇരുണ്ട നിറമുള്ള വാൻ.
A dark haired woman in a colorful top	വർണ്ണാഭമായ മുകളിൽ ഇരുണ്ട മുടിയുള്ള സ്ത്രീ
ear of the cat	വർണ്ണാഭമായ സ്കാർഫ് ധരിച്ച ഒരു സ്ത്രീ
the woman is next to the man	സ്ത്രീ പുരുഷന്റെ അടുത്താണ്
window on a building	ഒരു കെട്ടിടത്തിലെ വലിയ വിൻഡോ
grey colored sidewalk brick	ചാരനിറത്തിലുള്ള നടപ്പാത ഇഷ്ടിക
the man is standing	മനുഷ്യൻ നിൽക്കുന്നു
Three men standing in a group.	ഒരു സംഘത്തിൽ മൂന്ന് പേർ നിൽക്കുന്നു.
A luggage cart on a tarmac	ടാർമാക്കിൽ ഒരു ലഗേജ് കാർട്ട്
The tail of an airplane	ഒരു വിമാനത്തിന്റെ വാൽ
black restroom sign attached to the wall	ചുവരിൽ കറുത്ത വിശ്രമമുറി ചിഹ്നം ഘടിപ്പിച്ചിരിക്കുന്നു
a long metal rack	ഒരു നീണ്ട മെറ്റൽ റാക്ക്
light on a machine	ഒരു മെഷീനിൽ വെളിച്ചം
child wearing striped shirt	വരയുള്ള കുപ്പായം ധരിച്ച കുട്ടി
Cameras on the ceiling of the room	മുറിയുടെ പരിധിയിലുള്ള ക്യാമറകൾ
Vase on the mantel	മാന്റലിൽ ചട്ടി
the man has a goatee	മനുഷ്യന് ഒരു ആട്ടിൻകുട്ടി ഉണ്ട്
man painting on canvas	ക്യാൻവാസിൽ പെയിന്റിംഗ് ചെയ്യുന്ന വ്യക്തി
a row of red chairs	ചുവന്ന കസേരകളുടെ ഒരു നിര
two police officers	രണ്ട് പോലീസ് ഓഫീസർമാർ
houseboat in the water	ഹൗസ് ബോട്ട് വെള്ളത്തിൽ
bread in a basket	ഒരു കൊട്ടയിൽ റൊട്ടി
man with short black hair	ചെറിയ കറുത്ത മുടിയുള്ള മനുഷ്യൻ
a big grey ball	ഒരു വലിയ ചാരനിറത്തിലുള്ള പന്ത്
White table cloth on the table	ഒരു കെട്ടിടത്തിലെ വലിയ വിൻഡോ
A person sitting in the baptism tub.	സ്നാന തൊട്ടിയിൽ ഇരിക്കുന്ന ഒരാൾ.
Horizontal Venetian blinds on the window	വിൻഡോയിൽ തിരശ്ചീന വെനീഷ്യൻ മറയ്ക്കുന്നു
Flat-screen television on the dresser	ഡ്രെസ്സറിൽ ഫ്ലാറ്റ് സ്ക്രീൻ ടെലിവിഷൻ
lights suspended from ceiling	ലൈറ്റുകൾ സീലിംഗിൽ നിന്ന് താൽക്കാലികമായി നിർത്തിവച്ചിരിക്കുന്നു
The man has gray hair.	പുരുഷന് നരച്ച മുടിയുണ്ട്.
man wearing white shirt	ദ്വീപ് ബീച്ച് രംഗം
People sitting in a bus.	ബസ്സിൽ ഇരിക്കുന്ന ആളുകൾ.
Man and woman in a candy store	ഒരു മിഠായി കടയിൽ പുരുഷനും സ്ത്രീയും
chair desk combo in the room	മുറിയിലെ കസേര ഡെസ്ക് കോംബോ
The man is wearing glasses.	ചാരനിറത്തിലുള്ള റോഡിന്റെ വശങ്ങളിൽ പച്ച പുല്ലിന്റെ സ്ട്രിപ്പുകൾ
A man with no shirt in the snow	മഞ്ഞിൽ കുപ്പായമില്ലാത്ത ഒരാൾ
grey dividers for cubicles	ക്യൂബിക്കിളുകൾക്കുള്ള ഗ്രേ ഡിവൈഡറുകൾ
windown pane on door	വാതിലിലെ വിൻഡോ പാളി
Truck has white cargo holder	ട്രക്കിന് വെളുത്ത ചരക്ക് ഉടമയുണ്ട്
the chair has no arms	കസേരയ്ക്ക് കാലുകളില്ല
man has head turned	മനുഷ്യൻ തല തിരിഞ്ഞു
child walking into plane	കുട്ടി വിമാനത്തിലേക്ക് നടക്കുന്നു
purple tissue paper around bouquet	പൂച്ചെണ്ടിന് ചുറ്റുമുള്ള പർപ്പിൾ ടിഷ്യു കടലാസ്
pool table in a large room	ഒരു വലിയ മുറിയിലെ പൂൾ ടേബിൾ
paddle on a table	ഒരു മേശപ്പുറത്ത് പാഡിൽ
Man standing in a room.	ഒരു മുറിയിൽ നിൽക്കുന്ന മനുഷ്യൻ.
Man relaxing in the water.	മനുഷ്യൻ വെള്ളത്തിൽ വിശ്രമിക്കുന്നു.
man is in a pool	മനുഷ്യൻ ഒരു കുളത്തിലാണ്
boy has brown hair	വർണ്ണാഭമായ സ്കാർഫ് ധരിച്ച ഒരു സ്ത്രീ
A brown and white staircase	തവിട്ടുനിറത്തിലുള്ളതും വെളുത്തതുമായ ഒരു ഗോവണി
Building is painted green.	കെട്ടിടം പച്ചനിറത്തിലാണ്.
many people in snow	മഞ്ഞുവീഴ്ചയിൽ ധാരാളം ആളുകൾ
The silver toilet	വെള്ളി ടോയ്‌ലറ്റ്
Yellow slide in the room	മുറിയിൽ മഞ്ഞ സ്ലൈഡ്
child shopping cart filled with fake food	വ്യാജ ഭക്ഷണം നിറച്ച ചൈൽഡ് ഷോപ്പിംഗ് കാർട്ട്
this is a kitchen	ഇതൊരു അടുക്കളയാണ്
a faucet on the sink	സിങ്കിൽ ഒരു പാത്രം
Assorted cereals on a kitchen shelf	അടുക്കള അലമാരയിൽ തരംതിരിച്ച ധാന്യങ്ങൾ
white microwave oven in corner	മൂലയിൽ വെളുത്ത മൈക്രോവേവ് ഓവൻ
wall papered wall in a kitchen	ഒരു അടുക്കളയിൽ മതിൽ പേപ്പർ ചെയ്ത മതിൽ
A wall of orange dryers.	ഓറഞ്ച് ഡ്രയറുകളുടെ ഒരു മതിൽ.
White pipe on the wall	ചുമരിൽ വെളുത്ത പൈപ്പ്
dolphin statue near the pool	കുളത്തിനടുത്തുള്ള ഡോൾഫിൻ പ്രതിമ
microwave on top of counter	ക counter ണ്ടറിന് മുകളിൽ മൈക്രോവേവ്
logo on the hat	തൊപ്പിയിലെ അടയാളം
a person kneeling down	ഒരാൾ മുട്ടുകുത്തി നിൽക്കുന്നു
Person wearing black pants	കറുത്ത പാന്റ്സ് ധരിച്ച വ്യക്തി
people sitting on a couch	ഒരു വിരിപ്പിൽ ഇരിക്കുന്ന ജനം
light hanging from the ceiling	സീലിംഗിൽ നിന്ന് തൂങ്ങിക്കിടക്കുന്ന ലൈറ്റ്
square hole in chair	ചതുരം മുഴുവൻ കസേരയിൽ
arms up in the air	കൈകൾ വായുവിൽ
orange pail hanging from wall	ഓറഞ്ച് പെയിൽ മതിലിൽ നിന്ന് തൂക്കിയിരിക്കുന്നു
white washer situated under a counter	വെളുത്ത അലക്കുയന്ത്രം ഒരു കൗണ്ടറിന് കീഴിലാണ്
person sitting in front of window	ജാലകത്തിന് മുന്നിൽ ഇരിക്കുന്ന വ്യക്തി
