image_idx	en	hi	obj_tags
2328197	person doing a hand stand	व्यक्ति हाथों के बल खड़ा हुआ	laptop,laptop,laptop,person,book,book,person,person,keyboard,keyboard,dining table,cell phone,dining table,tv,keyboard
2375545	springs of the seat	आसन की स्प्रिंग्स	motorcycle,person,person,person,handbag,person,knife,motorcycle,clock
2340477	A large pipe extending from the wall of the court.	कोर्ट की दीवार से निक्ली हुई एक बड़ी पाइप	person,tennis racket,potted plant,vase
2329549	rapid in fast water	तेजी से पानी में	person,surfboard
1592594	a stone block train platform	एक पत्थर ब्लॉक का ट्रेन प्लेटफार्म	train,suitcase,person,person,person,person,person,person,train,train,person,person,person,person,person
2410637	a book is on the night stand	नाइट स्टैंड पर एक किताब है	bed
2390628	orange springs on the bottom of train	ट्रेन के तल पर नारंगी स्प्रिंग्स	train,person,person,traffic light,person,chair,chair,person
2315846	a fast flowing river	एक तेज बहने वाली नदी	bird
2417557	lighted signs for different forms of public transportation	सार्वजनिक परिवहन के विभिन्न रूपों के लिए रोशन संकेत	clock,clock
4714	three windows on the second floor	दूसरी मंजिल पर तीन खिड़कियां	clock,potted plant
498061	a dark blue sedan moving fast	एक गहरा नीला सेडान तेजी से बढ़ रहा है	car,traffic light,traffic light,traffic light,traffic light,stop sign,tv,traffic light
2369128	zebras stand close together to watch for predators	ज़ेबरा शिकारियों को देखने के लिए एक साथ खड़े होते हैं	zebra,zebra,zebra
2353464	Gated street fair	गेटेड स्ट्रीट फेयर	car,person,person,person,person,person,person,person,traffic light,person,person,person,person,person,suitcase,person,umbrella,person,umbrella,person,clock,person,person,person,traffic light,traffic light,person,person,umbrella,handbag,person,person,person,traffic light,traffic light
2368264	surfboard forms a splash of water	सर्फ़बोर्ड पानी के छींटे बनाता है	person,surfboard,person,surfboard
2393665	paper triangle stand	कागज़ी त्रिकोण स्टैंड	toilet,sink,toilet,cup,sink
2403974	a time and date stamp	एक समय और तारीख क़ी मोहर	traffic light,traffic light,traffic light,car,traffic light,car,traffic light
713660	english letter is white	अंग्रेजी अक्षर सफेद है	person,person,car,fire hydrant,handbag,person,handbag,umbrella,fire hydrant,person
2406443	Brown box is on the tennis court	भूरा बॉक्स टेनिस कोर्ट पर है	person,tennis racket,sports ball,sports ball,sports ball,sports ball,sports ball,chair,bench,bench,chair,sports ball,bench
2365476	a cross is on the tower	मीनार पर एक क्रॉस है	person,cow,cow,cow,cow,cow,cow,dog
2329276	players in dirt circle	मिट्टी के वृत्त में खिलाड़ी	person,person,person,baseball glove,baseball glove
245	beige stair way going to second level	बेज सीढ़ी दूसरे स्तर तक़ जा रही है	potted plant
2400274	grey concrete cross by the building	इमारत के बगल में ग्रे कांक्रीट क्रॉस	clock,clock
2333602	block for bench feet	बेंच के पैरों के लिए ब्लॉक	bench,potted plant,potted plant,potted plant
2376237	location characters are white	स्थान वर्ण सफेद हैं	train
2322499	Brown plastic fast food table	ब्राउन प्लास्टिक फास्ट फूड टेबल	donut,bottle,dining table,remote,chair,car,chair,sandwich
2386860	The TV and stand in the living room	लिविंग रूम में टीवी और स्टैड	couch,couch,chair,chair,chair,chair,chair,tv,chair,couch,dining table,dining table,bed,chair,dining table,chair,dining table,chair,dining table,chair,dining table,chair,book,chair,chair,chair,bed,bed,chair,dining table,person,bed,dining table,chair
2337100	brown wooden stairs leading to second floor	दूसरी मंजिल तक जाने वाली भूरे रंग की लकड़ी की सीढ़ियाँ	person,backpack,book,book,book,book,book,book,book,couch,book,book,book,book,book,book,book,book,book,book,book
2353204	very fine fabric and material	बहु उत्तम कपड़े और सामग्री	scissors
2400482	do not block intersection sign is above the right lane must turn right sign	चौराहे को ब्लॉक न करें सन्केत के ऊपर दाईं लेन को दाहिनी ओर मुड़ना चाहिए सन्केत है	bus,person,person,person,car,car,person,person,traffic light,person,person,person,car,person,person,person,person,traffic light,clock,person,car,person,person,person,person,traffic light,person,person,car,car,traffic light,traffic light,person,person,person,person,person,bus,person,traffic light,traffic light,car,person
2361390	The motorcycles are going fast	मोटरसाइकिलें तेजी से जा रही हैं	motorcycle,motorcycle,person,person,person,motorcycle
2393790	a fence behind the players	खिलाड़ियों के पीछे एक बाड़	person,person,person,baseball bat,baseball bat
2321727	the date on the photo	तस्वीर पर तारीख	bear
2377265	the penalty box is white lined	सफेद लाइन से सीमांकित जुर्माना बॉक्स	sports ball,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,tennis racket,person,tie
1592386	the green sign with red and yellow characters	लाल और पीले वर्णों के साथ हरे रंग का चिह्न	person,umbrella,person,umbrella,person,umbrella,person,umbrella,person,person,person,train,book,person,person,person,traffic light,person
2410836	A red metal frame forms the half pipe	आधा पाइप बनाता हुआ एक लाल धातु का फ्रेम	person,skateboard
2367452	shadows of players on court	कोर्ट पर खिलाड़ियों की छाया	person,person,tennis racket,car,person,person
2328476	a red tennis shoe on players foot	खिलाड़ी के पैर में लाल टेनिस का जूता	person,tennis racket,skateboard,person,person,person,skateboard
2406960	clock face on wall date	तारीखी दीवार पर घड़ी का चेहरा	clock,clock,clock
2398517	a group of people watching the baseball players	बेसबॉल खिलाड़ियों को देखने वाले लोगों का एक समूह	person,person,person,person,baseball bat,baseball glove,person,person,backpack,person,baseball glove,baseball bat,person
2327324	a woman on the opposite team trying to block the frisbee	विपक्षी टीम की एक महिला फ्रिसबी को रोकने की कोशिश कर रही है	person,person,person,frisbee
2350247	a white stand on road	सड़क पर एक सफेद स्टैंड	car,car,car,car
2375684	Concrete forms in pavement	फुटपाथ में काकंरीट की संरचनाएं	person,person,bench,motorcycle,bench,potted plant,book,person,bench,book,book,cup,book,book,book,book,backpack,book,book,book,book,book,book,book,book,book,book,book,book,book,book,person
2415934	man standing next to fruit stand	फल स्टैंड के बगल में खड़ा आदमी	person,person,person,person,clock,person,person,banana,banana,banana,orange,banana,banana,banana,apple,banana,banana,person,apple,banana,banana,banana,banana,banana,banana,apple,orange,orange,banana,banana,orange,orange,banana,orange,apple,teddy bear,banana
2375246	A bed plastic stamp	एक बिस्तर प्लास्टिक की मोहर	suitcase,bed
2378365	girl showing cow at fair	मेले में गाय दिखाती लड़की	cow,person,person,bench,person,person,person,person,person,person,person,person,person,cow,person,person,person,person,person,person,person,person,person,person,person,chair,person,person,potted plant,person,person
2350812	judge on side of court on blue platform	नीले मंच पर अदालत के पक्ष में न्यायाधीश	person,person,person,person,person,person,tennis racket,person,person,clock,person,person,bench,person,person,snowboard,person,sports ball,person,person,person
1159278	The top white cross.	शीर्ष पर सफेद क्रॉस।	cow,motorcycle,person,person,person,motorcycle,person,bicycle,person,cow,person,handbag,banana
2351980	Dirt on the players pants.	खिलाड़ियों की पैंट पर मिट्टी।	person,person,baseball bat,person,person,baseball glove,person,person,person,person,person,person,person,person,person
2333256	chain-linked fence behind players	खिलाड़ियों के पीछे चेन-लिंक बाड़	person,frisbee,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person
2350626	White paper on a black stand	काले स्टैंड पर श्वेत पत्र	couch,potted plant,vase,book,vase,chair
2417756	March 7th is the date on the calendar	कैलेंडर पर 7 मार्च की तारीख है	book,sink,book,book,book,vase,cup,book,book
2376740	Tray of white rice and english muffins	सफेद चावल और अंग्रेजी मफिन की ट्रे	person,bowl,dining table,bowl,banana,spoon,spoon,dining table,spoon,bowl,spoon,person,bowl
2379586	a iron stand on back	एक लोहे का स्टैडं पृष्ठ्भुमि पर	teddy bear,dog,bed
2386240	red hat on baseball players head	बेसबॉल खिलाड़ी के सिर पर लाल टोपी	person,person,person,baseball glove,baseball bat,baseball glove,cup,cup,sports ball,baseball bat
2389173	black and white tennis court netting	काले और सफेद टेनिस कोर्ट नेटिंग	person,person,tennis racket,person,person,sports ball,person,chair,person,person,person,person,person,person,person,person,person,chair,person,person,person,chair,person,chair,person,person,person,person,chair,chair,person,chair,chair,chair,person,chair,chair,chair,chair,chair,chair,chair
2351014	second set of closed umbrellas	बंद छतरियों का दूसरा सेट	chair,chair,chair,chair,chair,person,person,chair,person,chair,chair,chair,person,chair,person,person,person,person,umbrella,umbrella,chair,person,chair,umbrella,person,umbrella,umbrella,chair,dining table,person,person,person,umbrella,person,chair,umbrella,cup,chair,person
2406912	Bright red semi-gloss block wall	चमकदार लाल अर्ध-ग्लोस ब्लॉक दीवार	toilet,toilet
2403623	Three baseball players are in the field.	तीन बेसबॉल खिलाड़ी मैदान में हैं।	person,person,person,baseball glove,baseball glove
2372991	A block wall is behind the skate park	स्केट पार्क के पीछे एक ब्लॉक दीवार है	person,skateboard,person
2369077	tail fine view of a red plane	एक लाल विमान की पूंछ का दृश्य	airplane,airplane,person
2391762	a group of ball players practicing	अभ्यास करने वाले गेंद खिलाड़ियों का एक समूह	person,person,person,person,person,person,person,person,person,baseball bat,person,person,person
2395103	a fine silver pocket watch	चांदी की उत्तम जेब घड़ी	clock
2331852	the date stamp in the corner of the pic	तस्वीर के कोने में तारीख की मोहर	zebra,zebra,zebra,zebra,zebra,zebra,zebra,zebra,car,zebra,zebra
2411887	Red circle with white cross under right wing	दक्षिणपंथी के तहत सफेद क्रॉस के साथ लाल सर्कल	airplane
2372940	a metal stand for the flowers	फूलों के लिए एक धातु स्टैंड	bowl,book,sink,potted plant,sink
2367389	A light reflecting on a tie press.	टाई प्रेस पर से प्रतिबिंबित होने वाला प्रकाश।	vase,suitcase,suitcase,refrigerator,bowl,oven,donut,cell phone,cell phone,suitcase
2413284	loose sediment forms on the rocks	चट्टानों पर ढीला तलछट बना हुआ	bird,bird,bird,bird,bird,bird,bird,bird,bird,bird,bird,bird,bird,bird,bird,bird
2325984	the hand is going to press a button	यह हाथ एक बटन दबाने जा रहा है	cell phone,person,person,dining table
2385797	sign written in english and foreign language	अंग्रेजी और विदेशी भाषा में लिखे गये सन्केत	traffic light,potted plant
2374718	yellow stamp date near bottom	पीले रंग की तारीख की मोहर तल के पास	person,person,person,remote,cup,donut,couch,donut,donut,donut,couch,donut,donut,dining table,dining table,book,chair,cake,couch
2325307	Street sign on a pole in english and chinese	अंग्रेजी और चीनी में एक पोल पर मार्ग़ संकेत	stop sign
2329236	an english muffin sandwich	एक अंग्रेजी मफिन सैंडविच	cup,potted plant,sandwich,dining table,cup,bottle,vase,bottle,cat,chair
1450	many utility cables cross over the street	कई उपयोगिता केबल सड़क पर से जाते हुए	car,car,car,car,car,car,car
2377445	block sneakers with green laces	ग्रीन लेस के साथ ब्लॉक स्नीकर्स	skateboard,bicycle,person,bicycle,bicycle,bicycle,bicycle,bicycle,bicycle,bicycle,bicycle,bicycle,bicycle,bicycle
2406969	Brown painted signature and date.	भूरे रन्ग में चित्रित हस्ताक्षर और तारीख	person,horse,person
2363198	woman is behind the white line of a tennis court	महिला टेनिस कोर्ट की सफेद लाइन के पीछे है	person,person,person,person,person,person,person,sports ball,person,person,person,sports ball,chair,person,person,person,sports ball,person,person
2369378	a sign showing cross streets	एक संकेत चौराहा दिखा रहा है	suitcase
2410106	farmer's market stand	किसान के बाज़ार का स्टैडं	broccoli,broccoli,broccoli,broccoli,carrot,broccoli,broccoli,broccoli,broccoli,broccoli,broccoli,carrot,broccoli,carrot,carrot,carrot,broccoli
2367503	banana on the stand	स्टैंड पर केला	bird,banana,banana,bird,bird,banana,banana,banana,banana,banana,banana,banana,bench
2335250	logo stamp on the door	दरवाजे पर लोगो की मुहर	refrigerator,suitcase,cup
2379069	english breakfast tea text	अंग्रेजी नाश्ता चाय पाठ	cup,book,book,book,person,clock,dining table,scissors
2410670	Black bike seat with silver springs.	ब्लैक बाइक सीट सिल्वर स्प्रिंग्स के साथ।	banana,bicycle,banana,banana,person,banana,banana,banana,banana,banana,bicycle,banana,banana,banana,banana
2368544	white sign with blue asian characters on it	सफेद चिह्न नीले एशियाई वर्णों के साथ	umbrella,person,car,stop sign,truck,car,car,car,traffic light
2402553	Big springs on the bottom of train.	ट्रेन के निचले भाग पर बड़े स्प्रिंग्स	train
2357120	Small French coffee press.	छोटा फ्रेंच कॉफी प्रेस।	person,wine glass,dining table,bowl,bowl,cup,cup,bowl,cup,cup,wine glass,chair,cup,bowl,cup,pizza,bottle,bowl
2151	Landline phone on the night stand	नाइट स्टैंड पर लैंडलाइन फोन	bed,clock,bed,remote,vase,remote,remote,remote
2334195	A tin container decorated with Star Wars characters and themes	एक टिन का डब्बा स्टार वार्स पात्रों और विषयों के साथ सजाया हुआ	vase,potted plant,apple,person
2382842	The players shoes are black.	खिलाड़ियों के जूते काले हैं।	person,baseball glove,sports ball,sports ball
2325296	Sis car models on top of each other	एक दूसरे के ऊपर सिस कार की मॉडलें	person,person,person,person,car,car,bench,handbag,airplane,car,bench,bench,airplane,bench,person,car,handbag
2316930	date of the recording	रिकॉर्डिंग की तारीख	motorcycle,person
98	a second pizza in a pan	एक पैन में दूसरा पिज्जा	cup,pizza,pizza,pizza,cup,dining table,knife,bottle,bottle,fork,knife,bottle,bowl,spoon,bowl,cup
2321399	cross walk lines on street	सड़क पर चलने के रेखाकिंत चिन्ह	person,car,traffic light,car,traffic light,traffic light
2389613	two man standing on a tennis court	टेनिस कोर्ट पर खड़े दो शख्स	person,person,tennis racket,tennis racket
2388082	Cell phone is in stand.	सेल फोन स्टैंड में है।	mouse,laptop,tv,keyboard,book,book,cup,keyboard,keyboard
2390363	Blue section of tennis court	टेनिस कोर्ट का नीला अन्श	person,tennis racket,sports ball
2416274	A white plate with english muffins	अंग्रेजी मफिन के साथ एक सफेद प्लेट	sandwich,sandwich,dining table,bowl
2375928	A block in the wall.	दीवार में एक ब्लॉक।	motorcycle
2340196	a red sign advertising a fun fair	एक लाल सन्केत एक मजेदार मेले को विज्ञापित करते हुए	person,car,car,person,person,person,person,car,car,person,car,car,car,car,bicycle,person,car,car,bicycle,person,person,truck
2367895	a cross on the front of a church	एक चर्च के सामने एक क्रॉस	bus,person,bicycle,car,person,car,traffic light,car,truck,car,car
2331903	the fence covered in netting at the end of the court	कोर्ट के अंत में जाल से ढ्का बाड़	person,person,person,person,sports ball,sports ball,tennis racket,tennis racket,tennis racket,tennis racket,tennis racket
2405987	Small section of baseline on a tennis court	एक टेनिस कोर्ट पर बेसलाइन का छोटा सा खंड	person,person,sports ball,sports ball,tennis racket,tennis racket
2417029	a platter of fine china	एक बढिया चीनी मिट्टी की थाली	refrigerator,hot dog,bowl,cup,spoon,cup,spoon,cup,bottle,bottle,book,bottle,chair,cup,refrigerator,cup,cup,cup,cup,vase,vase,book,bottle,vase
1593160	Grey cross on a green dome top.	एक हरे गुंबद के शीर्ष पर ग्रे क्रॉस।	traffic light,car,car,car,car,car,car,car,car,car,car,person,car,car,car,car,car
2330491	fading on the court	कोर्ट पर मुरझाह्ट	person,person,person,person,person,person,person,person,person,person,person,person,person,person,suitcase,bench,person,person,person,person,person,person,bench,person,person,person,tennis racket,person,person,person,person,person,person
1084	The date 01/03/2008 in yellow.	दिनांक 01/03/2008 पीले रंग में।	person,handbag,person
2368538	information stamp on image	छवि पर जानकारी की मुहर	person,horse,person,person,person,person,person,horse,horse,person,horse
2397557	yellow safety tape at a tennis court	एक टेनिस कोर्ट में पीला सुरक्षा टेप	person,person,person,person,sports ball,tennis racket,sports ball,sports ball,tennis racket,sports ball,tennis racket,person,sports ball,tennis racket,tennis racket
337	Balconies on the second story of the buildings	इमारतों के दूसरे स्तर पर बाल्कनियाँ	motorcycle,motorcycle,person,car,motorcycle,person,car,car,person,person,car,car,potted plant,person,car,person,person,car,person,person,person,traffic light,person,person,person
2324295	Shades of the second biker	दूसरे बाइकर का छाया	motorcycle,person,motorcycle,person
1159352	a small black entertainment stand	एक छोटा काला मनोरंजन स्टैंड	laptop,couch,couch,remote,tv,dining table,keyboard,book
2338288	thumb press into a doughnut	डोनट पे दबाव डालते हुए एक अंगूठा	donut,person,person
2327351	The line on the tennis court is white.	टेनिस कोर्ट पर लाइन सफेद है।	person,tennis racket
2401899	mini hi-fi on small stand	छोटे स्टैंड पर मिनी हाई-फाई	laptop,tv,couch,book,book,cup,book,bowl,cup,book,couch,book,book,book
2357408	two people stand next to the boat	नाव के पास दो लोग खड़े हैं	bird,person,person,boat,boat,person,person,person,person,person,person,person
2319514	an english taxi cab is on the bridge	पुल पर एक अंग्रेजी टैक्सी कैब है	clock,person,person,person,clock,person,person,car,person,car,person,person,person,person,person,car,person,person,person,person,car,car,bench,car,person
2358735	white TV stand on floor	फर्श पर सफेद टीवी स्टैंड	person,person,tv,person,remote,remote,book,remote,person
2376052	cross that sits atop the column on the left side	क्रॉस जो बाईं ओर के कॉलम के ऊपर है	clock
