en	bn
the woman is waiting to cross the street##person,person,person,person,car,car,car,car,car,person	মহিলা রাস্তায় পারাপারের জন্য অপেক্ষা করছেন
the lady appears to be going cross country skiing##person,person,person,backpack,backpack	ভদ্রমহিলা মনে হয় ক্রস কান্ট্রি স্কিইং যাচ্ছেন
White candle on a stand##clock,clock	একটি স্ট্যান্ডে সাদা মোমবাতি
A grey rock wall forms a boundary of the enclosure##giraffe,zebra,zebra,person	একটি ধূসর শিলা প্রাচীর ঘেরের সীমানা গঠন করে
a large block entrance##bicycle	একটি বড় ব্লক প্রবেশদ্বার
date when taken in yellow##cow,umbrella,umbrella,person,umbrella,person,person,umbrella,bench,umbrella	তারিখ যখন হলুদ নেওয়া হয়
tail of cat forms a C##cat,toilet,bottle,toilet,bottle,bottle	বিড়ালের লেজ একটি সি গঠন করে
Wooden railing on second level##clock,couch,person,person,chair,dining table,person,chair,oven,couch	দ্বিতীয় স্তরে কাঠের রেলিং
white springs boxes and gears below train engine##train,person,person	ট্রেন ইঞ্জিনের নীচে সাদা স্প্রিংস বক্স এবং গিয়ার
time and date stamp on the photograph##carrot,carrot,carrot,carrot,carrot,carrot,carrot,carrot,carrot,carrot	ছবিতে সময় এবং তারিখের স্ট্যাম্প
yellow fair pole on fence##person,person,baseball glove,tennis racket,car,bench	বেড়া উপর হলুদ ফর্সা খুঁটি
baseball players dressed in gray and orange##person,person,person,baseball glove,person,person,person,person,person,baseball glove	বেসবল প্লেয়াররা ধূসর এবং কমলা রঙের পোশাক পরা
teal sign with white asian characters##tv,person,person,person,traffic light,person,person,person,person,person	সাদা এশিয়ান অক্ষরগুলির সাথে টিল সাইন
Chain-link enclosure for tennis court##person,sports ball,sports ball,sports ball,sports ball,sports ball,sports ball,sports ball,tennis racket	টেনিস কোর্টের জন্য চেইন-লিংক ঘের
stand in the room##book,clock,book,book,book,book,book,book,book,book	রুমে দাঁড়ানো
The window on the right on the second floor.##person,person,person,car,bench,bench,bench,handbag,handbag,bench	দ্বিতীয় তলায় ডানদিকে উইন্ডো।
Date stamp of photograph##person,person	ফটোগ্রাফের তারিখ স্ট্যাম্প
large silver juice press##person,person,cup,apple,apple,apple,apple,bottle,cup,cup	বড় রূপোর জুস প্রেস
the players in the dugout##person,person,person,person,baseball glove,person,person,person,car,person	খেলোয়াড়দের ডাগআউট
A white pot on the stand##person,person,chair,person,potted plant,person,person,person,person,chair	স্ট্যান্ডে একটি সাদা পাত্র
Photo's date stamp.##person,snowboard,person	ছবির তারিখ স্ট্যাম্প।
hind leg forms one quadrant##cat	পেছনের লেগ এক চতুর্ভুজ গঠন
Light green tennis court##person,sports ball,tennis racket	হালকা সবুজ টেনিস কোর্ট
soccer players red shirt##person,person,sports ball,car,person	ফুটবল খেলোয়াড়রা লাল শার্ট
Gray television on stand##potted plant,vase,book,book,laptop,vase,tv,book,book,book	স্ট্যান্ড ধূসর টেলিভিশন
a second meal plate.##sandwich,sandwich,bowl,bottle,dining table,carrot	দ্বিতীয় খাবারের প্লেট
dark wooden wash stand##bed,vase,chair,person	গাঢ় কাঠের ওয়াশ স্ট্যান্ড
Cube-like cement block out-building with large square door##person,skateboard,bench,bench,person,person,person,bench,person,person	বড় স্কোয়ারের দরজা সহ কিউব-জাতীয় সিমেন্ট ব্লক আউট বিল্ডিং
chinese characters on a red vehicle##person,cow,motorcycle,truck	একটি লাল গাড়িতে চীনা অক্ষর
blue tennis court area##person,tennis racket,tennis racket	নীল টেনিস কোর্ট অঞ্চল
Cement block outdoor flooring.##person,chair,person,person,chair,person,suitcase,person,person,bench	সিমেন্ট ব্লক আউটডোর মেঝে
the sign has asian characters##person,person,person,person,umbrella,person,umbrella,person,person,person	সাইন এশিয়ান অক্ষর আছে
a cross sign on top of the tower##clock,clock	টাওয়ারের উপরে একটি ক্রস চিহ্ন
man is waiting to cross##car,car,traffic light,car,car,car,person,car,person,car	মানুষ ক্রস করার জন্য অপেক্ষা করছে
spikes on a players shoe##person,person,person,person,baseball glove,sports ball,baseball glove	একটি প্লেয়ার জুতো উপর কাঁটা
a museum containing models of airplanes##airplane,airplane,person,airplane,person,airplane,person,airplane,airplane,person	বিমানগুলির মডেল সমন্বিত একটি যাদুঘর
date and time stamp on a picture##truck,car,truck,oven	একটি ছবিতে তারিখ এবং সময় স্ট্যাম্প
Chinese characters on sign##traffic light	সাইন ইন চীনা অক্ষর
an orange sign with written characters##car,person,person,person,person,car,car,person,person,person	লিখিত অক্ষরের সাথে একটি কমলা চিহ্ন
Baseball players are in the background##person,person,baseball glove,person,person,baseball bat,person,person,person,person	বেসবল প্লেয়াররা পটভূমিতে রয়েছে
Newspaper stand on the grass##car,car,truck,car,car,car,car,car,car,car	খবরের কাগজ ঘাসে দাঁড়িয়ে আছে
young female date wearing a purple rhinestone sleeveless gown##person,person,person,tie,potted plant,tie	বেগুনি কাঁচের কাঁচের স্লিভলেস গাউন পরা তরুণ মহিলা তারিখ 
two people waiting to cross##person,person,traffic light,umbrella,car,person,car,fire hydrant,umbrella,handbag	দুই জন ক্রস করার জন্য অপেক্ষা করছে
the side of the second train##train	দ্বিতীয় ট্রেনের পাশ
the bird is stand on a tree branch##bird,bear	পাখি গাছের ডালে দাঁড়িয়ে আছে
a black cross on a vertical stabilizer##person,airplane,person,tennis racket,backpack,cup,stop sign,person,potted plant	একটি উল্লম্ব স্ট্যাবিলাইজারের উপর একটি কালো ক্রস
a green tennis court##person,tennis racket,sports ball	একটি সবুজ টেনিস কোর্ট
neutral makeup on both rain models##umbrella,person,person,umbrella,car,person,person,book,toothbrush,truck	উভয় বৃষ্টি মডেল নিরপেক্ষ মেকআপ
the second bus has a blue sign##bus,bus,person,person,person,car,car,person,bus,person	দ্বিতীয় বাসটিতে একটি নীল চিহ্ন রয়েছে
This is some type of a fair.##person,person,person,dog,motorcycle,dog,person,person,person,person	এটি মেলার এক প্রকার।
A display of different phone models##cell phone,cell phone,cell phone,cell phone,cell phone,cell phone,cell phone,cell phone,cell phone,cell phone	বিভিন্ন ফোনের মডেলগুলির প্রদর্শন
microphone on the court##person,person	কোর্টে মাইক্রোফোন
person doing a hand stand##laptop,laptop,laptop,person,book,book,person,person,keyboard,keyboard	ব্যক্তি একটি হাত স্ট্যান্ড করছেন
springs of the seat##motorcycle,person,person,person,handbag,person,knife,motorcycle,clock	আসন স্প্রিংস
A large pipe extending from the wall of the court.##person,tennis racket,potted plant,vase	কোর্টের দেয়াল থেকে প্রসারিত একটি বৃহত পাইপ।
rapid in fast water##person,surfboard	দ্রুত জলে দ্রুত
a stone block train platform##train,suitcase,person,person,person,person,person,person,train,train	একটি পাথর ব্লক ট্রেন প্ল্যাটফর্ম
a book is on the night stand##bed	একটি বই নাইট স্ট্যান্ডে আছে
orange springs on the bottom of train##train,person,person,traffic light,person,chair,chair,person	ট্রেনের নীচে কমলা ফোয়ারা
a fast flowing river##bird	একটি দ্রুত প্রবাহিত নদী
lighted signs for different forms of public transportation##clock,clock	জনসাধারণের যাতায়াত বিভিন্ন ধরণের জন্য আলোকিত লক্ষণ
three windows on the second floor##clock,potted plant	দ্বিতীয় তলায় তিনটি জানালা
a dark blue sedan moving fast##car,traffic light,traffic light,traffic light,traffic light,stop sign,tv,traffic light	গাঢ় নীল রঙের সেডান দ্রুত গতিতে চলছে
zebras stand close together to watch for predators##zebra,zebra,zebra	শিকারীরা দেখার জন্য জেব্রা একসাথে দাঁড়িয়ে আছে
Gated street fair##car,person,person,person,person,person,person,person,traffic light,person	গেটেড স্ট্রিট মেলা
surfboard forms a splash of water##person,surfboard,person,surfboard	সার্ফবোর্ড জল স্প্ল্যাশ গঠন
paper triangle stand##toilet,sink,toilet,cup,sink	কাগজের ত্রিভুজ স্ট্যান্ড
a time and date stamp##traffic light,traffic light,traffic light,car,traffic light,car,traffic light	একটি সময় এবং তারিখ স্ট্যাম্প
english letter is white##person,person,car,fire hydrant,handbag,person,handbag,umbrella,fire hydrant,person	ইংরেজি বর্ণ সাদা
Brown box is on the tennis court##person,tennis racket,sports ball,sports ball,sports ball,sports ball,sports ball,chair,bench,bench	ব্রাউন বক্স টেনিস কোর্টে রয়েছে
a cross is on the tower##person,cow,cow,cow,cow,cow,cow,dog	একটি ক্রুশ টাওয়ারের উপরে রয়েছে
players in dirt circle##person,person,person,baseball glove,baseball glove	ময়লা বৃত্তের খেলোয়াড়
beige stair way going to second level##potted plant	বেইজ সিঁড়ি উপায় দ্বিতীয় স্তরে যাচ্ছে
grey concrete cross by the building##clock,clock	বিল্ডিং দ্বারা ধূসর কংক্রিট ক্রস
block for bench feet##bench,potted plant,potted plant,potted plant	বেঞ্চ ফুট জন্য ব্লক
location characters are white##train	অবস্থানের অক্ষরগুলি সাদা
Brown plastic fast food table##donut,bottle,dining table,remote,chair,car,chair,sandwich	ব্রাউন প্লাস্টিকের ফাস্ট ফুড টেবিল
The TV and stand in the living room##couch,couch,chair,chair,chair,chair,chair,tv,chair,couch	বসার ঘরে টিভি এবং স্ট্যান্ড
brown wooden stairs leading to second floor##person,backpack,book,book,book,book,book,book,book,couch	বাদামি কাঠের সিঁড়ি দিয়ে দোতলা যাওয়া যায়
very fine fabric and material##scissors	খুব সূক্ষ্ম বুনন এবং কাপড়
do not block intersection sign is above the right lane must turn right sign##bus,person,person,person,car,car,person,person,traffic light,person	ছেদটি অবরোধ করবেন না সাইনটি ডান দিকেই যান সাইন এর উপরে আছে
The motorcycles are going fast##motorcycle,motorcycle,person,person,person,motorcycle	মোটর সাইকেলগুলো দ্রুত চলছে
a fence behind the players##person,person,person,baseball bat,baseball bat	খেলোয়াড়দের পিছনে একটি বেড়া
the date on the photo##bear	ফটোর উপরে তারিখ
the penalty box is white lined##sports ball,person,person,person,person,person,person,person,person,person	পেনাল্টি বক্সটি সাদা রেখা দ্বারা চিহ্নিত
the green sign with red and yellow characters##person,umbrella,person,umbrella,person,umbrella,person,umbrella,person,person	সবুজ সাইন এর মধ্যে লাল এবং হলুদ হরফ
A red metal frame forms the half pipe##person,skateboard	একটি লাল ধাতব ফ্রেম দিয়ে অর্ধেক পাইপ টি তৈরী 
shadows of players on court##person,person,tennis racket,car,person,person	কোর্টে খেলোয়াড়দের ছায়া
a red tennis shoe on players foot##person,tennis racket,skateboard,person,person,person,skateboard	খেলোয়াড় এর পায়ে একটি লাল টেনিস জুতো
clock face on wall date##clock,clock,clock	দেয়াল এর ঘড়িতে তারিখ 
a group of people watching the baseball players##person,person,person,person,baseball bat,baseball glove,person,person,backpack,person	বেসবল খেলোয়াড়দের দেখছেন একদল লোক
a woman on the opposite team trying to block the frisbee##person,person,person,frisbee	বিপক্ষ দলের এক মহিলা ফ্রিসবি আটকানোর চেষ্টা করছেন 
a white stand on road##car,car,car,car	রাস্তায় একটি সাদা স্ট্যান্ড
Concrete forms in pavement##person,person,bench,motorcycle,bench,potted plant,book,person,bench,book	ফুটপাতে কংক্রিট ফর্ম
man standing next to fruit stand##person,person,person,person,clock,person,person,banana,banana,banana	মানুষটি ফল স্ট্যান্ড এর পাশে দাঁড়িয়ে 
A bed plastic stamp##suitcase,bed	বিছানাতে প্লাস্টিকের স্ট্যাম্প
girl showing cow at fair##cow,person,person,bench,person,person,person,person,person,person	মেলায় গরু দেখাচ্ছে মেয়ে
judge on side of court on blue platform##person,person,person,person,person,person,tennis racket,person,person,clock	কোর্ট এর এক পাশে নীল প্লাটফর্ম এ বিচারক 
The top white cross.##cow,motorcycle,person,person,person,motorcycle,person,bicycle,person,cow	শীর্ষ সাদা ক্রস।
Dirt on the players pants.##person,person,baseball bat,person,person,baseball glove,person,person,person,person	খেলোয়াড়দের প্যান্টের উপর ময়লা।
chain-linked fence behind players##person,frisbee,person,person,person,person,person,person,person,person	খেলোয়াড়দের পেছনে চেইন-লিঙ্কযুক্ত বেড়া
White paper on a black stand##couch,potted plant,vase,book,vase,chair	একটি কালো স্ট্যান্ড উপর সাদা কাগজ
March 7th is the date on the calendar##book,sink,book,book,book,vase,cup,book,book	৭ই মার্চ ক্যালেন্ডারে তারিখ
Tray of white rice and english muffins##person,bowl,dining table,bowl,banana,spoon,spoon,dining table,spoon,bowl	সাদা ভাত এবং ইংলিশ মাফিনের ট্রে
a iron stand on back##teddy bear,dog,bed	পিছনে একটি লোহার স্ট্যান্ড
red hat on baseball players head##person,person,person,baseball glove,baseball bat,baseball glove,cup,cup,sports ball,baseball bat	বেসবল খেলোয়াড় এর মাথায় লাল টুপি 
black and white tennis court netting##person,person,tennis racket,person,person,sports ball,person,chair,person,person	টেনিস কোর্ট এর সাদা এবং কালো জালের বুনানি
second set of closed umbrellas##chair,chair,chair,chair,chair,person,person,chair,person,chair	বন্ধ ছাতার দ্বিতীয় সেট 
Bright red semi-gloss block wall##toilet,toilet	উজ্জ্বল আধা মসৃন লাল দেয়াল ব্লক 
Three baseball players are in the field.##person,person,person,baseball glove,baseball glove	তিনজন বেসবল খেলোয়াড় মাঠে আছেন 
A block wall is behind the skate park##person,skateboard,person	স্কেট পার্কের পিছনে একটি ব্লক প্রাচীর রয়েছে
tail fine view of a red plane##airplane,airplane,person	একটি লাল বিমানের লেজ সূক্ষ্ম দর্শন
a group of ball players practicing##person,person,person,person,person,person,person,person,person,baseball bat	একটি বল খেলোয়াড়দের দল অনুশীলন করছে 
a fine silver pocket watch##clock	একটি সূক্ষ্ম রুপার পকেট ঘড়ি
the date stamp in the corner of the pic##zebra,zebra,zebra,zebra,zebra,zebra,zebra,zebra,car,zebra	ছবিটির কোণায় তারিখ স্ট্যাম্প
Red circle with white cross under right wing##airplane	ডান ডানা নীচে সাদা ক্রস সঙ্গে লাল বৃত্ত
a metal stand for the flowers##bowl,book,sink,potted plant,sink	ফুলের জন্য একটি ধাতব স্ট্যান্ড
A light reflecting on a tie press.##vase,suitcase,suitcase,refrigerator,bowl,oven,donut,cell phone,cell phone,suitcase	একটি টাই প্রেসে আলো প্রতিফলিত হচ্ছে 
loose sediment forms on the rocks##bird,bird,bird,bird,bird,bird,bird,bird,bird,bird	পাথরের উপর আলগা পলি ফর্ম
the hand is going to press a button##cell phone,person,person,dining table	হাত একটি বোতাম টিপতে যাচ্ছে
sign written in english and foreign language##traffic light,potted plant	ইংরেজি এবং বিদেশী ভাষায় লিখিত সাইন
yellow stamp date near bottom##person,person,person,remote,cup,donut,couch,donut,donut,donut	নীচে কাছাকাছি হলুদ স্ট্যাম্প তারিখ
Street sign on a pole in english and chinese##stop sign	একটি স্ট্যান্ডের উপরে ইংলিশ এবং চীনা ভাষায় একটি রাস্তার সাইন
an english muffin sandwich##cup,potted plant,sandwich,dining table,cup,bottle,vase,bottle,cat,chair	একটি ইংরেজি মাফিন স্যান্ডউইচ
many utility cables cross over the street##car,car,car,car,car,car,car	অনেক ইউটিলিটি তারগুলি রাস্তায় অতিক্রম করে
block sneakers with green laces##skateboard,bicycle,person,bicycle,bicycle,bicycle,bicycle,bicycle,bicycle,bicycle	সবুজ লেইস সঙ্গে স্নিকার ব্লক
Brown painted signature and date.##person,horse,person	বাদামি স্বাক্ষর এবং তারিখ আঁকা।
woman is behind the white line of a tennis court##person,person,person,person,person,person,person,sports ball,person,person	টেনিস কোর্টের সাদা লাইনের পিছনে মহিলা রয়েছেন
a sign showing cross streets##suitcase	ক্রস রাস্তা দেখানো একটি চিহ্ন
farmer's market stand##broccoli,broccoli,broccoli,broccoli,carrot,broccoli,broccoli,broccoli,broccoli,broccoli	কৃষকের বাজার স্ট্যান্ড
banana on the stand##bird,banana,banana,bird,bird,banana,banana,banana,banana,banana	স্ট্যান্ডে কলা
logo stamp on the door##refrigerator,suitcase,cup	লোগো স্ট্যাম্প দরজা
english breakfast tea text##cup,book,book,book,person,clock,dining table,scissors	ইংরেজী প্রাতঃরাশের চা পাঠ্য
Black bike seat with silver springs.##banana,bicycle,banana,banana,person,banana,banana,banana,banana,banana	সিলভার স্প্রিংস সহ কালো সাইকেলের সিট।
white sign with blue asian characters on it##umbrella,person,car,stop sign,truck,car,car,car,traffic light	এটিতে নীল এশিয়ান অক্ষরগুলির সাথে সাদা চিহ্ন
Big springs on the bottom of train.##train	ট্রেনের নীচে বড় স্প্রিংস।
Small French coffee press.##person,wine glass,dining table,bowl,bowl,cup,cup,bowl,cup,cup	ছোট ফরাসি কফি প্রেস।
Landline phone on the night stand##bed,clock,bed,remote,vase,remote,remote,remote	নাইট স্ট্যান্ডে ল্যান্ডলাইন ফোন
A tin container decorated with Star Wars characters and themes##vase,potted plant,apple,person	স্টার ওয়ার্সের অক্ষর এবং থিম দিয়ে সজ্জিত একটি টিনের পাত্রে
The players shoes are black.##person,baseball glove,sports ball,sports ball	খেলোয়াড়দের জুতো কালো।
Sis car models on top of each other##person,person,person,person,car,car,bench,handbag,airplane,car	একে অপরের শীর্ষে সিস কার মডেল
date of the recording##motorcycle,person	রেকর্ডিংয়ের তারিখ
a second pizza in a pan##cup,pizza,pizza,pizza,cup,dining table,knife,bottle,bottle,fork	একটি প্যানে দ্বিতীয় পিজ্জা
cross walk lines on street##person,car,traffic light,car,traffic light,traffic light	রাস্তায় ক্রস ওয়াক লাইন
two man standing on a tennis court##person,person,tennis racket,tennis racket	টেনিস কোর্টে দাঁড়িয়ে দুই ব্যক্তি
Cell phone is in stand.##mouse,laptop,tv,keyboard,book,book,cup,keyboard,keyboard	সেল ফোন দাঁড়িয়ে আছে।
Blue section of tennis court##person,tennis racket,sports ball	টেনিস কোর্টের ব্লু বিভাগ
A white plate with english muffins##sandwich,sandwich,dining table,bowl	ইংলিশ মাফিনস সহ একটি সাদা প্লেট
A block in the wall.##motorcycle	দেয়ালে একটি ব্লক।
a red sign advertising a fun fair##person,car,car,person,person,person,person,car,car,person	একটি লাল চিহ্ন একটি মজার মেলার বিজ্ঞাপন
a cross on the front of a church##bus,person,bicycle,car,person,car,traffic light,car,truck,car	একটি গির্জার সামনে ক্রস
the fence covered in netting at the end of the court##person,person,person,person,sports ball,sports ball,tennis racket,tennis racket,tennis racket,tennis racket	কোর্টের শেষে জাল দিয়ে বেড়ানো ঢাকা বেড়া
Small section of baseline on a tennis court##person,person,sports ball,sports ball,tennis racket,tennis racket	টেনিস কোর্টে বেসলাইনের ছোট্ট বিভাগ
a platter of fine china##refrigerator,hot dog,bowl,cup,spoon,cup,spoon,cup,bottle,bottle	সূক্ষ্ম চীন একটি থালা
Grey cross on a green dome top.##traffic light,car,car,car,car,car,car,car,car,car	সবুজ গম্বুজ শীর্ষে ধূসর ক্রস।
fading on the court##person,person,person,person,person,person,person,person,person,person	কোর্টে বিবর্ণ
The date 01/03/2008 in yellow.##person,handbag,person	হলুদে ০১/০৩/২০০৮ তারিখ।
information stamp on image##person,horse,person,person,person,person,person,horse,horse,person	ছবিতে তথ্য স্ট্যাম্প
yellow safety tape at a tennis court##person,person,person,person,sports ball,tennis racket,sports ball,sports ball,tennis racket,sports ball	টেনিস কোর্টে হলুদ সুরক্ষা টেপ
Balconies on the second story of the buildings##motorcycle,motorcycle,person,car,motorcycle,person,car,car,person,person	বিল্ডিংগুলির দ্বিতীয় গল্পের উপর বালকনিগুলি
Shades of the second biker##motorcycle,person,motorcycle,person	দ্বিতীয় বাইকারের ছায়া
a small black entertainment stand##laptop,couch,couch,remote,tv,dining table,keyboard,book	একটি ছোট কালো বিনোদন স্ট্যান্ড
thumb press into a doughnut##donut,person,person	একটি ডোনাট মধ্যে থাম্ব প্রেস
The line on the tennis court is white.##person,tennis racket	টেনিস কোর্টের লাইনটি সাদা।
mini hi-fi on small stand##laptop,tv,couch,book,book,cup,book,bowl,cup,book	ছোট স্ট্যান্ডে মিনি হাই ফাই
two people stand next to the boat##bird,person,person,boat,boat,person,person,person,person,person	দু'জন লোক নৌকার পাশে দাঁড়িয়ে
an english taxi cab is on the bridge##clock,person,person,person,clock,person,person,car,person,car	একটি ইংরেজী ট্যাক্সি ক্যাব ব্রিজের উপরে রয়েছে
white TV stand on floor##person,person,tv,person,remote,remote,book,remote,person	ফ্লোরে সাদা টিভি স্ট্যান্ড
cross that sits atop the column on the left side##clock	বাম দিকে কলামের উপরে বসে যে ক্রস
Two baseball players at the plate##person,person,sports ball,baseball glove,baseball glove	প্লেটে দুটি বেসবল খেলোয়াড়
photo date on right##motorcycle,car,car,car,car,car,car,person,person,car	ডানদিকে ছবির তারিখ
a fine meal on a plate##broccoli,person,spoon,knife,spoon,dining table,sandwich,broccoli,fork	একটি প্লেটে একটি চমৎকার খাবার
a glass block window##person,book,book,tie,book,book,suitcase	একটি গ্লাস ব্লক উইন্ডো
time and date stamp on the picture##person,person,bed,person,dog	ছবিতে সময় এবং তারিখের স্ট্যাম্প
sing is written in chinese and latin characters##person,car,potted plant	গান চীনা এবং লাতিন অক্ষরে লেখা হয়
fine, pale sand##person,sports ball,person,person,kite	ঠিক আছে, ফ্যাকাশে বালু
cone of plane appears dark, shiny and fast##airplane,person,person	সমতল শঙ্কু অন্ধকার, চকচকে এবং দ্রুত প্রদর্শিত হবে
round light gray large cement block##frisbee,person,person,person,person,person,person,person,person,person	গোলাকার হালকা ধূসর বড় সিমেন্ট ব্লক
Large tv on black stand.##tv,potted plant,dining table,couch,book,oven	কালো স্ট্যান্ডে বড় টিভি।
soccer players connect chin and forehead##person,person,sports ball,person	ফুটবল খেলোয়াড়রা চিবুক এবং কপাল সংযোগ করে
a round wooden block##vase,couch,potted plant,cake	একটি বৃত্তাকার কাঠের ব্লক
a juice press##person,knife,person,orange,cup,person,cup,chair,orange,orange	একটি রস প্রেস
Railing on second floor of building##person,person,person,person,person,person,person	বিল্ডিংয়ের দ্বিতীয় তলায় রেলিং
white paper with pictures on stand on the table##chair,chair,dining table,potted plant,bottle,oven,chair,bottle,potted plant,dining table	টেবিলের উপর স্ট্যান্ডে ছবি সহ সাদা কাগজ
items for sale in stand##person,umbrella,person,umbrella,umbrella,umbrella,person,book,umbrella,chair	স্ট্যান্ড বিক্রয়ের জন্য আইটেম
ridged metal pole stand to a large clock##clock	উত্তেজিত ধাতব মেরু একটি বড় ঘড়ির জন্য দাঁড়িয়ে
Silver metal monitor stand##person,person,person,chair,chair,person,tv,kite,person,dining table	সিলভার মেটাল মনিটর স্ট্যান্ড
Landscape shrub models on display##truck,truck	ডিসপ্লেতে ল্যান্ডস্কেপ গুল্ম মডেল
these are baseball players##person,person,baseball glove,tennis racket,kite	এই বেসবল খেলোয়াড়
Cinder block base for fence##giraffe,giraffe,giraffe,giraffe	বেড়া জন্য সিন্ডার ব্লক বেস
A net in between the players##person,person,person,person,person,person,person,person,person,person	খেলোয়াড়দের মধ্যে একটি নেট
the blue 28 on the back of the players shirt##person,person,baseball glove	প্লেয়ারদের শার্টের পিছনে নীল 28
the second level of the bus##bus,person,person	বাসের দ্বিতীয় স্তর
characters on the billboard##person,person,person,umbrella,person,person,umbrella,person,umbrella,person	বিলবোর্ডে অক্ষর
The bolt underneath the springs.##bicycle,bicycle,person,bottle	ঝর্ণার নীচে বল্টু।
The net on a tennis court##person,person,tennis racket,tennis racket,sports ball,person,person,sports ball	টেনিস কোর্টে নেট
older dude on bicycle in a country where spanish/english are the official languages##person,stop sign,bicycle,car,traffic light,car,car,car,person,car	এমন দেশে সাইকেলের উপর বয়স্ক ছেলেমেয়েরা স্প্যানিশ / ইংরেজি সরকারী ভাষা
Several models hanging in the air in the exhibit##kite,kite,kite,kite,kite,kite,kite,kite,kite,kite	প্রদর্শনীতে বাতাসে ঝুলন্ত বেশ কয়েকটি মডেল
black utensils in a wooden block##person,oven,cup,microwave,spoon,knife,bowl,dining table,cup,cup	একটি কাঠের ব্লক কালো পাত্রে
bird second in line##book,bird,bird,bird,bird,book	লাইনে পাখি দ্বিতীয়
english flag printed umbrella##person,person,umbrella,person,person,umbrella,umbrella,umbrella,umbrella,umbrella	ইংরেজি পতাকা ছাতা ছাতা
stamp on boy's left hand##person,person,teddy bear,teddy bear,person,person,sports ball,teddy bear	ছেলের বাম হাতে স্ট্যাম্প
person holding a block of ice##cow,person,person,person,person,person	বরফের ব্লক ধরে থাকা ব্যক্তি
large green and purple tennis court##person,person,person,tennis racket,person,bottle,tennis racket,person,chair,chair	বড় সবুজ এবং বেগুনি টেনিস কোর্ট
A man taking a picture of the players.##person,person,person,chair,chair,person,tennis racket,chair,chair,chair	খেলোয়াড়দের ছবি তুলছেন এক ব্যক্তি।
Yellow time and date stamp##person,person,person,person,clock,person,person,handbag,bicycle,bicycle	হলুদ সময় এবং তারিখ স্ট্যাম্প
a fair weather cloud##truck,bus	একটি আবহাওয়া মেঘ
orange date print##person,person,person,person,person,person,person,backpack,person,person	কমলা তারিখ মুদ্রণ
tennis players shaking hands##person,tennis racket,cell phone,person,person,person,person,person,chair,person	টেনিস খেলোয়াড়রা হাত কাঁপছেন
the block of hay##zebra,zebra,zebra,zebra	খড়ের ব্লক
there is a building behind the court##person,person,tennis racket,bench,bench,tennis racket,bench,bench,bench	কোর্টের পিছনে একটি বিল্ডিং রয়েছে
proprietor of the mobile lemonade stand##person,skateboard,person,person,person,car,car,umbrella,cell phone,cell phone	মোবাইল লেবুনেড স্ট্যান্ডের স্বত্বাধিকারী
pole behind second baseman##person,person,person,person,person,person,person,person,baseball bat,stop sign	দ্বিতীয় বেসম্যান পিছনে মেরু
Net separating a tennis##person,tennis racket,person,sports ball,person	নেট একটি টেনিস পৃথক
