en	bn
A porcelain white plate##wine glass,wine glass,fork,cup,wine glass,spoon,fork,wine glass,fork,dining table	একটি চীনামাটির বাসন সাদা প্লেট
black game controller##tv,remote,laptop,frisbee,book	কালো খেলা নিয়ামক
A person putting something in the trunk of the car.##person,car,car,car,umbrella,car	একজন ব্যক্তি গাড়ির ট্রাঙ্কে কিছু রাখছেন।
Green car parked along a street##fire hydrant,car,car,fire hydrant	রাস্তায় পার্ক করা সবুজ গাড়ি
car on the street##person,car,car,backpack,car,car,car,car,car,car	রাস্তায় গাড়ি
construction worker wearing coveralls##person,person,person,truck,person,person,person,person,person	পরিশ্রমী পরা নির্মাণ শ্রমিক
a black car with a yellow door##car,person,truck,car,person,car,person,person,person,traffic light	হলুদ দরজা সহ একটি কালো গাড়ি
chair at the table##chair,chair,dining table,chair,chair,chair,chair,chair,chair,chair	টেবিলে চেয়ার
a navel orange on a counter##bottle,orange,fork,dining table,bowl,cup,bowl,fork,knife,cup	একটি কাউন্টারে একটি নাভি কমলা
Three windows of a building##person,car,person,car,car,bicycle,person,person,person,car	একটি ভবনের তিনটি জানালা
window on a building##person,bicycle,bicycle,person,person,bicycle,bicycle,bicycle,bicycle,person	একটি বিল্ডিং উইন্ডো
Brown table standing on top of a floor.##chair,potted plant,bowl,chair,chair,dining table,dining table,orange	মেঝেতে দাঁড়িয়ে ব্রাউন টেবিল।
floor lamp is on##couch,chair,suitcase,remote,remote,remote	ফ্লোর ল্যাম্প চালু আছে
A yellow bus##person,person,person,person,person,bus,person,person,person,person	একটি হলুদ বাস
branch of the tree##potted plant,potted plant,potted plant,potted plant,potted plant	গাছের ডাল
Cement bench outside the building##person,person,car	ভবনের বাইরে সিমেন্ট বেঞ্চ
thick black pole with a white stripe##person,person,person,person,car,person,person,backpack,car,person	একটি সাদা ফিতে সঙ্গে ঘন কালো পোল
a wooden park bench##bench,bench,bench,bench,bench,person,bench,person,car,person	একটি কাঠের পার্ক বেঞ্চ
a cup##person,cup,bottle,bottle,dining table,vase,orange,potted plant,bottle,vase	এক কাপ
man has brown hair##person,chair,chair,cup,bottle,bottle,vase	মানুষের চুল বাদামী
grass in a field##person,person	একটি মাঠে ঘাস
A large brown tree trunk##person,person,person,bicycle,car	একটি বিশাল বাদামি গাছের কাণ্ড
silver car in front of a building##car,car,car,car	একটি ভবনের সামনে সিলভার গাড়ি
man sits at counter##person,chair,chair,vase,chair,wine glass,bottle,bottle,bottle,bottle	মানুষ কাউন্টারে বসে
woman standing at a book cart##person,person,person,person,book,book,book,bottle,book,book	মহিলা একটি বইয়ের গাড়ী দাঁড়িয়ে
two story blue bus##bus,bus,bus,bus,bus	দোতলা নীল বাস
a gray laundry basket##bottle	একটি ধূসর লন্ড্রি ঝুড়ি
The yellow construction hats##chair,chair,chair,chair,dining table,dining table,dining table,chair,chair,dining table	হলুদ নির্মাণ টুপি
wooden floor in the room##bottle,refrigerator,bottle,vase,apple,vase,cup,donut,donut,donut	ঘরে কাঠের মেঝে
A tall palm tree above the horizon##	দিগন্তের ওপরে একটি লম্বা তাল গাছ
chair inside an auditorium##chair,chair,chair,chair,chair,chair,chair,chair,chair,chair	একটি মিলনায়কের ভিতরে চেয়ার
a tall leafy tree##person	একটি লম্বা পাতলা গাছ
mirror is on far wall##refrigerator	আয়না তো দূরের দেয়ালে on
the sidewalk##person,person	ফুটপাথ
The driver's side door is open##car,car,clock	চালকের পাশের দরজা খোলা আছে
A plate full of food##cup,dining table,bowl,person,cake,spoon,chair,fork,carrot,carrot	খাবারে পূর্ণ একটি প্লেট
the building is white##person	ভবনটি সাদা is
small picture on wall##toilet,sink,bottle	দেয়ালে ছোট ছবি
intersection of wooden logs##	কাঠের লগের ছেদ
light attached to building##bicycle,bicycle	আলো বিল্ডিংয়ের সাথে সংযুক্ত
Do Not Enter sign##person,car,car,car,car,car,handbag,person,bus,stop sign	সাইন লিখুন না
colorful pillow of blues and reds on a white striped couch##couch,chair,dining table,chair,chair,chair,dining table,dining table,chair,vase	সাদা স্ট্রাইপযুক্ত পালঙ্কে ব্লুজ এবং লাল রঙের বালিশ
dent is in the vehicle##car,car,car	দাঁত গাড়িতে আছে
the roof is grey##	ছাদ ধূসর
brown frame on mirror##chair,potted plant,vase,vase,potted plant,potted plant	আয়নাতে বাদামী ফ্রেম
white flowers beneath tree##car	গাছের নীচে সাদা ফুল
white ambulance on the street##car,car,person,person,car,truck,person,person,person,car	রাস্তায় সাদা অ্যাম্বুলেন্স
green trees in distance##bicycle,bicycle,bicycle,bicycle,bicycle,car,bicycle,bicycle,bicycle,bicycle	দূরত্বে সবুজ গাছ
The sign is blue##car,car,car,car,car,car,car,car,car,car	সাইনটি নীল
Man sitting off to side of road##person,person,person,person,person,car,person,car,person,car	মানুষ রাস্তার পাশে বসে
a man crossing the street##person,person,person,person,person,bus,person,car,car,person	রাস্তা পার হয়ে একজন
sign on the wall##	দেয়ালে সাইন
window in a brick house##car	একটি ইট বাড়িতে উইন্ডো
The computer screen is blue##chair,laptop,tv,chair,keyboard,keyboard,person,tv,book,chair	কম্পিউটারের স্ক্রিনটি নীল
bike route sign##car,car,car	বাইক রুট সাইন
Grey Beard Hair on a man##person,tie	একটি পুরুষের উপর ধূসর দাড়ি চুল
the rear view of a car##car,car,person,motorcycle,person	একটি গাড়ির পিছনের দৃশ্য
Burger with cheese sauce##fork,dining table,bowl,wine glass,bowl,orange,cake,orange,sandwich	পনির সস দিয়ে বার্গার
side of thee silver SUV##car,car,car,car,traffic light,car	তোমার পাশে সিলভার এসইউভি
Woman walking across street##person,car,car,car,car,car,car,potted plant,car,bicycle	মহিলা রাস্তায় হাঁটছেন
woman wearing pink jacket##person,clock,person,car,bicycle,stop sign,handbag,person,bicycle,clock	মহিলা গোলাপী জ্যাকেট পরা
red car parked by street light##car,car,car,car,car,bus,car,car,car,car	স্ট্রিট লাইট পার্কযুক্ত লাল গাড়ি
the traffic lights are yellow##person,person,person,person,car,traffic light,car,person,car,person	ট্র্যাফিক লাইট হলুদ হয়
White painted line on pavement##bicycle,person,person,bicycle,person,person,traffic light,person,backpack,suitcase	ফুটপাতে সাদা আঁকা লাইন
The black tipped pen on the desk##chair,tv,tv,keyboard,chair,refrigerator,cup,chair,chair,book	ডেস্কে কালো টিপড পেন
Man in white shirt walking down the sidewalk##person,car,potted plant,person,person,car,person,car,car,umbrella	সাদা শার্টের লোক ফুটপাতে হাঁটছে
large light fixture in ceiling##chair,chair,chair,chair,chair,bottle,chair,chair,bottle,bottle	সিলিং বড় হালকা স্থিতিশীল
white monitor on desk##keyboard,keyboard,tv,tv,mouse,mouse,person,book,chair,backpack	ডেস্কে সাদা মনিটর
black computer monitor on desk##keyboard,tv,mouse,keyboard,cup,mouse,couch,bottle,bowl,cell phone	ডেস্কে কালো কম্পিউটার মনিটর
handle on the mug##cup,book,cup,laptop,dining table,chair,chair	মগ উপর হ্যান্ডেল
a man sitting in front of a computer monitor##person,tv,chair,cup,keyboard,cup,chair,cup,book,book	একজন কম্পিউটার মনিটরের সামনে বসে আছেন
Turned on black monitor##person,tv,keyboard,laptop,cup,book,book,dining table,cell phone,book	কালো মনিটর চালু
Man wearing brown sunglasses.##person,person,person,person,person,person,person,person,person,bowl	ব্রাউন সানগ্লাস পরা মানুষ।
brick on the building##bicycle,bicycle,person,car,bicycle,car,person,person,car,car	বিল্ডিং এ ইট
silver metal table on ground##person,person,chair,person,chair,chair,person,person,chair,handbag	মাটিতে রৌপ্য ধাতব টেবিল
A grey trash bin.##tv,refrigerator,refrigerator,mouse,chair	একটি ধূসর ট্র্যাশ বিন।
boy holding ball##person,donut,teddy bear,cup	ছেলে বল ধরে
projection screen is white##person,person,person,person,person,person,person,cup,person,handbag	প্রোজেকশন পর্দা সাদা
yellow traffic signal attached to a gray pole##motorcycle,motorcycle,person,bicycle,person,traffic light,car,traffic light,person,person	ধূসর পোলের সাথে সংযুক্ত হলুদ ট্র্যাফিক সংকেত
red truck behind silver car##bus,car,car,truck,car,car,car,car	সিলভার গাড়ির পিছনে লাল ট্রাক
two mopeds are parked##motorcycle,car,person,bicycle,car,car,person,motorcycle,car,car	দুটি মোপেড পার্ক করা আছে
A blue car on the street.##person,car,person,person,truck,bench,stop sign,traffic light	রাস্তায় একটি নীল গাড়ি।
black car with yellow doors##car,car,car,car,car,car,traffic light,person,car,person	হলুদ দরজা দিয়ে কালো গাড়ি
a car with four doors##car,car,car,car,traffic light,person,traffic light,person,traffic light,car	চারটি দরজা সহ একটি গাড়ি
bike parked on the sidewalk##person,person,person,bicycle,person,fire hydrant,person,motorcycle,person,car	বাইকটি ফুটপাতে দাঁড়িয়ে আছে
Red motorcycle on sidewalk##car,person,motorcycle,car,car,motorcycle,person,potted plant,car,potted plant	ফুটপাতে লাল মোটরসাইকেল
man wearing blue shirt##person,person,person,person,person,chair,person,person,person,chair	নীল শার্ট পরা মানুষ
Group of scooters parked next to each other##motorcycle,motorcycle,motorcycle,bicycle,parking meter,bird	একে অপরের পাশে পার্ক করা স্কুটারের দল
yellow VW leaving parking lot##car,person,car,stop sign,car,car,person,person,car,car	হলুদ ভিডাব্লু পার্কিং ছেড়ে
bag of oranges##person,person,person,person,car,car,suitcase,orange,orange,car	কমলা ব্যাগ
there is a band on stage##person,person,person,person,person,person,person,suitcase,bicycle,person	মঞ্চে একটি ব্যান্ড আছে
window on white house##car,car,car,car,car,car,person,car,car,car	সাদা বাড়িতে উইন্ডো
these are tall buildings##person,car,person,car,car,truck,car,car,car	এগুলি লম্বা বিল্ডিং
small car beside curb##car,car,car,car,car,car,car,car,car,car	কার্বের পাশে ছোট গাড়ি
this is a person##person	এটি একজন ব্যক্তি
bull on the sand##cow,backpack,banana,backpack	বালির উপর ষাঁড়
the building with a yellow roof##car,car,car,umbrella,car	হলুদ ছাদ সহ বিল্ডিং
the cup is upside down##person,person,cup,cup,person,cup,cup,bowl,person,bowl	কাপটি উল্টো দিকে
Light in the ceiling.##refrigerator	সিলিংয়ে আলো
Black truck is parked##car,fire hydrant,truck,car,car,truck,car,truck,car	কালো ট্রাক দাঁড়িয়ে আছে
the man in the light blue coat##person,person,bicycle,chair,person,person,person,person,person,person	হালকা নীল রঙের কাপড়ের লোকটি
Bike leaning against black gate##bicycle,bicycle,motorcycle,bicycle,bicycle,bicycle,bicycle,motorcycle,clock,motorcycle	সাইকেল কালো গেটের বিরুদ্ধে ঝুঁকছে
white curtain on window##chair,dining table,chair,chair,book,vase,bottle,chair	উইন্ডোতে সাদা পর্দা
the alarm clock is off##remote,dining table,bed,cell phone	অ্যালার্ম ঘড়ি বন্ধ আছে
A medium sized picture on the wall.##couch	দেয়ালে একটি মাঝারি আকারের ছবি।
A bottle of water on the table.##bottle,bottle,bottle,dining table,fork,cup,bowl,fork	টেবিলে এক বোতল জল।
Wired telephone connected to the wall##sink,sink,toilet,microwave,microwave,sink	তারের সাথে সংযুক্ত তারযুক্ত টেলিফোন
Chair next to wood desk.##chair,bed,laptop,couch	কাঠের ডেস্কের পাশে চেয়ার।
Lamppost next to television##tv,chair,toilet,potted plant,sink	টেলিভিশনের পাশে ল্যাম্পপোস্ট
Black backpack beside a bed##bed,backpack,chair,cup,chair,remote	বিছানার পাশে কালো ব্যাকপ্যাক
A silver faucet in a bathroom##person,person,sink,sink,sink	একটি বাথরুমে একটি সিলভার কল
small plant on porch##chair,chair,potted plant,vase,chair,chair	বারান্দায় ছোট গাছ
cedar shingles on the house##person,tv,handbag	ঘরে দেবদারু দুলছে
a white and tan hotel room##bed,bottle,bed,book,cell phone,backpack,dining table,book,cat	একটি সাদা এবং ট্যান হোটেল রুম
Five knobs on a stove##oven,microwave,oven	একটি চুলার উপর পাঁচটি knobs
the sink is stainless steel##oven,microwave,sink,clock,oven	ডুব স্টেইনলেস স্টিল হয়
a wooden floor##potted plant,person,tv,chair,dining table,potted plant,refrigerator,couch,sink,bottle	একটি কাঠের মেঝে
the window is shut##chair,book,book	উইন্ডো বন্ধ আছে
black car tire with silver rim##car,car,potted plant	সিলভার রিম দিয়ে কালো গাড়ির টায়ার
a four legged steel chair##chair,potted plant,chair,chair,chair,chair,chair,chair	একটি চার পায়ের স্টিল চেয়ার
Red desk lamp sitting on desk##potted plant,potted plant,chair,bowl,book,book,book,keyboard,book,laptop	ডেস্কে বসে লাল ডেস্কের বাতি
the wooden night stand##bed,potted plant,book,book,person,book,book	কাঠের নাইট স্ট্যান্ড
tall grassy plants##chair,car,potted plant,bottle,potted plant,cup,refrigerator,dining table,car,dining table	লম্বা ঘাস গাছপালা
part of a house plant##chair,couch,vase,book,bowl,dining table,vase,potted plant,book,potted plant	একটি বাড়ির গাছপালা অংশ
red and green plaid sofa##couch,potted plant,teddy bear,bowl,handbag,person,clock,book,cell phone	লাল এবং সবুজ প্লেড সোফা
Large kitchen area##chair,chair,wine glass,dining table,chair,bottle,chair,bottle,chair,chair	বড় রান্নাঘর অঞ্চল
boat on the water##person,boat,person,person,person,person,boat,person,person,person	জলের উপর নৌকা
vehicles parked on the side of the road##car,car,car,car,car,truck,potted plant	রাস্তার পাশে গাড়ি পার্কিং
A woman standing on the sidewalk.##person,bus,person,person,person,car,person,person,person,person	ফুটপাতে দাঁড়িয়ে এক মহিলা।
man standing on the phone##person,person,person,fire hydrant,bird,person,truck,person,chair,bird	মানুষ ফোনে দাঁড়িয়ে
a woman wearing a rain jacket##person,person,car,car,bus,car,clock,car,traffic light	একটি মহিলা একটি বৃষ্টির জ্যাকেট পরা
taxi cab driving on street##car,car,person,car,person,car,traffic light,person,person,traffic light	ট্যাক্সি ক্যাব রাস্তায় ড্রাইভিং
yellow taxi driving on a street##car,car,truck,car,person,traffic light,truck,person,potted plant,truck	রাস্তায় হলুদ ট্যাক্সি চালনা
person walking down the sidewalk in a busy city##car,person,person,person,person,traffic light,person,person,person,person	ব্যস্ত শহরে ফুটপাতে হাঁটা ব্যক্তি
person walks on sidewalk##truck,person,potted plant,potted plant,car,person,car,person,car,person	ব্যক্তি ফুটপাথে হাঁটা
Group of people is standing##person,person,person,person,person,car,person,car,traffic light,backpack	দলে দলে লোক দাঁড়িয়ে আছে
black car on the street##person,car,person,person,car,car,person,car,car,person	রাস্তায় কালো গাড়ি
window of a car##person,bus,car,car,handbag,car,traffic light,car,bicycle,car	একটি গাড়ির জানালা
flowers next to water##	জলের পাশে ফুল
A food stand on a sidewalk##person,person,umbrella,umbrella,handbag,person,handbag	ফুটপাতে একটা খাবার স্ট্যান্ড
person crossing on crosswalk##person,dog,person,person,car,clock,car,car,traffic light,person	ক্রসওয়াক উপর ক্রসিং ব্যক্তি
van driving under light##car,car,car,car,car,person,person,traffic light,person,car	আলোর নিচে ভ্যান ড্রাইভিং
Yellow taxi on the road##car,car,car,car,person,car,car,potted plant,truck,potted plant	রাস্তায় হলুদ ট্যাক্সি
window on the building##person,person,person,person,traffic light,car,person,person,person,backpack	বিল্ডিং উইন্ডো
women is wearing a pink shirt##person,person,car,car,person,car,person,person,truck,traffic light	মহিলারা একটি গোলাপী শার্ট পরা হয়
Tan hat hanging on a post##keyboard,tv,tv,mouse,chair,bottle,bottle,spoon,bottle,book	একটি পোস্টে টান টুপি ঝুলছে
A white plane on a tarmac##airplane,airplane,airplane,airplane,airplane	একটি টারম্যাকের একটি সাদা বিমান
planes parked on the tarmac##airplane,airplane,truck,airplane,airplane,airplane,car,truck,airplane,car	বিমানগুলি টারম্যাকে পার্ক করল
small window on airplane##airplane,person,person,car,car,car,person	বিমানের উপর ছোট উইন্ডো
car on the road##car,car,car,car,car,car,car,car,car,car	রাস্তায় গাড়ি
small rocks##person,person	ছোট পাথর
tree trunk is broken##	গাছের কাণ্ডটি ভেঙে গেছে
person in red shorts##person,person,backpack,person,person,horse,person,person	লাল শর্টস মধ্যে ব্যক্তি
the shrub is very short##	গুল্ম খুব সংক্ষিপ্ত
clouds in the sky##car	আকাশে মেঘ
A buffalo near a road##cow,elephant,cow,horse	একটি রাস্তার কাছে একটি মহিষ
cloud in the sky##person	আকাশে মেঘ
White moving through the water##boat,boat,boat,boat,boat,boat,boat,boat	জলের মধ্য দিয়ে সাদা চলাচল করছে
parrot is on top of cage##chair,chair,tennis racket,chair,bird,chair,book,dining table,chair,chair	তোতা খাঁচার উপরে রয়েছে
A bird standing in water##bird,frisbee	জলে দাঁড়িয়ে একটি পাখি
right eye##cat,giraffe	সঠিক চোখ
light on the pole##umbrella,truck	মেরুতে আলো
highway in a quiet area##	একটি শান্ত এলাকায় হাইওয়ে
white cloud in sky##car,car	আকাশে সাদা মেঘ
White boat next to the dock.##boat,boat,boat,boat,boat,boat,boat,boat,boat,boat	ডকের পাশে সাদা নৌকা।
boat in the water##boat,boat,boat,boat,boat,boat,boat,boat,boat,boat	জলে নৌকা
boat is orange##boat,boat,boat,boat,boat,boat,boat,boat,person,boat	নৌকা কমলা হয়
bikes in line by sidewalk##motorcycle,motorcycle,motorcycle,motorcycle,motorcycle,motorcycle,motorcycle,motorcycle,motorcycle,motorcycle	বাইরের রাস্তায় বাইক
small green minivan##person,person,car,car,car,car,traffic light,car,person,car	ছোট সবুজ মিনিভান
american flag hanging on side of building##person,dog,car,dog,person,car,person,person,car,potted plant	আমেরিকান পতাকা বিল্ডিংয়ের পাশে ঝুলন্ত
tree behind building##bench	বিল্ডিং পিছনে গাছ
window on the building##person,boat,potted plant,potted plant,potted plant,person,potted plant,person,person,person	বিল্ডিং উইন্ডো
orange beak on white duck##bird,car,car,bird,car,car,car,car,car	সাদা হাঁসের উপর কমলা চাঁচি
grey and white sky##person,person,person,person,person,person,person,person,truck,person	ধূসর এবং সাদা আকাশ
man holding long yellow skis##person,person,person,person,person,person,skis,motorcycle,bird,skis	লম্বা হলুদ রঙের স্কিস ধরে থাকা লোক
the red flag in the snow##kite	তুষার মধ্যে লাল পতাকা
Black scooter on the road##motorcycle,motorcycle,motorcycle,potted plant,potted plant,potted plant	রাস্তায় ব্ল্যাক স্কুটার
black metal lock box##motorcycle,car,potted plant,potted plant,potted plant,potted plant,potted plant,potted plant,parking meter,potted plant	কালো ধাতব লক বাক্স
glass window on building##car,car,car,truck,car	বিল্ডিং কাঁচ উইন্ডো
sidewalk is light grey##person,car,person,car,person,person,person,person,person,car	ফুটপাত হালকা ধূসর
window on the building##person,person,car,car,person,backpack,car,handbag,car,car	বিল্ডিং উইন্ডো
paved road with parked cars##car,car,car,car,car,car,car,car,car,car	পার্কযুক্ত গাড়ি সহ পাকা রাস্তা
window on a building##car,fire hydrant,person,car,person,car,person,car,car,car	একটি বিল্ডিং উইন্ডো
window on a building##car,car,car,car,car,car,car,car,person,car	একটি বিল্ডিং উইন্ডো
white lines in the middle of the road##person,person,person,person,person,traffic light,person,person,person,person	রাস্তার মাঝখানে সাদা লাইন
car parked on a narrow road##car,car,car,car,person,car,potted plant	একটি সরু রাস্তায় গাড়ি পার্ক
red helmet on his head##car,motorcycle,person,car,car,truck,car,car	তার মাথায় লাল হেলমেট
boat on the water##boat,boat,boat,boat,boat,boat,boat,boat,boat,boat	জলের উপর নৌকা
the boat is at a dock##boat,boat,boat,boat,boat,boat,boat,boat,boat,boat	নৌকা একটি ডক এ
pink pants##person,person,person,person,person,person,person,person,person,person	গোলাপী প্যান্ট
Blue parking lines on the pavement##car,car,car,car,car,car,car,car,car,car	ফুটপাতে নীল পার্কিংয়ের লাইন
the man is walking##car,car,person,car,car	লোকটি হাঁটছে
the sidewalk##car,car,car,car,car,car,car,car,car,car	ফুটপাথ
green palm on radio##car,person,person,person,person,car,person,person,person	রেডিওতে সবুজ পাম
hole in silver hubcap##car,car	সিলভার হাবক্যাপে গর্ত
Girl in blue jean skirt##car,person,person,person,person,bus,person,person,person,person	নীল জিন স্কার্টের মেয়ে
the electrical box on the post##	পোস্টে বৈদ্যুতিক বাক্স
sign on side of road##car,car,car,car,car	রাস্তার পাশে সাইন ইন করুন
green grass in a field##person,bench,sports ball,person,person,sports ball,person	একটি জমিতে সবুজ ঘাস
blue sign with large black base##person,person,person,person,person,handbag,person,person,person,person	বড় কালো বেস সঙ্গে নীল চিহ্ন
green palm on tree##car,car,car,car,car,truck	গাছে সবুজ খেজুর
picture in a frame##chair	একটি ফ্রেমে ছবি
the car is black##person,person,traffic light,car,traffic light,person,traffic light,car,motorcycle,person	গাড়ী কালো
red car near plant##car,car,car,car,car,car,potted plant,car,car,car	গাছের কাছে লাল গাড়ি
car on the road##car,car,car,car,car,car,car,car,person,parking meter	রাস্তায় গাড়ি
white bus on the street##bus,traffic light,person,person,person,traffic light,traffic light,traffic light,person,traffic light	রাস্তায় সাদা বাস
window on a building##car,car,car,person,person,parking meter,car,car,car,car	একটি বিল্ডিং উইন্ডো
A decorated Christmas tree.##traffic light,person,car,person,person,traffic light,person,truck,truck,person	একটি সজ্জিত ক্রিসমাস ট্রি।
yellow dump truck by the mountain##truck,clock	পর্বত দ্বারা হলুদ ডাম্প ট্রাক
green palm on tree##person,bird,person	গাছে সবুজ খেজুর
sun in the sky##	আকাশে সূর্য
white print style letter##airplane,person,car,car,car,person,car,car,car,person	সাদা প্রিন্ট শৈলী চিঠি
the light is on the ceiling##person,person,person,person,tv,person,person,person,chair,person	আলো সিলিংয়ে রয়েছে
light brown wooden step##	হালকা বাদামী কাঠের পদক্ষেপ
womens lips##person,person,chair,bus,car	মহিলাদের ঠোঁট
brick with grass around it##person,person,person,person,bicycle,bicycle,bench,bench,bench,person	চারপাশে ঘাসের সাথে ইট
a seagull is standing##bird	একটি সিগল দাঁড়িয়ে আছে
the building is large##potted plant,potted plant,person,potted plant,potted plant,potted plant,potted plant,potted plant	ভবনটি বড় 
A dark colored van.##car,car,bicycle,bicycle,bicycle,bicycle,bicycle,bus,bicycle,bicycle	গাঢ় রঙের একটি ভ্যান।
A dark haired woman in a colorful top##person,person,person,person,person,person	রঙিন শীর্ষে একটি অন্ধকার কেশিক মহিলা
ear of the cat##cat,chair	বিড়ালের কান
the woman is next to the man##person,person,person,traffic light,person,car,car,person,handbag,traffic light	মহিলাটি পুরুষের পাশে রয়েছে
window on a building##bicycle,potted plant,bicycle,bicycle,bicycle,bicycle,bicycle,bicycle,bicycle,bicycle	একটি বিল্ডিং উইন্ডো
grey colored sidewalk brick##person,person,car,car,car,bicycle,car,car,handbag,bicycle	ধূসর রঙের ফুটপাতের ইট
the man is standing##person,airplane,person,person,person,person,person,person,person,person	লোকটি দাঁড়িয়ে আছে
Three men standing in a group.##person,person,person,person,train,truck,clock	একটি দলে দাঁড়িয়ে তিন জন পুরুষ।
A luggage cart on a tarmac##airplane,airplane,truck,truck,airplane,person,car,truck,truck,truck	একটি টারম্যাকের একটি লাগেজ কার্ট
The tail of an airplane##airplane,car,truck,truck,car,truck,truck	একটি বিমানের লেজ
black restroom sign attached to the wall##person,person,sports ball,sports ball,sports ball	দেয়ালের সাথে সংযুক্ত কালো রেস্টরুম সাইন
a long metal rack##potted plant	একটি দীর্ঘ ধাতু আলনা
light on a machine##person,tv,chair,tv,cell phone,chair,surfboard,tv,chair	একটি মেশিনে আলো
child wearing striped shirt##person,person,person,person,chair,person,person,tv,person,person	স্ট্রিপ শার্ট পরা শিশু
Cameras on the ceiling of the room##refrigerator,book,book,refrigerator,book	ঘরের সিলিংয়ে ক্যামেরা
Vase on the mantel##horse,bench,horse,cup,dining table,vase,vase,person,bench,bench	ম্যানটেলে ফুলদানি
the man has a goatee##person	লোকটির একটা ছাগল আছে
man painting on canvas##person,scissors,potted plant,potted plant,book,remote	মানুষ ক্যানভাসে পেইন্টিং
a row of red chairs##potted plant,chair,chair,chair,potted plant,chair,chair,chair,suitcase,chair	লাল চেয়ারগুলির এক সারি
two police officers##person,person,boat,person	দুই পুলিশ অফিসার
houseboat in the water##bird,bird,bird,bird,person,person,train,sheep,boat	জলে হাউস বোট
bread in a basket##person,person,person,person,tie,bowl,bowl,donut,bowl,sandwich	একটি ঝুড়িতে রুটি
man with short black hair##person,chair,donut,donut,donut,donut,donut,donut,donut,donut	সংক্ষিপ্ত কালো চুলের মানুষ
a big grey ball##sports ball,sports ball,sink,orange,sports ball,orange,orange,mouse	একটি বড় ধূসর বল
White table cloth on the table##person,person,person,person,person,chair,person,person,dining table,person	টেবিলের উপরে সাদা টেবিলের কাপড়
A person sitting in the baptism tub.##person,person,bench	বাপ্তিস্মের টবে বসে থাকা একজন ব্যক্তি।
Horizontal Venetian blinds on the window##bed,dog,potted plant,vase,bench	উইন্ডোতে অনুভূমিক ভিনিশিয়ান ব্লাইন্ডস
