en	ml
the knife block is filled##person,sports ball,sports ball,sports ball,sports ball,sports ball,sports ball,sports ball,tennis racket	കത്തി ബ്ലോക്ക് നിറഞ്ഞു
plant is on a metal stand##book,clock,book,book,book,book,book,book,book,book	പ്ലാന്റ് ഒരു മെറ്റൽ സ്റ്റാൻഡിലാണ്
black metal plant stand##person,person,person,car,bench,bench,bench,handbag,handbag,bench	ബ്ലാക്ക് മെറ്റൽ പ്ലാന്റ് സ്റ്റാൻഡ്
Landline phone on the night stand##person,person	നൈറ്റ് സ്റ്റാൻഡിലെ ലാൻഡ്‌ലൈൻ ഫോൺ
wide brown night stand##person,person,cup,apple,apple,apple,apple,bottle,cup,cup	വിശാലമായ തവിട്ട് നിറത്തിലെ ചെറിയ മേശ
Bizarre sculpture on a coffee stand##person,person,person,person,baseball glove,person,person,person,car,person	ഒരു കോഫി സ്റ്റാൻഡിലെ വിചിത്രമായ ശില്പം
two people waiting to cross##person,person,chair,person,potted plant,person,person,person,person,chair	കടക്കാൻ കാത്തിരിക്കുന്ന രണ്ടുപേർ
sign on brass stand##person,snowboard,person	പിച്ചളയിൽ പൊതിഞ്ഞ സ്റ്റാൻഡ്
neon sign in a second floor window##cat	രണ്ടാം നിലയിലെ വിൻഡോയിൽ നിയോൺ ചിഹ്നം
green cross on top of building##person,sports ball,tennis racket	കെട്ടിടത്തിന് മുകളിൽ പച്ച ക്രോസ്
date palms on the grassy field##person,person,sports ball,car,person	പുല്ല് വയലിൽ ഈന്തപ്പനകൾ
Balconies on the second floor##potted plant,vase,book,book,laptop,vase,tv,book,book,book	രണ്ടാം നിലയിലെ ബാൽക്കണി
a block of buildings##sandwich,sandwich,bowl,bottle,dining table,carrot	കെട്ടിടങ്ങളുടെ ഒരു ബ്ലോക്ക്
a bunch of books on book stand##bed,vase,chair,person	ബുക്ക് സ്റ്റാൻഡിലെ ഒരു കൂട്ടം പുസ്തകങ്ങൾ
Many stairs up to a second story.##person,skateboard,bench,bench,person,person,person,bench,person,person	രണ്ടാമത്തെ സ്റ്റോറി വരെ നിരവധി പടികൾ.
second paper notice in a row##person,cow,motorcycle,truck	തുടർച്ചയായി രണ്ടാമത്തെ പേപ്പർ അറിയിപ്പ്
second floor balcony##person,tennis racket,tennis racket	രണ്ടാം നിലയിലെ ബാൽക്കണി
Bag on the cement block##person,chair,person,person,chair,person,suitcase,person,person,bench	സിമൻറ് ബ്ലോക്കിലെ ബാഗ്
the door of second floor is brown##person,person,person,person,umbrella,person,umbrella,person,person,person	രണ്ടാം നിലയുടെ വാതിൽ തവിട്ടുനിറമാണ്
Curved stairs on the approach to the court yard##clock,clock	മുറ്റത്തിനു സമീപത്ത് വളഞ്ഞ പടികൾ
the cross is black##car,car,traffic light,car,car,car,person,car,person,car	കുരിശ് കറുത്തതാണ്
grey block in sidewalk##person,person,person,person,baseball glove,sports ball,baseball glove	നടപ്പാതയിലെ ചാരനിറത്തിലുള്ള ബ്ലോക്ക്
a large block entrance##airplane,airplane,person,airplane,person,airplane,person,airplane,airplane,person	ഒരു വലിയ ബ്ലോക്ക് പ്രവേശന കവാടം
a block paved sidewalk##truck,car,truck,oven	ഒരു ബ്ലോക്ക് നടപ്പാത
people on the second floor##traffic light	രണ്ടാം നിലയിലെ ആളുകൾ
night stand made of dark brown wood##car,person,person,person,person,car,car,person,person,person	ഇരുണ്ട തവിട്ടുനിറത്തിലുള്ള മരം കൊണ്ട് നിർമ്മിച്ച രാത്രി സ്റ്റാൻഡ്
the second cushioned seat##person,person,baseball glove,person,person,baseball bat,person,person,person,person	തലയണയുള്ള രണ്ടാമത്തെ സീറ്റ്
A net in between the players##car,car,truck,car,car,car,car,car,car,car	കളിക്കാർക്കിടയിൽ ഒരു വല
a line of runway models##person,person,person,tie,potted plant,tie	റൺ‌വേ മോഡലുകളുടെ ഒരു വരി
wooden cross hanging on a wall##person,person,traffic light,umbrella,car,person,car,fire hydrant,umbrella,handbag	മരം കുരിശ് ചുമരിൽ തൂക്കിയിരിക്കുന്നു
Sandwich on the second shelf.##train	രണ്ടാമത്തെ തട്ടിൽ സാൻഡ്‌വിച്ച്.
small white rocking chair with mother and child models in it##bird,bear	അമ്മയും കുട്ടിയും മോഡലുള്ള ചെറിയ വെളുത്ത റോക്കിംഗ് കസേര, അതിൽ കളുടെ
this is a fast food place##person,airplane,person,tennis racket,backpack,cup,stop sign,person,potted plant	ഇതൊരു ഫാസ്റ്റ് ഫുഡ് സ്ഥലമാണ്
A cinder block wall.##person,tennis racket,sports ball	ഒരു സിൻഡർ ബ്ലോക്ക് മതിൽ.
red painted lines on wooden court floor##umbrella,person,person,umbrella,car,person,person,book,toothbrush,truck	മരം കോർട്ട് തറയിൽ ചുവന്ന ചായം പൂശിയ വരകൾ
the small cross on top of the headstone##bus,bus,person,person,person,car,car,person,bus,person	ഹെഡ്‌സ്റ്റോണിന് മുകളിലുള്ള ചെറിയ കുരിശ്
a manual press machine##person,person,person,dog,motorcycle,dog,person,person,person,person	ഒരു മാനുവൽ പ്രസ്സ് മെഷീൻ
People looking to cross the road.##cell phone,cell phone,cell phone,cell phone,cell phone,cell phone,cell phone,cell phone,cell phone,cell phone	റോഡ് മുറിച്ചുകടക്കാൻ നോക്കുന്ന ആളുകൾ.
A black entertainment stand on wheels##person,person	ചക്രങ്ങളിൽ ഒരു കറുത്ത വിനോദം
A big tv on a stand##laptop,laptop,laptop,person,book,book,person,person,keyboard,keyboard	ഒരു സ്റ്റാൻഡിൽ ഒരു വലിയ ടിവി
The body of the stand up lamp.##motorcycle,person,person,person,handbag,person,knife,motorcycle,clock	സ്റ്റാൻഡ് അപ്പ് വിളക്കിന്റെ ബോഡി
three windows on the second floor##person,tennis racket,potted plant,vase	രണ്ടാം നിലയിലെ മൂന്ന് വിൻഡോകൾ
The window on the right on the second floor.##person,surfboard	രണ്ടാം നിലയിലെ വലതുവശത്തുളള വിൻഡോ.
bolt on cross walk sign##train,suitcase,person,person,person,person,person,person,train,train	ക്രോസ് വാക്ക് ചിഹ്നത്തിൽ ബോൾട്ട്
tennis court floor##bed	ടെന്നീസ് കോർട്ട് ഫ്ലോർ
A girl on the tennis court is preparing to hit the ball##train,person,person,traffic light,person,chair,chair,person	ടെന്നീസ് കോർട്ടിലുള്ള ഒരു പെൺകുട്ടി പന്ത് തട്ടാൻ ഒരുങ്ങുകയാണ്
Wooden railing on second level##bird	രണ്ടാമത്തെ ലെവലിൽ മരം റെയിലിംഗ്
blue television on stand##clock,clock	സ്റ്റാൻഡിലിരിക്കുന്ന നീല ടെലിവിഷൻ
A metal and stone column holding a bell and cross.##clock,potted plant	മണിയും കുരിശും പിടിച്ചിരിക്കുന്ന ഒരു ലോഹവും കല്ലും.
White letters and numbers, indicating date and photographer.##car,traffic light,traffic light,traffic light,traffic light,stop sign,tv,traffic light	തീയതിയും ഫോട്ടോഗ്രാഫറും സൂചിപ്പിക്കുന്ന വെളുത്ത അക്ഷരങ്ങളും അക്കങ്ങളും.
Propellers too fast to see.##zebra,zebra,zebra	പ്രൊപ്പല്ലറുകൾ കാണാൻ വളരെ വേഗത്തിലാണ്.
line of trees to the left of the court##car,person,person,person,person,person,person,person,traffic light,person	കോർട്ടിന്റെ ഇടതുവശത്തുള്ള മരങ്ങളുടെ വരി
tv on a stand##person,surfboard,person,surfboard	ടിവി ഒരു സ്റ്റാൻഡിൽ
green tennis court with white lines##toilet,sink,toilet,cup,sink	വെള്ള വരകളുള്ള ഗ്രീൻ ടെന്നീസ് കോർട്ട്
street sign advising of penalty##traffic light,traffic light,traffic light,car,traffic light,car,traffic light	പെനാൽറ്റി ഉപദേശിക്കുന്ന തെരുവ് ചിഹ്നം
Several forms of public transportation##person,person,car,fire hydrant,handbag,person,handbag,umbrella,fire hydrant,person	പൊതുഗതാഗതത്തിന്റെ നിരവധി രൂപങ്ങൾ
kick stand on motorcycle##person,tennis racket,sports ball,sports ball,sports ball,sports ball,sports ball,chair,bench,bench	മോട്ടോർ സൈക്കിളിന്റെ കിക്ക് സ്റ്റാൻഡ്
the tennis court##person,cow,cow,cow,cow,cow,cow,dog	ടെന്നീസ് കോർട്ട്
fence in back of the court##person,person,person,baseball glove,baseball glove	കോർട്ടിന്റെ പുറകിലെ വേലി
Silver french press coffee maker##potted plant	സിൽവർ ഫ്രഞ്ച് പ്രസ്സ് കോഫി മേക്കർ
a railing on a second story balcony##clock,clock	രണ്ടാമത്തെ നിലയിലെ ബാൽക്കണിയിൽ ഒരു ഇരുമ്പഴി
Red T-shirt with white cross patch##bench,potted plant,potted plant,potted plant	വെളുത്ത ക്രോസ്സ് പാച്ചുള്ള ചുവന്ന ടി-ഷർട്ട്
a fine meal on a plate##train	ഒരു പാത്രത്തിൽ നല്ല ഭക്ഷണം
white characters on the street##donut,bottle,dining table,remote,chair,car,chair,sandwich	തെരുവിലെ വെളുത്ത പ്രതീകങ്ങൾ
cross next to the clock tower##couch,couch,chair,chair,chair,chair,chair,tv,chair,couch	ക്ലോക്ക് ടവറിന് അടുത്തായി കുരിശ്
person playing tennis on the court##person,backpack,book,book,book,book,book,book,book,couch	കോർട്ടിൽ ടെന്നീസ് കളിക്കുന്ന വ്യക്തി
a man in the armed forces##scissors	സായുധ സേനയിലെ ഒരാൾ
Black tv on top of brown stand.##bus,person,person,person,car,car,person,person,traffic light,person	കറുത്ത നിറത്തിലെ ടീവി ചാര നിറത്തിലുള്ള സ്റ്റാൻഡിനു മുകളിരുന്നു
a black cross on a vertical stabilizer##motorcycle,motorcycle,person,person,person,motorcycle	വെർട്ടിക്കൽ സ്റ്റെബിലൈസറിൽ ഒരു കറുത്ത ക്രോസ്
a dark blue sedan moving fast##person,person,person,baseball bat,baseball bat	ഇരുണ്ട നീല സെഡാൻ വേഗത്തിൽ നീങ്ങുന്നു
A block of brown stones.##bear	തവിട്ടുനിറത്തിലുള്ള കല്ലുകളുടെ ഒരു ബ്ലോക്ക്.
A person standing at the food stand.##sports ball,person,person,person,person,person,person,person,person,person	ഫുഡ് സ്റ്റാൻഡിൽ നിൽക്കുന്ന ഒരാൾ.
Security officer making sure everyone is safe at the fair##person,umbrella,person,umbrella,person,umbrella,person,umbrella,person,person	മേളയിൽ എല്ലാവരും സുരക്ഷിതരാണെന്ന് സുരക്ഷാ ഉദ്യോഗസ്ഥൻ ഉറപ്പാക്കുന്നു
yellow time and date stamp##person,skateboard	മഞ്ഞ സമയവും തീയതി സ്റ്റാമ്പും
boy standing on tennis court##person,person,tennis racket,car,person,person	പയ്യൻ ടെന്നീസ് കോർട്ടിൽ നിൽക്കുന്നു
"orange ""do not cross"" sign##person,tennis racket,skateboard,person,person,person,skateboard"	"ഓറഞ്ച് ""കടക്കരുത്"" ചിഹ്നം"
the players are moving##clock,clock,clock	കളിക്കാർ നീങ്ങുന്നു
Kick stand on a motorcycle.##person,person,person,person,baseball bat,baseball glove,person,person,backpack,person	ഒരു മോട്ടോർ സൈക്കിളിലെ ലിവർ
They both are playing on a tennis court.##person,person,person,frisbee	ഇരുവരും ടെന്നീസ് കോർട്ടിൽ കളിക്കുന്നു.
woman cross her arms##car,car,car,car	കൈ കെട്ടി നില്ക്കുന്ന സ്ത്രീ
The boy has a orange stamp on his hand.##person,person,bench,motorcycle,bench,potted plant,book,person,bench,book	ആൺകുട്ടിയുടെ കയ്യിൽ ഓറഞ്ച് സ്റ്റാമ്പ് ഉണ്ട്.
sign above the people at the fair##person,person,person,person,clock,person,person,banana,banana,banana	മേളയിൽ ആളുകൾക്ക് മുകളിൽ ഉള്ള ചിഹ്നം
picture hanging in the wall with anime characters##suitcase,bed	ചുമരിൽ തൂക്കിയിട്ടിരിക്കുന്ന ചിത്രത്തിൽ ആനിമേഷൻ പ്രതീകങ്ങളുണ്ട്
a net divides the court##cow,person,person,bench,person,person,person,person,person,person	ഒരു വല കോർട്ടിനെ വിഭജിക്കുന്നു
Two butcher block knive sets.##person,person,person,person,person,person,tennis racket,person,person,clock	രണ്ട് കശാപ്പ് ബ്ലോക്ക് കത്തി സെറ്റുകൾ.
cross made of stone##cow,motorcycle,person,person,person,motorcycle,person,bicycle,person,cow	കല്ലുകൊണ്ട് നിർമ്മിച്ച കുരിശ്
second story seating area##person,person,baseball bat,person,person,baseball glove,person,person,person,person	രണ്ടാമത്തെ സ്റ്റോറി സീറ്റിംഗ് ഏരിയ
english letter is white##person,frisbee,person,person,person,person,person,person,person,person	ഇംഗ്ലീഷ് അക്ഷരം വെളുത്തതാണ്
the second bus has a blue sign##couch,potted plant,vase,book,vase,chair	രണ്ടാമത്തെ ബസിന് നീല ചിഹ്നമുണ്ട്
Yellow and black pole with a yellow cross.##book,sink,book,book,book,vase,cup,book,book	മഞ്ഞ ക്രോസ്സ് ഉള്ള മഞ്ഞയും, കറുത്തയും പോൾ
the sign has asian characters##person,bowl,dining table,bowl,banana,spoon,spoon,dining table,spoon,bowl	ചിഹ്നത്തിൽ ഏഷ്യൻ പ്രതീകങ്ങളുണ്ട്
press box on tennis court##teddy bear,dog,bed	ടെന്നീസ് കോർട്ടിലെ പ്രസ്സ് ബോക്സ്
the sidewalk in front of the produce stand##person,person,person,baseball glove,baseball bat,baseball glove,cup,cup,sports ball,baseball bat	ഉൽ‌പന്നങ്ങളുടെ മുന്നിലുള്ള നടപ്പാത
The top white cross.##person,person,tennis racket,person,person,sports ball,person,chair,person,person	മുകളിൽ വെളുത്ത കുരിശ്.
a small black entertainment stand##chair,chair,chair,chair,chair,person,person,chair,person,chair	ഒരു ചെറിയ കറുത്ത വിനോദ സ്റ്റാൻഡ്
microphones are lined up on stand##toilet,toilet	മൈക്രോഫോണുകൾ സ്റ്റാൻഡിൽ അണിനിരനിരിക്കുന്നു
Woman getting ready to cross street##person,person,person,baseball glove,baseball glove	തെരുവ് മുറിച്ചുകടക്കാൻ ഒരുങ്ങുന്ന സ്ത്രീ
white lines painted on court##person,skateboard,person	കോർട്ടിൽ വരച്ച വെളുത്ത വരകൾ
A pot is fitted in a stand.##airplane,airplane,person	ഒരു സ്റ്റാൻഡിൽ ഒരു കലം ഘടിപ്പിച്ചിരിക്കുന്നു.
white graffiti on a stand##person,person,person,person,person,person,person,person,person,baseball bat	ഒരു സ്റ്റാന്റിൽ വെളുത്ത ഗ്രാഫിറ്റി
Man cross country skiing.##clock	ക്രോസ് കൺട്രി സ്കീയിംഗ് ചെയ്യുന്ന മനുഷ്യൻ
pendent on a fine chain##zebra,zebra,zebra,zebra,zebra,zebra,zebra,zebra,car,zebra	നേർത്ത ചെയിനിൽ പെൻഡന്റ്
blue tennis court##airplane	നീല ടെന്നീസ് കോർട്ട്
The right front window on the second level of the bus.##bowl,book,sink,potted plant,sink	ബസിന്റെ രണ്ടാം ലെവലിൽ വലത് മുൻവശത്തെ വിൻഡോ.
large silver juice press##vase,suitcase,suitcase,refrigerator,bowl,oven,donut,cell phone,cell phone,suitcase	വലിയ സിൽവർ ജ്യൂസ് പ്രസ്സ്
Brown block and white house with pitched black roof.##bird,bird,bird,bird,bird,bird,bird,bird,bird,bird	കറുത്ത മേൽക്കൂരയുള്ള ബ്രൗൺ ബ്ലോക്കും വൈറ്റ് ഹൗസും
man cross country skiing during race##cell phone,person,person,dining table	ഓട്ടത്തിനിടയിൽ ക്രോസ് കൺട്രി സ്കീയിംഗ് ചെയ്യുന്ന മനുഷ്യൻ
cross on top of steeple##traffic light,potted plant	സ്റ്റീപ്പിളിന് മുകളിൽ ഉള്ള ക്രോസ്സ്
second man skiing in snow##person,person,person,remote,cup,donut,couch,donut,donut,donut	രണ്ടാമത്തെ മനുഷ്യൻ മഞ്ഞിൽ സ്കീയിംഗ് ചെയ്യുന്നു
the green sign with red and yellow characters##stop sign	പച്ച ചിഹ്നത്തോടൊപ്പം ചുവപ്പ്, മഞ്ഞ പ്രതീകങ്ങൾ
a stone block train platform##cup,potted plant,sandwich,dining table,cup,bottle,vase,bottle,cat,chair	ഒരു സ്റ്റോൺ ബ്ലോക്ക് ട്രെയിൻ പ്ലാറ്റ്ഫോം
Woman wearing a cross on her neck##car,car,car,car,car,car,car	കഴുത്തിൽ കുരിശ് ധരിച്ച സ്ത്രീ
A person waiting to cross the street##skateboard,bicycle,person,bicycle,bicycle,bicycle,bicycle,bicycle,bicycle,bicycle	തെരുവ് മുറിച്ചുകടക്കാൻ കാത്തിരിക്കുന്ന ഒരാൾ
second traffic light on pole##person,horse,person	ധ്രുവത്തിലെ രണ്ടാമത്തെ ട്രാഫിക് ലൈറ്റ്
Grey cross on a green dome top.##person,person,person,person,person,person,person,sports ball,person,person	പച്ച താഴികക്കുടത്തിന്റെ മുകളിൽ ഗ്രേ ക്രോസ്സ്.
beige table lamp on stand##suitcase	ബീജ് ടേബിൾ ലാമ്പ് സ്റ്റാൻഡിൽ
armed forces identifying patch for US Army##broccoli,broccoli,broccoli,broccoli,carrot,broccoli,broccoli,broccoli,broccoli,broccoli	യുഎസ് ആർമിക്ക് പാച്ച് തിരിച്ചറിയുന്ന സായുധ സേന
Large models in the park field##bird,banana,banana,bird,bird,banana,banana,banana,banana,banana	പാർക്ക് ഫീൽഡിലെ വലിയ മോഡലുകൾ
This is some type of a fair.##refrigerator,suitcase,cup	ഇത് ഒരു തരം മേളയാണ്.
five wheels on the court##cup,book,book,book,person,clock,dining table,scissors	കോർട്ടിൽ അഞ്ച് ചക്രങ്ങൾ
a fast flowing river##banana,bicycle,banana,banana,person,banana,banana,banana,banana,banana	വേഗത്തിൽ ഒഴുകുന്ന നദി
the block of hay##umbrella,person,car,stop sign,truck,car,car,car,traffic light	പുല്ലിന്റെ ബ്ലോക്ക്
a glass block window##train	ഒരു ഗ്ലാസ് ബ്ലോക്ക് വിൻഡോ
a grill press##person,wine glass,dining table,bowl,bowl,cup,cup,bowl,cup,cup	ഒരു ഗ്രിൽ പ്രസ്സ്
block wall behind giraffe head##bed,clock,bed,remote,vase,remote,remote,remote	ജിറാഫിന്റെ തലയ്ക്ക് പിന്നിൽ തടി കൊണ്ടുള്ള മതിൽ
man stand on skateboard##vase,potted plant,apple,person	മനുഷ്യൻ സ്കേറ്റ്ബോർഡിൽ നിൽക്കുന്നു
players' names in black on yellow background##person,baseball glove,sports ball,sports ball	മഞ്ഞ പശ്ചാത്തലത്തിൽ കളിക്കാരുടെ പേരുകൾ കറുപ്പിൽ
a block defining the space for the bench##person,person,person,person,car,car,bench,handbag,airplane,car	ബെഞ്ചിനുള്ള ഇടം നിർവചിക്കുന്ന ഒരു ബ്ലോക്ക്
chairs and tables on the side of the court##motorcycle,person	കോർട്ടിന്റെ വശത്ത് കസേരകളും മേശകളും
soccer players in a light blue uniforms##cup,pizza,pizza,pizza,cup,dining table,knife,bottle,bottle,fork	ഇളം നീല നിറത്തിലുള്ള യൂണിഫോമിൽ സോക്കർ കളിക്കാർ
The word AUG in the date##person,car,traffic light,car,traffic light,traffic light	തീയതിയിലെ ഓഗ് എന്ന വാക്ക്
Top of net on tennis court##person,person,tennis racket,tennis racket	ടെന്നീസ് കോർട്ടിൽ വലയുടെ മുകൾഭാഗം
date of the recording##mouse,laptop,tv,keyboard,book,book,cup,keyboard,keyboard	റെക്കോർഡിംഗ് തീയതി
tennis court being used in a match##person,tennis racket,sports ball	ഒരു മത്സരത്തിൽ ടെന്നീസ് കോർട്ട് ഉപയോഗിക്കുന്നു
A time date stamp in the corner##sandwich,sandwich,dining table,bowl	മൂലയിൽ ഒരു സമയ തീയതി സ്റ്റാമ്പ്
The players wear uniforms.##motorcycle	കളിക്കാർ യൂണിഫോം ധരിച്ചിരിക്കുന്നു.
the fair sky##person,car,car,person,person,person,person,car,car,person	മനോഹരമായ ആകാശം
a black fine tooth comb##bus,person,bicycle,car,person,car,traffic light,car,truck,car	കറുത്ത നേർത്ത പല്ലുള്ള ചീപ്പ്
the black fast forward arrow##person,person,person,person,sports ball,sports ball,tennis racket,tennis racket,tennis racket,tennis racket	കറുത്ത ഫാസ്റ്റ് ഫോർ‌വേഡ് അമ്പടയാളം
long single block in row##person,person,sports ball,sports ball,tennis racket,tennis racket	നീളമുള്ള ഒറ്റ ബ്ലോക്ക് വരിയിൽ
two players wearing white shorts##refrigerator,hot dog,bowl,cup,spoon,cup,spoon,cup,bottle,bottle	വെളുത്ത ഷോർട്ട്സ് ധരിച്ച രണ്ട് കളിക്കാർ
fast food on white plate##traffic light,car,car,car,car,car,car,car,car,car	വൈറ്റ് പ്ലേറ്റിലെ ഫാസ്റ്റ് ഫുഡ്
Woman standing on tennis court##person,person,person,person,person,person,person,person,person,person	ടെന്നീസ് കോർട്ടിൽ നിൽക്കുന്ന സ്ത്രീ
Copy right date 2010##person,handbag,person	പകർപ്പവകാശ തീയതി 2010
letter on the wood block##person,horse,person,person,person,person,person,horse,horse,person	വുഡൻ ബ്ലോക്കിലെ അക്ഷരം
Turnstyle entrance to court##person,person,person,person,sports ball,tennis racket,sports ball,sports ball,tennis racket,sports ball	കളിസ്ഥലത്തേക്കുള്ള പ്രവേശന കവാടം
yellowish green grass over fine tan sand##motorcycle,motorcycle,person,car,motorcycle,person,car,car,person,person	നേർത്ത ടാൻ മണലിന് മുകളിൽ മഞ്ഞകലർന്ന പച്ച പുല്ല്
The date 02/10/2009.##motorcycle,person,motorcycle,person	തീയതി 02/10/2009.
the shin guard on the players leg##laptop,couch,couch,remote,tv,dining table,keyboard,book	കളിക്കാരുടെ കാലിലെ ഷിൻ ഗാർഡ്
the springs on the motorcycle##donut,person,person	മോട്ടോർ സൈക്കിളിലെ സ്പ്രിങ്ങുകൾ
signature of artist and date##person,tennis racket	ആർട്ടിസ്റ്റിന്റെ ഒപ്പും തീയതിയും
Orange color night lamp with wooden stand##laptop,tv,couch,book,book,cup,book,bowl,cup,book	തടി സ്റ്റാൻഡുള്ള ഓറഞ്ച് കളർ നൈറ്റ് ലാമ്പ്
items for sale in stand##bird,person,person,boat,boat,person,person,person,person,person	വിൽ‌പനയ്‌ക്കുള്ള ഇനങ്ങൾ‌ സ്റ്റാന്റിൽ
yellow fair pole on fence##clock,person,person,person,clock,person,person,car,person,car	വേലിയിലെ മഞ്ഞ പോൾ
the toys are on the stand##person,person,tv,person,remote,remote,book,remote,person	കളിപ്പാട്ടങ്ങൾ സ്റ്റാന്റിൽ ഇരിക്കുന്നു
small table lamp on the night stand##clock	ചെറിയ മേശയിൽ ചെറിയ മേശ വിളക്ക്
playing on green and blue court##person,person,sports ball,baseball glove,baseball glove	പച്ചയും, നീലയും ഉള്ള കോർട്ടിൽ കളിക്കുന്നു
